lang_code,mean_bpp,mean_pps,pps_dev_from_english,pps_premium_vs_english
ace_Arab,1.3473,141.2106,108.4363,4.3086
ace_Latn,1.1891,115.2187,82.4443,3.5155
acm_Arab,1.9525,99.7212,66.9468,3.0427
acq_Arab,1.9661,99.9368,67.1625,3.0492
aeb_Arab,1.9691,97.5817,64.8074,2.9774
afr_Latn,1.4888,91.3490,58.5747,2.7872
als_Latn,1.1671,130.1535,97.3791,3.9712
amh_Ethi,1.6009,136.0522,103.2778,4.1512
apc_Arab_nort3139,1.9224,96.3099,63.5356,2.9386
apc_Arab_sout3123,1.9524,94.7823,62.0080,2.8920
arb_Arab,1.9866,100.0762,67.3019,3.0535
arb_Latn,1.1129,131.7192,98.9448,4.0190
arg_Latn,1.9354,77.3490,44.5747,2.3601
ars_Arab,1.9870,100.2136,67.4393,3.0577
ary_Arab,1.9396,99.7192,66.9448,3.0426
arz_Arab,1.9691,98.7292,65.9549,3.0124
asm_Beng,3.2162,99.7673,66.9930,3.0441
ast_Latn,1.9579,68.6459,35.8716,2.0945
awa_Deva,3.3348,94.3370,61.5627,2.8784
ayr_Latn,1.1653,115.5416,82.7673,3.5254
azb_Arab,1.4015,145.5627,112.7884,4.4414
azj_Latn,1.2286,128.9940,96.2197,3.9358
bak_Cyrl,1.3794,171.2849,138.5105,5.2262
bam_Latn,1.0963,120.0311,87.2568,3.6624
ban_Latn,1.2596,112.7071,79.9328,3.4389
bel_Cyrl,2.6780,98.8385,66.0642,3.0157
bem_Latn,1.1529,135.4584,102.6841,4.1331
ben_Beng,3.2762,100.2407,67.4664,3.0585
bho_Deva,3.3475,92.4283,59.6540,2.8201
bjn_Arab,1.4503,145.5326,112.7583,4.4404
bjn_Latn,1.3740,96.5286,63.7543,2.9453
bod_Tibt,3.6929,113.4835,80.7091,3.4626
bos_Latn,1.5125,86.0863,53.3119,2.6266
brx_Deva,3.2329,108.5707,75.7964,3.3127
bug_Latn,1.1866,117.2698,84.4955,3.5781
bul_Cyrl,4.6303,52.2287,19.4544,1.5936
cat_Latn,2.1097,67.5176,34.7432,2.0601
ceb_Latn,1.3212,113.7172,80.9428,3.4697
ces_Latn,1.8836,72.5958,39.8215,2.2150
chv_Cyrl,1.4415,169.8947,137.1204,5.1838
cjk_Latn,1.1436,119.3330,86.5587,3.6411
ckb_Arab,1.1941,194.1705,161.3962,5.9245
cmn_Hans,1.4495,80.9388,48.1645,2.4696
cmn_Hant,1.3949,80.0010,47.2267,2.4410
crh_Latn,1.2610,112.6339,79.8596,3.4367
cym_Latn,1.0780,124.8726,92.0983,3.8101
dan_Latn,1.7249,76.6730,43.8987,2.3394
dar_Cyrl,1.8391,146.3892,113.6148,4.4666
deu_Latn,2.6418,56.6399,23.8656,1.7282
dgo_Deva,3.3627,101.0582,68.2839,3.0835
dik_Latn,1.1167,109.2879,76.5135,3.3346
dyu_Latn,1.1198,120.4885,87.7141,3.6763
dzo_Tibt,3.7291,123.8746,91.1003,3.7796
ekk_Latn,1.1344,112.2678,79.4935,3.4255
ell_Grek,2.2800,118.8666,86.0923,3.6268
eng_Latn,3.9045,32.7743,0.0000,1.0000
epo_Latn,1.1867,108.3180,75.5436,3.3050
eus_Latn,1.1198,120.0542,87.2798,3.6631
ewe_Latn,1.0982,122.8636,90.0893,3.7488
fao_Latn,1.1566,119.3952,86.6209,3.6429
fij_Latn,1.1617,125.3320,92.5577,3.8241
fil_Latn,1.3549,116.1003,83.3260,3.5424
fin_Latn,1.6157,86.4032,53.6289,2.6363
fon_Latn,1.0999,143.5005,110.7262,4.3784
fra_Latn,2.9067,53.4684,20.6941,1.6314
fur_Latn,1.3697,105.2136,72.4393,3.2102
fuv_Latn,1.1389,106.7533,73.9789,3.2572
gaz_Latn,1.1071,136.6309,103.8566,4.1688
gla_Latn,1.1051,146.6319,113.8576,4.4740
gle_Latn,1.0889,142.4644,109.6901,4.3468
glg_Latn,2.0612,69.5807,36.8064,2.1230
gom_Deva,3.2510,97.7954,65.0211,2.9839
gug_Latn,1.1739,117.3641,84.5898,3.5810
guj_Gujr,3.1520,99.4784,66.7041,3.0353
hat_Latn,1.1148,107.0351,74.2608,3.2658
hau_Latn,1.1269,122.5005,89.7262,3.7377
heb_Hebr,2.0934,83.2467,50.4724,2.5400
hin_Deva,3.4437,93.2828,60.5085,2.8462
hne_Deva,3.3305,92.9378,60.1635,2.8357
hrv_Latn,1.5105,84.2136,51.4393,2.5695
hun_Latn,1.7919,80.9920,48.2177,2.4712
hye_Armn,1.6352,157.9930,125.2187,4.8206
ibo_Latn,1.1831,126.7151,93.9408,3.8663
