lang_code,t_0.2480,t_0.3887,t_0.6260,t_1.0039
ace_Arab,2.2594,2.2654,2.2265,2.0155
ace_Latn,1.605,1.5749,1.4919,1.2603
acm_Arab,2.7269,2.7642,2.7832,2.6947
acq_Arab,2.7702,2.8083,2.831,2.7389
aeb_Arab,2.7184,2.7563,2.7805,2.6783
afr_Latn,1.4511,1.44,1.4001,1.2779
als_Latn,1.633,1.5675,1.4136,1.0396
amh_Ethi,2.7603,2.8135,2.8446,2.5995
apc_Arab_nort3139,2.6193,2.6557,2.6778,2.5924
apc_Arab_sout3123,2.6115,2.6471,2.6698,2.5771
arb_Arab,2.8004,2.8389,2.8632,2.7718
arb_Latn,1.672,1.6185,1.5047,1.277
arg_Latn,1.5202,1.4955,1.4232,1.2751
ars_Arab,2.8026,2.8401,2.8648,2.7725
ary_Arab,2.7432,2.7836,2.8135,2.7319
arz_Arab,2.76,2.801,2.8329,2.7494
asm_Beng,3.6614,3.7455,3.8835,3.9376
ast_Latn,1.3307,1.3099,1.2446,1.1269
awa_Deva,3.5994,3.6825,3.8191,3.8481
ayr_Latn,1.5257,1.4463,1.2922,1.0476
azb_Arab,2.038,1.9696,1.8095,1.485
azj_Latn,1.6209,1.543,1.3946,1.0932
bak_Cyrl,2.5081,2.4608,2.3119,1.9047
bam_Latn,1.5158,1.454,1.3099,1.016
ban_Latn,1.6425,1.6207,1.5521,1.3304
bel_Cyrl,2.8683,2.8842,2.8798,2.7569
bem_Latn,1.862,1.8277,1.7095,1.3502
ben_Beng,3.6688,3.754,3.8928,3.9034
bho_Deva,3.5168,3.5982,3.7302,3.7383
bjn_Arab,2.6479,2.6712,2.6608,2.4611
bjn_Latn,1.5743,1.5631,1.5184,1.3527
bod_Tibt,4.3781,4.4788,4.6463,4.9132
bos_Latn,1.3039,1.2832,1.2288,1.1252
brx_Deva,4.0968,4.1927,4.3506,4.4379
bug_Latn,1.5959,1.5634,1.4587,1.1808
bul_Cyrl,2.2789,2.2842,2.2668,2.0914
cat_Latn,1.3618,1.3413,1.2877,1.1923
ceb_Latn,1.9238,1.9015,1.8198,1.5698
ces_Latn,1.2507,1.2265,1.1814,1.0874
chv_Cyrl,2.6465,2.6235,2.5248,2.2031
cjk_Latn,1.6641,1.6413,1.5419,1.2593
ckb_Arab,2.2478,2.1986,2.0349,1.652
cmn_Hans,1.2229,1.2232,1.1934,1.0072
cmn_Hant,1.1545,1.1618,1.1499,1.0083
crh_Latn,1.4728,1.4324,1.3567,1.1208
cym_Latn,1.3375,1.2982,1.2102,0.9965
dan_Latn,1.2697,1.2492,1.2052,1.1301
dar_Cyrl,3.2162,3.2307,3.1864,2.9349
deu_Latn,1.3145,1.3006,1.2797,1.2451
dgo_Deva,3.8008,3.889,4.0315,4.0697
dik_Latn,1.463,1.4152,1.2898,1.0017
dyu_Latn,1.5715,1.5335,1.4258,1.1374
dzo_Tibt,4.7875,4.9014,5.0882,5.3797
ekk_Latn,1.31,1.2634,1.1733,0.9736
ell_Grek,3.1183,3.1707,3.2287,3.2213
eng_Latn,1.0,1.0,1.0,1.0
epo_Latn,1.3786,1.3613,1.299,1.0911
eus_Latn,1.3758,1.3329,1.2387,1.0198
ewe_Latn,1.4992,1.4161,1.2365,0.9225
fao_Latn,1.3943,1.3383,1.2229,1.0059
fij_Latn,1.8783,1.8448,1.7285,1.3994
fil_Latn,2.0341,2.0159,1.9459,1.7196
fin_Latn,1.3563,1.3092,1.2189,1.0864
fon_Latn,1.7068,1.617,1.4404,1.1209
fra_Latn,1.295,1.2826,1.2581,1.2222
fur_Latn,1.5182,1.5043,1.444,1.2371
fuv_Latn,1.4885,1.4605,1.3804,1.1272
gaz_Latn,1.6835,1.655,1.5694,1.3454
gla_Latn,1.7482,1.7065,1.5872,1.2983
gle_Latn,1.6406,1.6013,1.5055,1.2464
glg_Latn,1.3573,1.3359,1.2782,1.1648
gom_Deva,3.6524,3.7377,3.8752,3.9312
gug_Latn,1.4786,1.4006,1.2297,0.9286
guj_Gujr,3.6965,3.7824,3.9236,3.8252
hat_Latn,1.3342,1.3263,1.2816,1.088
hau_Latn,1.6642,1.6397,1.5565,1.2876
heb_Hebr,3.164,3.2355,3.3544,3.499
hin_Deva,3.553,3.6346,3.7663,3.7423
hne_Deva,3.5353,3.6171,3.7511,3.771
hrv_Latn,1.2674,1.2456,1.1939,1.0899
hun_Latn,1.4503,1.422,1.3509,1.2264
hye_Armn,3.7361,3.8097,3.9093,3.9351
ibo_Latn,1.7066,1.6425,1.4774,1.1753
ilo_Latn,1.8703,1.8415,1.7253,1.4046
ind_Latn,1.3885,1.3686,1.3094,1.1669
isl_Latn,1.3521,1.2956,1.1756,0.9556
ita_Latn,1.3329,1.3115,1.2618,1.1775
jav_Latn,1.5761,1.5648,1.5115,1.3106
jpn_Jpan,1.5736,1.5613,1.533,1.4165
kab_Latn,1.4292,1.3808,1.2704,1.0417
kac_Latn,2.0545,2.035,1.9326,1.6133
kam_Latn,1.476,1.4339,1.3261,1.0763
kan_Knda,4.0381,4.13,4.2713,4.3105
kas_Arab,2.2142,2.2005,2.1129,1.8296
kas_Deva,3.5243,3.6024,3.7319,3.8216
kat_Geor,4.8569,4.9685,5.1567,5.4877
kaz_Cyrl,2.7423,2.7354,2.6496,2.3259
kbp_Latn,1.9122,1.7799,1.536,1.1359
kea_Latn,1.4362,1.4123,1.3308,1.0857
khk_Cyrl,3.0095,3.0296,3.016,2.8029
khm_Khmr,5.2877,5.4056,5.6057,5.9214
kik_Latn,1.7012,1.6208,1.4461,1.1202
kin_Latn,1.7004,1.6718,1.5633,1.247
kir_Cyrl,2.7095,2.7013,2.6298,2.3527
kjh_Cyrl,2.8425,2.8211,2.7241,2.4305
kmb_Latn,1.7435,1.721,1.6257,1.3368
kmr_Latn,1.5102,1.4841,1.4121,1.1942
knc_Arab,2.7211,2.776,2.8511,2.8701
knc_Latn,1.5655,1.4844,1.3118,0.9777
kor_Hang,1.4387,1.4236,1.3568,1.185
ktu_Latn,1.8747,1.8383,1.7132,1.3814
lao_Laoo,4.6258,4.7282,4.8996,5.1878
lij_Latn,1.5452,1.5196,1.4388,1.2129
lim_Latn,1.4468,1.4315,1.3795,1.2312
lin_Latn,1.6782,1.6506,1.5466,1.2559
lit_Latn,1.4419,1.3913,1.265,1.0083
lld_Latn,1.5026,1.4821,1.3987,1.1663
lld_Latn_gard1241,1.5259,1.5073,1.4314,1.2128
lmo_Latn,1.6156,1.586,1.4899,1.2493
ltg_Latn,1.3826,1.3337,1.2317,1.002
ltz_Latn,1.4064,1.3801,1.3224,1.2058
lua_Latn,1.688,1.661,1.5642,1.2829
lug_Latn,1.5441,1.5216,1.4317,1.1606
luo_Latn,1.6008,1.5848,1.5189,1.294
lus_Latn,1.6646,1.6463,1.552,1.254
lvs_Latn,1.4973,1.4547,1.3539,1.112
mag_Deva,3.5334,3.615,3.7501,3.7437
mai_Deva,3.6633,3.7478,3.8887,3.9492
mal_Mlym,4.2504,4.3487,4.5016,4.5827
mar_Deva,3.7915,3.8786,4.0191,4.067
mfe_Latn,1.3201,1.3134,1.2738,1.1
mhr_Cyrl,2.7598,2.7584,2.7004,2.4875
