lang_code,t_0.4072,t_0.5293,t_0.7222,t_1.0371
ace_Arab,1.8149,1.7782,1.6654,1.3614
ace_Latn,1.4335,1.3439,1.15,0.8867
acm_Arab,1.9811,2.0179,1.9941,1.6322
acq_Arab,2.0012,2.0451,2.0244,1.6444
aeb_Arab,1.962,2.0083,1.9885,1.6086
afr_Latn,1.2588,1.214,1.136,1.0782
als_Latn,1.5973,1.4348,1.1555,0.8918
amh_Ethi,1.9267,2.0321,2.2026,2.3578
apc_Arab_nort3139,1.9052,1.9409,1.9089,1.5406
apc_Arab_sout3123,1.8965,1.9361,1.9142,1.5502
arb_Arab,2.0182,2.0656,2.0491,1.6778
arb_Latn,1.5659,1.4745,1.2733,0.9351
arg_Latn,1.3901,1.3529,1.2993,1.2061
ars_Arab,2.02,2.0687,2.0512,1.6835
ary_Arab,1.9856,2.0274,2.0054,1.6187
arz_Arab,1.9857,2.0337,2.0198,1.6274
asm_Beng,2.5631,2.6663,2.7793,2.8181
ast_Latn,1.2331,1.1977,1.1439,1.0699
awa_Deva,2.5193,2.6225,2.6969,2.7519
ayr_Latn,1.4689,1.3462,1.0759,0.6858
azb_Arab,1.9047,1.7156,1.4812,1.1706
azj_Latn,1.737,1.5716,1.2463,0.8725
bak_Cyrl,2.2091,2.1024,1.9011,1.5252
bam_Latn,1.3848,1.3004,1.135,0.8364
ban_Latn,1.4319,1.3447,1.1673,0.9285
bel_Cyrl,2.2457,2.1909,2.0877,1.9262
bem_Latn,1.6211,1.5229,1.3059,0.9501
ben_Beng,2.5815,2.6685,2.7678,2.8232
bho_Deva,2.4736,2.5657,2.6319,2.7208
bjn_Arab,2.0192,2.0007,1.9257,1.5851
bjn_Latn,1.3343,1.28,1.1439,0.9198
bod_Tibt,2.9477,3.1881,3.5944,4.2933
bos_Latn,1.2282,1.1797,1.1,0.9813
brx_Deva,2.8702,2.9783,3.0556,3.0438
bug_Latn,1.4167,1.3185,1.0946,0.8538
bul_Cyrl,1.8137,1.7623,1.6637,1.5461
cat_Latn,1.2948,1.2643,1.2185,1.1514
ceb_Latn,1.6449,1.6037,1.471,1.0556
ces_Latn,1.3231,1.2955,1.2156,1.0576
chv_Cyrl,2.2772,2.2171,2.0746,1.7142
cjk_Latn,1.4333,1.3499,1.1746,0.8515
ckb_Arab,1.9928,1.8235,1.6248,1.318
cmn_Hans,1.1021,1.0409,0.9686,0.8978
cmn_Hant,0.9984,0.9542,0.9134,0.8874
crh_Latn,1.4848,1.3609,1.1194,0.8385
cym_Latn,1.289,1.1314,0.9294,0.796
dan_Latn,1.2351,1.1824,1.0988,1.0217
dar_Cyrl,2.5108,2.4561,2.3603,2.0522
deu_Latn,1.2679,1.2487,1.2128,1.1572
dgo_Deva,2.6704,2.7696,2.8622,2.9007
dik_Latn,1.3297,1.2574,1.1004,0.7784
dyu_Latn,1.366,1.2695,1.0966,0.89
dzo_Tibt,3.1972,3.4595,3.9013,4.654
ekk_Latn,1.2775,1.1357,0.8857,0.7138
ell_Grek,2.4182,2.3327,2.1604,1.7926
eng_Latn,1.0,1.0,1.0,1.0
epo_Latn,1.2542,1.1634,1.0091,0.8834
eus_Latn,1.3384,1.1851,0.9112,0.7495
ewe_Latn,1.4651,1.3738,1.1891,0.8271
fao_Latn,1.3788,1.2383,1.0074,0.8352
fij_Latn,1.5734,1.4962,1.3181,1.0215
fil_Latn,1.7132,1.6754,1.5405,1.0983
fin_Latn,1.3782,1.296,1.1503,0.9201
fon_Latn,1.7047,1.6085,1.4197,1.0036
fra_Latn,1.3587,1.3397,1.2991,1.2383
fur_Latn,1.3655,1.3143,1.2175,1.0966
fuv_Latn,1.2607,1.1994,1.077,0.8657
gaz_Latn,1.5653,1.4319,1.1464,0.8329
gla_Latn,1.6645,1.535,1.2815,0.9584
gle_Latn,1.5352,1.4039,1.174,0.9321
glg_Latn,1.3021,1.2746,1.2268,1.1631
gom_Deva,2.5774,2.6583,2.7219,2.7943
gug_Latn,1.4551,1.3316,1.0824,0.7688
guj_Gujr,2.6046,2.6924,2.7047,2.8053
hat_Latn,1.1533,1.0671,0.9384,0.8711
hau_Latn,1.4293,1.3574,1.2205,1.0043
heb_Hebr,2.1374,2.2925,2.4689,2.2166
hin_Deva,2.5008,2.5911,2.6492,2.7297
hne_Deva,2.4812,2.5757,2.6411,2.7301
hrv_Latn,1.1942,1.1515,1.068,0.9543
hun_Latn,1.3799,1.3333,1.247,1.097
hye_Armn,2.6325,2.7399,2.8148,2.4641
ibo_Latn,1.6504,1.5172,1.2693,0.9146
ilo_Latn,1.6271,1.5441,1.3358,0.9349
ind_Latn,1.2649,1.247,1.2038,1.0961
isl_Latn,1.3761,1.2146,0.9676,0.7582
ita_Latn,1.3091,1.2869,1.2558,1.2068
jav_Latn,1.328,1.2631,1.1138,0.8872
jpn_Jpan,1.4402,1.4255,1.3331,1.1252
kab_Latn,1.3733,1.2394,1.0151,0.7502
kac_Latn,1.6889,1.6394,1.5015,1.1307
kam_Latn,1.3229,1.2342,1.047,0.7834
kan_Knda,2.8236,2.9415,3.1061,3.251
kas_Arab,1.7824,1.7013,1.6246,1.4513
kas_Deva,2.4891,2.5959,2.6698,2.7143
kat_Geor,3.2968,3.5347,3.8949,4.2206
kaz_Cyrl,2.1998,2.1357,2.0063,1.6423
kbp_Latn,1.9629,1.8512,1.5702,0.9197
kea_Latn,1.2537,1.1865,1.0648,0.9262
khk_Cyrl,2.3366,2.3264,2.2475,1.8346
khm_Khmr,3.6069,3.8641,4.251,4.7968
kik_Latn,1.6574,1.4899,1.187,0.9151
kin_Latn,1.4827,1.3851,1.1627,0.8485
kir_Cyrl,2.1956,2.1432,2.0166,1.6515
kjh_Cyrl,2.3583,2.2972,2.1612,1.8286
kmb_Latn,1.4599,1.3906,1.224,0.9014
kmr_Latn,1.3543,1.2356,1.0353,0.9103
knc_Arab,1.9612,1.9966,2.0015,1.8248
knc_Latn,1.5239,1.4064,1.1684,0.7807
kor_Hang,1.2941,1.2315,1.1568,1.0832
ktu_Latn,1.5213,1.4641,1.3192,0.9479
lao_Laoo,3.1379,3.3553,3.7207,4.2232
lij_Latn,1.4142,1.3614,1.2639,1.1279
lim_Latn,1.2712,1.2087,1.1065,1.0232
lin_Latn,1.4229,1.3434,1.1714,0.8828
lit_Latn,1.3649,1.2392,0.9988,0.7569
lld_Latn,1.3392,1.274,1.1522,1.0173
