lang_code,t_0.2480,t_0.3887,t_0.6260,t_1.0039
ace_Arab,2.4399,2.497,2.4986,2.3513
ace_Latn,1.6207,1.6353,1.5915,1.4248
acm_Arab,2.548,2.6649,2.7755,2.807
acq_Arab,2.5682,2.6888,2.8044,2.8419
aeb_Arab,2.5162,2.633,2.7441,2.7753
afr_Latn,1.4935,1.5014,1.4768,1.4067
als_Latn,1.76,1.7381,1.6398,1.3764
amh_Ethi,3.6738,3.976,4.2864,4.0933
apc_Arab_nort3139,2.4275,2.5453,2.6578,2.6967
apc_Arab_sout3123,2.427,2.5418,2.6442,2.67
arb_Arab,2.5963,2.7222,2.8344,2.8686
arb_Latn,1.7523,1.7637,1.7162,1.5714
arg_Latn,1.5979,1.5827,1.5067,1.3699
ars_Arab,2.6007,2.725,2.8381,2.8711
ary_Arab,2.5377,2.6628,2.7803,2.8421
arz_Arab,2.5368,2.6638,2.7912,2.844
asm_Beng,3.6761,3.7413,3.7526,3.6765
ast_Latn,1.4084,1.3924,1.3142,1.2039
awa_Deva,3.5301,3.6704,3.541,3.5606
ayr_Latn,1.5923,1.5688,1.4721,1.2852
azb_Arab,2.5023,2.4877,2.367,2.1134
azj_Latn,1.8198,1.8258,1.7879,1.6618
bak_Cyrl,2.8993,2.917,2.8113,2.4397
bam_Latn,1.5699,1.5574,1.458,1.2281
ban_Latn,1.6715,1.693,1.6676,1.5027
bel_Cyrl,3.3998,3.4827,3.4957,3.2405
bem_Latn,1.952,1.9769,1.918,1.6321
ben_Beng,3.7149,3.802,3.7859,3.6391
bho_Deva,3.475,3.6107,3.4365,3.4645
bjn_Arab,2.7098,2.7908,2.8367,2.7705
bjn_Latn,1.5894,1.6208,1.616,1.4975
bod_Tibt,5.2191,5.15,4.6229,4.5382
bos_Latn,1.4426,1.4328,1.3807,1.2903
brx_Deva,3.8408,4.0045,4.0271,4.1198
bug_Latn,1.6977,1.7077,1.6471,1.4161
bul_Cyrl,2.786,2.7831,2.6906,2.3373
cat_Latn,1.4364,1.4204,1.3607,1.2587
