lang_code,t_0.2359,t_0.3662,t_0.5928,t_0.9496
ace_Arab,3.3436,3.051,2.453,1.4266
ace_Latn,2.3088,2.144,1.8476,1.2641
acm_Arab,3.3995,3.3034,3.0612,2.3227
acq_Arab,3.4193,3.3319,3.0946,2.3608
aeb_Arab,3.3532,3.2658,3.0295,2.3059
afr_Latn,2.0864,1.9793,1.7952,1.5086
als_Latn,2.5322,2.3173,1.9394,1.341
amh_Ethi,5.5485,5.6196,5.698,5.3894
apc_Arab_nort3139,3.2706,3.1797,2.9451,2.2076
apc_Arab_sout3123,3.2394,3.1486,2.919,2.193
arb_Arab,3.4467,3.3631,3.1298,2.4041
arb_Latn,2.5368,2.3224,1.9521,1.3666
arg_Latn,1.9311,1.8491,1.6818,1.4274
ars_Arab,3.4523,3.3669,3.1344,2.4033
ary_Arab,3.4128,3.3211,3.0872,2.3353
arz_Arab,3.3914,3.3121,3.0843,2.327
asm_Beng,4.1717,4.2536,4.3548,4.1756
ast_Latn,1.6984,1.6253,1.4818,1.2755
awa_Deva,3.9524,4.0319,4.1732,4.0875
ayr_Latn,2.2655,2.0351,1.6667,1.1471
azb_Arab,3.2,2.7562,2.0599,1.2245
azj_Latn,2.722,2.5521,2.2783,1.8445
bak_Cyrl,3.9372,3.5863,2.8892,1.7446
bam_Latn,2.2553,2.0028,1.5765,0.9784
ban_Latn,2.3471,2.2001,1.9179,1.3559
bel_Cyrl,3.6041,3.5336,3.3129,2.4403
bem_Latn,2.8155,2.5927,2.1208,1.2898
ben_Beng,4.2106,4.2947,4.3963,4.1404
bho_Deva,3.8764,3.9542,4.0941,3.9656
bjn_Arab,3.6589,3.382,2.7771,1.6281
bjn_Latn,2.206,2.1021,1.9028,1.4529
bod_Tibt,4.7579,4.8544,5.0232,5.2616
bos_Latn,1.9417,1.8248,1.6275,1.3592
brx_Deva,4.5523,4.6462,4.8127,4.7013
bug_Latn,2.4308,2.2481,1.8927,1.2581
bul_Cyrl,2.0729,2.0631,2.0056,1.6307
cat_Latn,1.6682,1.6028,1.4812,1.3094
ceb_Latn,2.5552,2.4434,2.1992,1.682
ces_Latn,1.6827,1.6205,1.5179,1.3475
