lang_code,t_1.1904,t_1.3340,t_1.4946,t_1.7988
ace_Arab,4.2523,4.3088,4.1916,3.5704
ace_Latn,3.2572,3.5138,3.8007,4.0405
acm_Arab,3.1574,3.0437,2.8928,2.8157
acq_Arab,3.1684,3.0502,2.905,2.8431
aeb_Arab,3.0904,2.9786,2.8501,2.8062
afr_Latn,2.6786,2.7863,2.8672,2.7953
als_Latn,3.6327,3.9687,4.3982,5.116
amh_Ethi,3.8319,4.1487,4.5825,4.6357
apc_Arab_nort3139,3.0496,2.94,2.7993,2.7246
apc_Arab_sout3123,3.0102,2.8935,2.7594,2.7091
arb_Arab,3.1714,3.0543,2.9149,2.8746
arb_Latn,3.6946,4.0166,4.4025,4.9498
arg_Latn,2.3408,2.3598,2.3745,2.1977
ars_Arab,3.1777,3.0587,2.9166,2.8795
ary_Arab,3.1798,3.0441,2.8998,2.8562
arz_Arab,3.1406,3.014,2.8728,2.822
asm_Beng,2.8838,3.0425,3.2727,3.5746
ast_Latn,2.0699,2.0946,2.1077,1.9631
awa_Deva,2.7088,2.8772,3.101,3.3127
ayr_Latn,3.2541,3.5233,3.856,4.3262
azb_Arab,4.4207,4.4416,4.2987,2.9541
azj_Latn,3.6134,3.9334,4.3384,4.9706
bak_Cyrl,5.0666,5.2255,5.3175,4.8376
bam_Latn,3.3486,3.6602,4.0544,4.7023
ban_Latn,3.2263,3.4374,3.6426,3.6927
bel_Cyrl,3.1944,3.0173,2.8025,2.3002
bem_Latn,3.8209,4.1311,4.5005,4.8762
ben_Beng,2.9035,3.0569,3.2642,3.5115
bho_Deva,2.6525,2.8187,3.0418,3.2227
bjn_Arab,4.5113,4.4417,4.1323,3.3464
bjn_Latn,2.8359,2.9446,3.0227,2.9816
bod_Tibt,3.3433,3.461,3.7562,4.5008
bos_Latn,2.5481,2.6262,2.6832,2.6256
brx_Deva,3.1403,3.3111,3.5853,3.8204
bug_Latn,3.314,3.5762,3.8693,4.1519
bul_Cyrl,1.7453,1.595,1.4692,1.2673
cat_Latn,2.0484,2.0599,2.0642,1.9043
ceb_Latn,3.3032,3.4687,3.6028,3.696
ces_Latn,2.1699,2.215,2.2656,2.2558
chv_Cyrl,5.0877,5.1838,5.2167,4.7414
cjk_Latn,3.3685,3.639,3.948,4.1751
ckb_Arab,5.6281,5.9227,6.0021,4.4616
cmn_Hans,2.3267,2.4688,2.6116,2.6028
cmn_Hant,2.2918,2.44,2.5991,2.6023
crh_Latn,3.1975,3.4349,3.7091,3.9449
cym_Latn,3.4669,3.8075,4.2547,5.0615
dan_Latn,2.2725,2.3387,2.3873,2.275
dar_Cyrl,4.5474,4.467,4.2972,3.5915
deu_Latn,1.7376,1.7282,1.7187,1.6559
dgo_Deva,2.9211,3.082,3.3022,3.5352
dik_Latn,3.0495,3.3324,3.6959,4.3256
dyu_Latn,3.3697,3.6739,4.0571,4.608
dzo_Tibt,3.6849,3.7781,4.0888,4.8836
ekk_Latn,3.1488,3.4233,3.7633,4.2342
ell_Grek,3.7598,3.6273,3.4894,2.8845
eng_Latn,1.0,1.0,1.0,1.0
epo_Latn,3.059,3.3034,3.5922,3.9319
eus_Latn,3.3492,3.6607,4.0524,4.6207
ewe_Latn,3.427,3.7464,4.1577,4.8976
fao_Latn,3.3525,3.6408,4.0015,4.51
fij_Latn,3.5596,3.8225,4.1299,4.453
fil_Latn,3.4066,3.5415,3.6558,3.7393
fin_Latn,2.5497,2.6358,2.7208,2.6411
fon_Latn,4.009,4.3757,4.8511,5.6979
fra_Latn,1.6512,1.6313,1.6158,1.514
fur_Latn,3.0565,3.2093,3.3477,3.3007
fuv_Latn,2.9952,3.2554,3.5658,3.9527
gaz_Latn,3.8256,4.1665,4.5645,5.0239
gla_Latn,4.0934,4.4712,4.9503,5.7412
gle_Latn,3.9726,4.3439,4.8213,5.6094
glg_Latn,2.115,2.1229,2.1174,1.9774
gom_Deva,2.8311,2.9824,3.212,3.391
gug_Latn,3.2904,3.5788,3.9404,4.5038
guj_Gujr,2.8245,3.0336,3.3372,3.694
hat_Latn,2.9951,3.2639,3.6011,4.1255
hau_Latn,3.4406,3.7359,4.0897,4.5089
heb_Hebr,2.431,2.5389,2.7781,3.3498
hin_Deva,2.705,2.845,3.0352,3.1726
hne_Deva,2.6651,2.8344,3.0586,3.2453
hrv_Latn,2.4978,2.5689,2.6236,2.5574
hun_Latn,2.4332,2.4709,2.4857,2.3215
hye_Armn,4.8234,4.8211,4.888,4.9006
ibo_Latn,3.5502,3.8639,4.2738,4.9767
ilo_Latn,3.6347,3.9026,4.1816,4.4379
ind_Latn,2.0487,2.0395,2.0262,1.973
isl_Latn,3.4301,3.7461,4.1436,4.7418
ita_Latn,1.878,1.8417,1.8028,1.683
jav_Latn,3.0225,3.2238,3.4171,3.4815
jpn_Jpan,1.9134,1.8888,1.9254,1.8456
kab_Latn,3.4282,3.7648,4.1957,4.9932
kac_Latn,3.803,4.0952,4.4234,4.6668
kam_Latn,3.1754,3.4477,3.7769,4.2
kan_Knda,3.301,3.4011,3.6246,4.0018
kas_Arab,5.0497,5.1625,5.0665,3.4914
kas_Deva,2.6817,2.8632,3.1245,3.3934
kat_Geor,3.4375,3.6998,4.0948,4.8521
kaz_Cyrl,4.7465,4.7419,4.6306,3.8645
kbp_Latn,4.4556,4.8746,5.4034,6.3121
kea_Latn,2.9334,3.1327,3.3467,3.5238
khk_Cyrl,4.5135,4.4438,4.3049,3.8413
khm_Khmr,3.9162,4.2294,4.6956,5.6296
kik_Latn,4.0969,4.4694,4.9413,5.7148
kin_Latn,3.5619,3.8709,4.2466,4.6791
kir_Cyrl,4.3028,4.2708,4.1424,3.4811
kjh_Cyrl,4.586,4.5214,4.3794,3.6678
kmb_Latn,3.4502,3.7317,4.0598,4.3278
kmr_Latn,3.5597,3.8976,4.3287,5.018
knc_Arab,3.0267,2.8687,2.8149,2.8107
knc_Latn,3.3884,3.6977,4.0923,4.7501
kor_Hang,2.2763,2.2197,2.0784,1.7386
ktu_Latn,3.3825,3.6331,3.9118,4.0765
lao_Laoo,3.5918,3.7926,4.1566,4.9436
lij_Latn,3.0519,3.1836,3.2919,3.2132
lim_Latn,2.9186,3.0875,3.2508,3.2821
lin_Latn,3.224,3.4744,3.7617,4.0104
lit_Latn,3.3386,3.6336,4.0004,4.5613
lld_Latn,3.2058,3.4279,3.6742,3.8835
lld_Latn_gard1241,3.2487,3.4809,3.7405,3.9478
lmo_Latn,3.174,3.3584,3.5526,3.6374
ltg_Latn,3.3147,3.6189,4.0068,4.6423
ltz_Latn,3.2275,3.4325,3.6521,3.7533
lua_Latn,3.3264,3.5987,3.8902,4.057
lug_Latn,3.2542,3.5399,3.8854,4.2659
luo_Latn,3.2777,3.5633,3.9047,4.241
lus_Latn,3.2798,3.5491,3.872,4.1973
lvs_Latn,3.4937,3.7979,4.1847,4.8301
mag_Deva,2.6599,2.8255,3.0461,3.1967
mai_Deva,2.7445,2.9223,3.1655,3.4386
mal_Mlym,3.3141,3.4616,3.7254,4.2139
mar_Deva,2.9507,3.0998,3.3103,3.4789
mfe_Latn,2.8668,3.1077,3.4042,3.763
mhr_Cyrl,3.792,3.712,3.5438,2.9648
min_Arab,4.6025,4.5287,4.1649,3.3394
min_Latn,2.9406,3.0864,3.2044,3.2133
mkd_Cyrl,2.1362,1.9538,1.7782,1.5035
mlt_Latn,3.6261,3.9618,4.3961,5.0931
mni_Beng,3.1052,3.2741,3.545,3.8525
mni_Mtei,5.2925,5.2615,5.2471,5.4811
mos_Latn,3.2514,3.5519,3.9346,4.5634
mri_Latn,3.4162,3.6906,4.0213,4.3082
mya_Mymr,4.0165,4.3976,4.9174,5.9256
myv_Cyrl,3.4914,3.3648,3.1627,2.5808
nld_Latn,2.0494,2.0575,2.0446,1.9427
nno_Latn,2.4493,2.5443,2.6271,2.5504
nob_Latn,2.2245,2.2943,2.3445,2.2419
nob_Latn_radical,2.2518,2.3249,2.384,2.2877
npi_Deva,2.8603,3.0099,3.2122,3.3341
