lang_code,t_0.2359,t_0.3662,t_0.5928,t_0.9496
ace_Arab,2.2668,2.1972,1.923,1.2878
ace_Latn,1.5792,1.5611,1.467,1.1501
acm_Arab,2.457,2.5049,2.4195,2.0955
acq_Arab,2.4774,2.5308,2.4491,2.1307
aeb_Arab,2.4286,2.479,2.3998,2.08
afr_Latn,1.4896,1.4955,1.4673,1.3906
als_Latn,1.7293,1.689,1.5501,1.2291
amh_Ethi,3.6937,4.0118,4.4737,4.872
apc_Arab_nort3139,2.3417,2.3915,2.3165,1.9899
apc_Arab_sout3123,2.3434,2.3859,2.307,1.9738
arb_Arab,2.5104,2.5685,2.4837,2.1705
arb_Latn,1.6884,1.6546,1.5296,1.2392
arg_Latn,1.594,1.5767,1.4941,1.3516
ars_Arab,2.514,2.5702,2.4867,2.1695
ary_Arab,2.4501,2.501,2.4371,2.1045
arz_Arab,2.451,2.5103,2.438,2.0973
asm_Beng,3.7159,3.8053,3.88,3.8368
ast_Latn,1.4099,1.3973,1.3191,1.2079
awa_Deva,3.5601,3.7241,3.7741,3.7317
ayr_Latn,1.5355,1.4728,1.3209,1.0448
azb_Arab,2.2303,2.0508,1.676,1.1419
azj_Latn,1.8225,1.8321,1.797,1.6767
bak_Cyrl,2.7475,2.6548,2.3199,1.5942
bam_Latn,1.4978,1.4253,1.2359,0.8872
ban_Latn,1.6346,1.6347,1.5507,1.247
bel_Cyrl,3.2498,3.2355,2.996,2.2642
bem_Latn,1.8848,1.8587,1.6696,1.1726
ben_Beng,3.7497,3.8601,3.9182,3.8023
bho_Deva,3.5028,3.6612,3.673,3.6278
bjn_Arab,2.5103,2.4527,2.183,1.4745
bjn_Latn,1.5704,1.5869,1.555,1.3427
bod_Tibt,5.484,5.575,5.5402,5.1383
bos_Latn,1.4344,1.4215,1.3591,1.2611
brx_Deva,3.8709,4.0488,4.2091,4.2932
bug_Latn,1.6566,1.6378,1.507,1.1481
bul_Cyrl,2.6396,2.5636,2.2617,1.6687
cat_Latn,1.4346,1.4202,1.358,1.2542
ceb_Latn,1.7329,1.7654,1.7364,1.5289
ces_Latn,1.432,1.4281,1.3912,1.3016
chv_Cyrl,2.8375,2.7875,2.5134,1.8801
