iso,language,tokens_B_reported,inflation_factor,adjusted_tokens_B,adjusted_share_pct
en,English,1794.0,1.0,1794.0,90.36852309734402
unk,Unknown,167.6,,167.6,8.442455112104156
de,German,3.4,1.4024917862138513,2.424256621978939,0.12211621546108861
fr,French,3.2,1.4445854071110245,2.2151684381192576,0.11158389083873335
sv,Swedish,3.0,1.4246771412771218,2.1057402502511646,0.10607170370224603
es,Spanish,2.6,1.44012881819069,1.8053940502812225,0.09094247153436238
nl,Dutch,2.4,1.4447805861878273,1.6611518890439951,0.08367661251575749
ru,Russian,2.6,1.6355030740704597,1.589724923921475,0.0800786474391423
it,Italian,2.2,1.4420480791125858,1.5256079404466503,0.07684890546474056
zh,Chinese,2.6,1.936924628346508,1.342334111482458,0.06761691814819135
pt,Portuguese,1.8,1.4035327412901337,1.2824780976220276,0.06460181247870347
pl,Polish,1.8,1.6786376500439153,1.0722981222021977,0.05401449142891189
ja,Japanese,2.0,2.1519794411372435,0.9293769084257943,0.04681517202631805
uk,Ukrainian,1.4,1.7075566832568883,0.8198849348472147,0.04129977183495258
vi,Vietnamese,1.6,2.845288051787515,0.5623332228154618,0.028326211167448698
ca,Catalan,0.8,1.4951693178491265,0.5350564584557144,0.026952208430511885
sr,Serbian,0.8,1.7086301681793046,0.46821132793907666,0.02358504247675617
no,Norwegian,0.6,1.4526853387983474,0.4130281926685626,0.02080532205631174
ko,Korean,1.2,3.071793370417358,0.3906512760775177,0.01967813760603014
cs,Czech,0.6,1.6681305097426888,0.35968408736349455,0.018118238437377403
ro,Romanian,0.6,1.6741810611235808,0.3583841759608285,0.01805275846323229
id,Indonesian,0.6,1.7356950001626492,0.34568285323387743,0.017412959256868137
hu,Hungarian,0.6,1.756546631534433,0.3415793177525093,0.017206253325469704
fi,Finnish,0.6,1.8781106665365472,0.3194699922057677,0.01609254814356479
da,Danish,0.4,1.5018054064604274,0.2663460913639613,0.013416556805636254
bg,Bulgarian,0.4,1.7563839823037637,0.22774063304502437,0.011471897802415292
hr,Croatian,0.2,1.6454897368335448,0.12154436185355054,0.006122510853687024
sl,Slovenian,0.2,1.6476367066783775,0.12138598223099704,0.006114532853364353
