Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,combined_t_0.0000_bpp,combined_t_0.0000_pps,combined_t_0.2578_bpp,combined_t_0.2578_pps,combined_t_0.4688_bpp,combined_t_0.4688_pps,combined_t_0.9375_bpp,combined_t_0.9375_pps,norm_entropy_t_0.4072_bpp,norm_entropy_t_0.4072_pps,norm_entropy_t_0.5293_bpp,norm_entropy_t_0.5293_pps,norm_entropy_t_0.7222_bpp,norm_entropy_t_0.7222_pps,norm_entropy_t_1.0371_bpp,norm_entropy_t_1.0371_pps,raw_entropy_t_1.1904_bpp,raw_entropy_t_1.1904_pps,raw_entropy_t_1.3340_bpp,raw_entropy_t_1.3340_pps,raw_entropy_t_1.4946_bpp,raw_entropy_t_1.4946_pps,raw_entropy_t_1.7988_bpp,raw_entropy_t_1.7988_pps,raw_monotonicity_t_0.2359_bpp,raw_monotonicity_t_0.2359_pps,raw_monotonicity_t_0.3662_bpp,raw_monotonicity_t_0.3662_pps,raw_monotonicity_t_0.5928_bpp,raw_monotonicity_t_0.5928_pps,raw_monotonicity_t_0.9496_bpp,raw_monotonicity_t_0.9496_pps,combined_t_0.0000_pps_premium,combined_t_0.2578_pps_premium,combined_t_0.4688_pps_premium,combined_t_0.9375_pps_premium,norm_entropy_t_0.4072_pps_premium,norm_entropy_t_0.5293_pps_premium,norm_entropy_t_0.7222_pps_premium,norm_entropy_t_1.0371_pps_premium,raw_entropy_t_1.1904_pps_premium,raw_entropy_t_1.3340_pps_premium,raw_entropy_t_1.4946_pps_premium,raw_entropy_t_1.7988_pps_premium,raw_monotonicity_t_0.2359_pps_premium,raw_monotonicity_t_0.3662_pps_premium,raw_monotonicity_t_0.5928_pps_premium,raw_monotonicity_t_0.9496_pps_premium
achi1257,ace,ace_Arab,997,,,,Acehnese (Jawi script),Arab,Abjad,2 bytes,Austronesian,Austronesian > Malayo-Polynesian > Malayo-Chamic > Aceh-Chamic,Austronesian > Malayo-Chamic > Aceh-Chamic,1.9458,97.7252,2.3834,79.7823,2.9688,64.0491,6.287,30.2447,2.9188,65.1474,3.2594,58.338,3.9948,47.5998,6.0899,31.2237,1.2271,154.9639,1.3455,141.323,1.5683,121.2417,2.2827,83.3019,2.3286,81.659,2.6415,71.986,3.4714,54.7763,6.4375,29.5376,2.7295,2.4309,2.102,1.3117,1.8149,1.7782,1.6654,1.3614,4.2523,4.3088,4.1916,3.5704,2.2668,2.1972,1.923,1.2878
achi1257,ace,ace_Latn,997,,,,Acehnese (Latin script),Latn,Alphabet,1 byte,Austronesian,Austronesian > Malayo-Polynesian > Malayo-Chamic > Aceh-Chamic,Austronesian > Malayo-Chamic > Aceh-Chamic,2.0585,66.669,2.4713,55.5336,2.9425,46.6409,5.1148,26.8315,2.6671,51.4564,3.1128,44.0883,4.1752,32.8696,6.7486,20.336,1.1562,118.7011,1.1908,115.2467,1.2484,109.9338,1.4558,94.2688,2.4123,56.8907,2.6832,51.1474,3.2843,41.7864,5.2025,26.3791,1.8621,1.6921,1.5307,1.1637,1.4335,1.3439,1.15,0.8867,3.2572,3.5138,3.8007,4.0405,1.5792,1.5611,1.467,1.1501
meso1252,acm,acm_Arab,997,,,,Mesopotamian Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Eastern Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Eastern Arabic,1.987,99.1996,2.2582,87.2859,2.5785,76.4443,4.0351,48.8485,2.7717,71.1143,2.9774,66.2026,3.4584,56.995,5.2656,37.4333,1.713,115.0642,1.9745,99.8285,2.3557,83.674,3.0005,65.6931,2.227,88.5095,2.4017,82.0702,2.8601,68.9178,4.101,48.0642,2.7707,2.6596,2.5088,2.1186,1.9811,2.0179,1.9941,1.6322,3.1574,3.0437,2.8928,2.8157,2.457,2.5049,2.4195,2.0955
taiz1242,acq,acq_Arab,997,,,,Taʽizzi-Adeni Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Arabian Peninsula Arabic,1.9868,100.1083,2.2577,88.0973,2.573,77.3039,4.0028,49.6901,2.7688,71.8365,2.9644,67.0953,3.4375,57.8616,5.274,37.7131,1.7226,115.4634,1.9882,100.0401,2.3671,84.0251,2.9985,66.332,2.2286,89.2477,2.3988,82.9168,2.8511,69.7623,4.0698,48.8716,2.7961,2.6843,2.537,2.1551,2.0012,2.0451,2.0244,1.6444,3.1684,3.0502,2.905,2.8431,2.4774,2.5308,2.4491,2.1307
tuni1259,aeb,aeb_Arab,997,,,,Tunisian Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > North African Arabic > Western Middle Arabic > Maghrebi > Malta-Tunisian Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > North African Arabic > Malta-Tunisian Arabic,1.9822,98.0522,2.2514,86.33,2.568,75.6861,4.013,48.4333,2.7597,70.4303,2.9499,65.8887,3.4197,56.8355,5.2683,36.8927,1.7258,112.6219,1.9895,97.6921,2.3577,82.4393,2.9687,65.4714,2.2216,87.4885,2.393,81.2207,2.8434,68.3561,4.074,47.7081,2.7386,2.6304,2.4839,2.1006,1.962,2.0083,1.9885,1.6086,3.0904,2.9786,2.8501,2.8062,2.4286,2.479,2.3998,2.08
afri1274,afr,afr_Latn,997,,20215994.0,20131887.0,Afrikaans,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > Macro-Dutch > Middle-Modern Dutch > Modern Dutch > Global Dutch > Afrikaansic,Indo-European > Germanic > West Germanic > Macro-Dutch > Afrikaansic,2.1992,61.3089,2.5779,52.3009,2.9663,45.4534,4.1967,32.1274,2.9838,45.1876,3.3851,39.8295,4.1525,32.4694,5.4522,24.7292,1.3812,97.6138,1.4754,91.3852,1.6258,82.9328,2.0674,65.2177,2.5125,53.663,2.7517,48.998,3.2259,41.7954,4.227,31.8967,1.7124,1.5936,1.4917,1.3934,1.2588,1.214,1.136,1.0782,2.6786,2.7863,2.8672,2.7953,1.4896,1.4955,1.4673,1.3906
tosk1239,als,als_Latn,997,,84761612.0,84375408.0,Albanian (Tosk),Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Albanian > Albanian-Tosk,Indo-European > Albanian,2.0388,74.7332,2.5192,60.4835,3.0482,49.987,5.3308,28.5827,2.6574,57.338,3.2368,47.0732,4.6136,33.0261,7.4495,20.4534,1.1509,132.3852,1.1705,130.1685,1.1977,127.2177,1.2765,119.3611,2.4459,62.2949,2.7535,55.336,3.4509,44.1535,5.4045,28.1926,2.0873,1.8429,1.6405,1.2396,1.5973,1.4348,1.1555,0.8918,3.6327,3.9687,4.3982,5.116,1.7293,1.689,1.5501,1.2291
amha1245,amh,amh_Ethi,997,,5733709.0,5702512.0,Amharic,Ethi,Abugida,3 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Ethiosemitic > South Ethiopic > Amharic-Argobba,Afro-Asiatic > Semitic > Ethiosemitic > South Ethiopic,1.6253,134.7763,1.6565,132.2387,1.6922,129.4483,1.9485,112.4213,3.1672,69.1625,3.2858,66.667,3.4795,62.9549,4.0508,54.0762,1.5687,139.6419,1.6098,136.0712,1.6526,132.5476,2.0254,108.1545,1.6462,133.0622,1.6666,131.4393,1.719,127.4303,1.9603,111.7472,3.7643,4.0293,4.2483,4.8758,1.9267,2.0321,2.2026,2.3578,3.8319,4.1487,4.5825,4.6357,3.6937,4.0118,4.4737,4.872
nort3139,apc,apc_Arab_nort3139,997,,,,Levantine Arabic (North),Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Levantine-Cypriot Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Levantine-Cypriot Arabic,1.9814,94.6219,2.2504,83.3119,2.5615,73.1926,4.0393,46.4152,2.7414,68.3892,2.9443,63.677,3.4364,54.5587,5.3061,35.334,1.687,111.1344,1.9443,96.4263,2.3155,80.9699,2.9494,63.5677,2.2225,84.3571,2.3928,78.3531,2.8414,65.984,4.1078,45.6409,2.6428,2.5385,2.4021,2.013,1.9052,1.9409,1.9089,1.5406,3.0496,2.94,2.7993,2.7246,2.3417,2.3915,2.3165,1.9899
sout3123,apc,apc_Arab_sout3123,997,,,,Levantine Arabic (South),Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Levantine-Cypriot Arabic > Levantine Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Levantine-Cypriot Arabic > Levantine Arabic,1.9831,94.4694,2.2506,83.2397,2.5722,72.8335,4.0703,46.0271,2.7519,68.0782,2.9495,63.5176,3.4242,54.7121,5.2695,35.5527,1.7078,109.6991,1.9741,94.9027,2.3472,79.8154,2.964,63.2056,2.2192,84.4183,2.3967,78.1685,2.8509,65.7131,4.1381,45.2728,2.6386,2.5363,2.3903,1.9962,1.8965,1.9361,1.9142,1.5502,3.0102,2.8935,2.7594,2.7091,2.3434,2.3859,2.307,1.9738
