Code,Script,Glottocode,Name,Notes,Family,Subfamily_1,Subfamily_2,Full_Classification,Minimal Full Classification,Language,Code_orig,Sentences,Total patches,Total bytes,Avg b/patch,Avg patches/sent,Premium vs EN
ace,Arab,achi1257,Acehnese (Jawi script),,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Aceh-Chamic,Austronesian > Malayo-Chamic > Aceh-Chamic,Acehnese (Arabic),ace_Arab,997,88016,189579,2.1539,88.2808,3.6423
ace,Latn,achi1257,Acehnese (Latin script),,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Aceh-Chamic,Austronesian > Malayo-Chamic > Aceh-Chamic,Acehnese (Latin),ace_Latn,997,96901,136827,1.412,97.1926,4.01
acm,Arab,meso1252,Mesopotamian Arabic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Eastern Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Eastern Arabic,Mesopotamian Arabic,acm_Arab,997,68393,196519,2.8734,68.5988,2.8303
acq,Arab,taiz1242,Taʽizzi-Adeni Arabic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Arabian Peninsula Arabic,Taizzi-Adeni Arabic,acq_Arab,997,68987,198303,2.8745,69.1946,2.8548
aeb,Arab,tuni1259,Tunisian Arabic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > North African Arabic > Western Middle Arabic > Maghrebi > Malta-Tunisian Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > North African Arabic > Malta-Tunisian Arabic,Tunisian Arabic,aeb_Arab,997,67913,193780,2.8534,68.1174,2.8104
afr,Latn,afri1274,Afrikaans,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > Macro-Dutch > Middle-Modern Dutch > Modern Dutch > Global Dutch > Afrikaansic,Indo-European > Germanic > West Germanic > Macro-Dutch > Afrikaansic,Afrikaans,afr_Latn,997,67868,134424,1.9807,68.0722,2.8085
als,Latn,tosk1239,Albanian (Tosk),,Indo-European,Classical Indo-European,Albanian,Indo-European > Classical Indo-European > Albanian > Albanian-Tosk,Indo-European > Albanian,Tosk Albanian,als_Latn,997,120562,151911,1.26,120.9248,4.9891
amh,Ethi,amha1245,Amharic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Ethiosemitic > South Ethiopic > Amharic-Argobba,Afro-Asiatic > Semitic > Ethiosemitic > South Ethiopic,Amharic,amh_Ethi,997,114724,218396,1.9037,115.0692,4.7475
apc,Arab,nort3139,Levantine Arabic (North),,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Levantine-Cypriot Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Levantine-Cypriot Arabic,North Levantine Arabic,apc_Arab_nort3139,997,66224,186923,2.8226,66.4233,2.7405
apc,Arab,sout3123,Levantine Arabic (South),,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Levantine-Cypriot Arabic > Levantine Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Levantine-Cypriot Arabic > Levantine Arabic,South Levantine Arabic,apc_Arab_sout3123,997,65734,186781,2.8415,65.9318,2.7202
arb,Arab,stan1318,Modern Standard Arabic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,Modern Standard Arabic,arb_Arab,997,69626,200576,2.8808,69.8355,2.8813
arb,Latn,stan1318,Modern Standard Arabic (Romanized),,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,Modern Standard Arabic (Latin),arb_Latn,997,117393,146403,1.2471,117.7462,4.858
arg,Latn,arag1245,Aragonese,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Unshifted Western Romance,Indo-European > Italic > Italo-Western Romance > Western Romance > Unshifted Western Romance,Aragonese,arg_Latn,997,53854,148208,2.752,54.016,2.2286
ars,Arab,najd1235,Najdi Arabic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic > North Arabian Beduin Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Arabian Peninsula Arabic > North Arabian Beduin Arabic,Najdi Arabic,ars_Arab,997,69728,200865,2.8807,69.9378,2.8855
ary,Arab,moro1292,Moroccan Arabic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > North African Arabic > Western Middle Arabic > Maghrebi,Afro-Asiatic > Semitic > Central Semitic > Arabian > North African Arabic,Moroccan Arabic,ary_Arab,997,69264,195424,2.8214,69.4724,2.8663
arz,Arab,egyp1253,Egyptian Arabic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Egyptic Arabic > Egypto-Sudanic Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Egyptic Arabic,Egyptian Arabic,arz_Arab,997,68389,196098,2.8674,68.5948,2.8301
asm,Beng,assa1263,Assamese,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Oriya-Gauda-Kamrupa > Gauda-Kamrupa > Kamrupa > Eastern Kamrupa,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Gauda-Kamrupa > Kamrupa,Assamese,asm_Beng,997,85093,321904,3.783,85.349,3.5213
ast,Latn,astu1245,Asturian,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Asturo-Leonese,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Asturo-Leonese,Asturian,ast_Latn,997,48091,132761,2.7606,48.2357,1.9901
awa,Deva,awad1243,Awadhi,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi > Awadhic,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi > Awadhic,Awadhi,awa_Deva,997,79424,315956,3.9781,79.663,3.2867
ayr,Latn,cent2142,Central Aymara,,Aymaran,Central-Southern Aymara,,Aymaran > Central-Southern Aymara,Aymaran,Central Aymara,ayr_Latn,997,102744,134408,1.3082,103.0532,4.2518
azb,Arab,sout2697,South Azerbaijani,,Turkic,Common Turkic,Oghuz,Turkic > Common Turkic > Oghuz > Nuclear Oghuz > Central Oghuz,Turkic > Common Turkic > Oghuz > Central Oghuz,South Azerbaijani,azb_Arab,997,77935,204336,2.6219,78.1695,3.2251
azj,Latn,nort2697,North Azerbaijani,,Turkic,Common Turkic,Oghuz,Turkic > Common Turkic > Oghuz > Nuclear Oghuz > Central Oghuz,Turkic > Common Turkic > Oghuz > Central Oghuz,North Azerbaijani,azj_Latn,997,117448,158394,1.3486,117.8014,4.8603
bak,Cyrl,bash1264,Bashkir,,Turkic,Common Turkic,Kipchak-Turkestan,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > North Kipchak > Bashkiric,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > North Kipchak,Bashkir,bak_Cyrl,997,119022,233577,1.9625,119.3801,4.9254
bam,Latn,bamb1269,Bambara,,Mande,Western Mande,Manding-Kpelle,Mande > Western Mande > Manding-Kpelle > Central Mande > Manding-Jogo > Manding-Vai > Manding-Mokole > Manding > East Manding,Mande,Bambara,bam_Latn,997,110875,131109,1.1825,111.2086,4.5882
ban,Latn,bali1278,Balinese,,Austronesian,Malayo-Polynesian,Bali-Sasak-Sumbawa,Austronesian > Malayo-Polynesian > Bali-Sasak-Sumbawa,Austronesian > Bali-Sasak-Sumbawa,Balinese,ban_Latn,997,88972,140691,1.5813,89.2397,3.6819
bel,Cyrl,bela1254,Belarusian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > East Slavic,Indo-European > Balto-Slavic > Slavic > East Slavic,Belarusian,bel_Cyrl,997,57047,262573,4.6027,57.2187,2.3607
bem,Latn,bemb1257,Bemba,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Sabi > Malungu-Central Sabi > Central Sabi > Bemba (M.40),Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > East Bantu > Sabi,Bemba,bem_Latn,997,116726,155724,1.3341,117.0772,4.8304
ben,Beng,beng1280,Bengali,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Oriya-Gauda-Kamrupa > Gauda-Kamrupa > Gauda-Banga,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Gauda-Kamrupa > Gauda-Banga,Bengali,ben_Beng,997,83817,329572,3.932,84.0692,3.4685
bho,Deva,bhoj1244,Bhojpuri,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Bihari > Magadhan > Bhojpuric,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Bihari > Bhojpuric,Bhojpuri,bho_Deva,997,77132,310444,4.0248,77.3641,3.1919
bjn,Arab,banj1239,Banjar (Jawi script),,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > East Borneo Malay > Banjar-Berau-Brunei Malay > Banjar-Bukit Malay,Austronesian > Malayo-Chamic > Malayic > East Borneo Malay,Banjar (Arabic),bjn_Arab,997,82926,211916,2.5555,83.1755,3.4317
bjn,Latn,banj1239,Banjar (Latin script),,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > East Borneo Malay > Banjar-Berau-Brunei Malay > Banjar-Bukit Malay,Austronesian > Malayo-Chamic > Malayic > East Borneo Malay,Banjar (Latin),bjn_Latn,997,72003,132177,1.8357,72.2197,2.9796
bod,Tibt,utsa1239,Lhasa Tibetan,,Sino-Tibetan,Bodic,Bodish,Sino-Tibetan > Bodic > Bodish > Early Old Tibetan > Middle Old Tibetan > Late Old Tibetan > Central Tibetan > Tibetan > Ü,Sino-Tibetan > Bodic > Central Tibetan,Tibetan,bod_Tibt,997,105083,418753,3.985,105.3992,4.3486
bos,Latn,bosn1245,Bosnian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian,Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian,Bosnian,bos_Latn,997,63676,130083,2.0429,63.8676,2.6351
brx,Deva,bodo1269,Bodo,dev only,Sino-Tibetan,Brahmaputran,Bodo-Garo,Sino-Tibetan > Brahmaputran > Bodo-Garo > Boroic > Tiwa-Boro > Bodo-Mech-Kachari,Sino-Tibetan > Brahmaputran > Bodo-Garo,Bodo,brx_Deva,997,91526,352347,3.8497,91.8014,3.7875
bug,Latn,bugi1244,Buginese,,Austronesian,Malayo-Polynesian,Greater South Sulawesi,Austronesian > Malayo-Polynesian > Greater South Sulawesi > South Sulawesi > Tamanic-Bugis > Bugis,Austronesian > Greater South Sulawesi,Buginese,bug_Latn,997,99317,138285,1.3924,99.6158,4.11
bul,Cyrl,bulg1262,Bulgarian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic > Macedo-Bulgarian,Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic,Bulgarian,bul_Cyrl,997,31035,237296,7.6461,31.1284,1.2843
