Code,Script,Glottocode,Name,Notes,Family,Subfamily_1,Subfamily_2,Full_Classification,Minimal Full Classification,Language,Code_orig,Sentences,Script_Name,Script_Type,Script_Tier,Bytes_Per_Char,cc_pages,cc_urls,prem_raw_entropy_t_1.1904,prem_raw_entropy_t_1.3340,prem_raw_entropy_t_1.4946,prem_raw_entropy_t_1.7988,prem_raw_monotonicity_t_0.2359,prem_raw_monotonicity_t_0.3662,prem_raw_monotonicity_t_0.5928,prem_raw_monotonicity_t_0.9496,prem_raw_combined_t_0.2359,prem_raw_combined_t_0.3662,prem_raw_combined_t_0.5928,prem_raw_combined_t_0.9496,prem_norm_entropy_t_0.4072,prem_norm_entropy_t_0.5293,prem_norm_entropy_t_0.7222,prem_norm_entropy_t_1.0371,prem_norm_monotonicity_t_0.2480,prem_norm_monotonicity_t_0.3887,prem_norm_monotonicity_t_0.6260,prem_norm_monotonicity_t_1.0039,prem_norm_combined_t_0.2480,prem_norm_combined_t_0.3887,prem_norm_combined_t_0.6260,prem_norm_combined_t_1.0039
ace,Arab,achi1257,Acehnese (Jawi script),,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Aceh-Chamic,Austronesian > Malayo-Chamic > Aceh-Chamic,Acehnese (Arabic),ace_Arab,997,Arabic,Abjad,2,2 bytes,,,4.2523,4.3088,4.1916,3.5704,2.2668,2.1972,1.923,1.2878,3.3436,3.051,2.453,1.4266,1.8149,1.7782,1.6654,1.3614,2.4399,2.497,2.4986,2.3513,2.2594,2.2654,2.2265,2.0155
ace,Latn,achi1257,Acehnese (Latin script),,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Aceh-Chamic,Austronesian > Malayo-Chamic > Aceh-Chamic,Acehnese (Latin),ace_Latn,997,Latin,Alphabet,1,1 byte,,,3.2572,3.5138,3.8007,4.0405,1.5792,1.5611,1.467,1.1501,2.3088,2.144,1.8476,1.2641,1.4335,1.3439,1.15,0.8867,1.6207,1.6353,1.5915,1.4248,1.605,1.5749,1.4919,1.2603
acm,Arab,meso1252,Mesopotamian Arabic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Eastern Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Eastern Arabic,Mesopotamian Arabic,acm_Arab,997,Arabic,Abjad,2,2 bytes,,,3.1574,3.0437,2.8928,2.8157,2.457,2.5049,2.4195,2.0955,3.3995,3.3034,3.0612,2.3227,1.9811,2.0179,1.9941,1.6322,2.548,2.6649,2.7755,2.807,2.7269,2.7642,2.7832,2.6947
acq,Arab,taiz1242,Taʽizzi-Adeni Arabic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Arabian Peninsula Arabic,Taizzi-Adeni Arabic,acq_Arab,997,Arabic,Abjad,2,2 bytes,,,3.1684,3.0502,2.905,2.8431,2.4774,2.5308,2.4491,2.1307,3.4193,3.3319,3.0946,2.3608,2.0012,2.0451,2.0244,1.6444,2.5682,2.6888,2.8044,2.8419,2.7702,2.8083,2.831,2.7389
aeb,Arab,tuni1259,Tunisian Arabic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > North African Arabic > Western Middle Arabic > Maghrebi > Malta-Tunisian Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > North African Arabic > Malta-Tunisian Arabic,Tunisian Arabic,aeb_Arab,997,Arabic,Abjad,2,2 bytes,,,3.0904,2.9786,2.8501,2.8062,2.4286,2.479,2.3998,2.08,3.3532,3.2658,3.0295,2.3059,1.962,2.0083,1.9885,1.6086,2.5162,2.633,2.7441,2.7753,2.7184,2.7563,2.7805,2.6783
afr,Latn,afri1274,Afrikaans,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > Macro-Dutch > Middle-Modern Dutch > Modern Dutch > Global Dutch > Afrikaansic,Indo-European > Germanic > West Germanic > Macro-Dutch > Afrikaansic,Afrikaans,afr_Latn,997,Latin,Alphabet,1,1 byte,20215994,20131887,2.6786,2.7863,2.8672,2.7953,1.4896,1.4955,1.4673,1.3906,2.0864,1.9793,1.7952,1.5086,1.2588,1.214,1.136,1.0782,1.4935,1.5014,1.4768,1.4067,1.4511,1.44,1.4001,1.2779
als,Latn,tosk1239,Albanian (Tosk),,Indo-European,Classical Indo-European,Albanian,Indo-European > Classical Indo-European > Albanian > Albanian-Tosk,Indo-European > Albanian,Tosk Albanian,als_Latn,997,Latin,Alphabet,1,1 byte,84761612,84375408,3.6327,3.9687,4.3982,5.116,1.7293,1.689,1.5501,1.2291,2.5322,2.3173,1.9394,1.341,1.5973,1.4348,1.1555,0.8918,1.76,1.7381,1.6398,1.3764,1.633,1.5675,1.4136,1.0396
amh,Ethi,amha1245,Amharic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Ethiosemitic > South Ethiopic > Amharic-Argobba,Afro-Asiatic > Semitic > Ethiosemitic > South Ethiopic,Amharic,amh_Ethi,997,Ethiopic,Abugida,3,3 bytes,5733709,5702512,3.8319,4.1487,4.5825,4.6357,3.6937,4.0118,4.4737,4.872,5.5485,5.6196,5.698,5.3894,1.9267,2.0321,2.2026,2.3578,3.6738,3.976,4.2864,4.0933,2.7603,2.8135,2.8446,2.5995
apc,Arab,nort3139,Levantine Arabic (North),,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Levantine-Cypriot Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Levantine-Cypriot Arabic,North Levantine Arabic,apc_Arab_nort3139,997,Arabic,Abjad,2,2 bytes,,,3.0496,2.94,2.7993,2.7246,2.3417,2.3915,2.3165,1.9899,3.2706,3.1797,2.9451,2.2076,1.9052,1.9409,1.9089,1.5406,2.4275,2.5453,2.6578,2.6967,2.6193,2.6557,2.6778,2.5924
apc,Arab,sout3123,Levantine Arabic (South),,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Levantine-Cypriot Arabic > Levantine Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Levantine-Cypriot Arabic > Levantine Arabic,South Levantine Arabic,apc_Arab_sout3123,997,Arabic,Abjad,2,2 bytes,,,3.0102,2.8935,2.7594,2.7091,2.3434,2.3859,2.307,1.9738,3.2394,3.1486,2.919,2.193,1.8965,1.9361,1.9142,1.5502,2.427,2.5418,2.6442,2.67,2.6115,2.6471,2.6698,2.5771
