Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,combined_t_0.0000_bpp,combined_t_0.0000_pps,combined_t_0.0000_pps_premium,combined_t_0.2578_bpp,combined_t_0.2578_pps,combined_t_0.2578_pps_premium,combined_t_0.4717_bpp,combined_t_0.4717_pps,combined_t_0.4717_pps_premium,combined_t_0.9434_bpp,combined_t_0.9434_pps,combined_t_0.9434_pps_premium,norm_entropy_t_0.4023_bpp,norm_entropy_t_0.4023_pps,norm_entropy_t_0.4023_pps_premium,norm_entropy_t_0.5293_bpp,norm_entropy_t_0.5293_pps,norm_entropy_t_0.5293_pps_premium,norm_entropy_t_0.7173_bpp,norm_entropy_t_0.7173_pps,norm_entropy_t_0.7173_pps_premium,norm_entropy_t_1.0322_bpp,norm_entropy_t_1.0322_pps,norm_entropy_t_1.0322_pps_premium,raw_entropy_t_1.2041_bpp,raw_entropy_t_1.2041_pps,raw_entropy_t_1.2041_pps_premium,raw_entropy_t_1.3340_bpp,raw_entropy_t_1.3340_pps,raw_entropy_t_1.3340_pps_premium,raw_entropy_t_1.5117_bpp,raw_entropy_t_1.5117_pps,raw_entropy_t_1.5117_pps_premium,raw_entropy_t_1.8193_bpp,raw_entropy_t_1.8193_pps,raw_entropy_t_1.8193_pps_premium,raw_monotonicity_t_0.2359_bpp,raw_monotonicity_t_0.2359_pps,raw_monotonicity_t_0.2359_pps_premium,raw_monotonicity_t_0.3662_bpp,raw_monotonicity_t_0.3662_pps,raw_monotonicity_t_0.3662_pps_premium,raw_monotonicity_t_0.5899_bpp,raw_monotonicity_t_0.5899_pps,raw_monotonicity_t_0.5899_pps_premium,raw_monotonicity_t_0.9439_bpp,raw_monotonicity_t_0.9439_pps,raw_monotonicity_t_0.9439_pps_premium
achi1257,ace,ace_Arab,997,,,,Acehnese (Jawi script),Arab,Abjad,2 bytes,Austronesian,Austronesian > Malayo-Polynesian > Malayo-Chamic > Aceh-Chamic,Austronesian > Malayo-Chamic > Aceh-Chamic,1.9458,97.7252,2.7295,2.3834,79.7823,2.4309,2.9795,63.8185,2.0969,6.3662,29.8686,1.2989,2.9063,65.4273,1.816,3.2594,58.338,1.7782,3.9726,47.8656,1.6691,6.0381,31.4915,1.3688,1.2364,153.7874,4.2677,1.3455,141.323,4.3088,1.5981,118.9829,4.1594,2.3402,81.2528,3.5355,2.3286,81.659,2.2668,2.6415,71.986,2.1972,3.4583,54.984,1.927,6.3462,29.9629,1.3025
achi1257,ace,ace_Latn,997,,,,Acehnese (Latin script),Latn,Alphabet,1 byte,Austronesian,Austronesian > Malayo-Polynesian > Malayo-Chamic > Aceh-Chamic,Austronesian > Malayo-Chamic > Aceh-Chamic,2.0585,66.669,1.8621,2.4713,55.5336,1.6921,2.9487,46.5426,1.5292,5.1643,26.5747,1.1557,2.651,51.7693,1.4369,3.1128,44.0883,1.3439,4.1419,33.1344,1.1554,6.7062,20.4644,0.8895,1.1591,118.3972,3.2856,1.1908,115.2467,3.5138,1.2559,109.2758,3.8201,1.4746,93.0712,4.0498,2.4123,56.8907,1.5792,2.6832,51.1474,1.5611,3.276,41.8927,1.4682,5.1588,26.6028,1.1564
meso1252,acm,acm_Arab,997,,,,Mesopotamian Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Eastern Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Eastern Arabic,1.987,99.1996,2.7707,2.2582,87.2859,2.6596,2.5844,76.2698,2.506,4.0665,48.4714,2.1079,2.765,71.2869,1.9786,2.9774,66.2026,2.0179,3.4421,57.2638,1.9969,5.2273,37.7081,1.6391,1.7336,113.7031,3.1553,1.9745,99.8285,3.0437,2.3921,82.4012,2.8806,3.0605,64.4052,2.8024,2.227,88.5095,2.457,2.4017,82.0702,2.5049,2.8532,69.0843,2.4212,4.0674,48.4614,2.1067
taiz1242,acq,acq_Arab,997,,,,Taʽizzi-Adeni Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Arabian Peninsula Arabic,1.9868,100.1083,2.7961,2.2577,88.0973,2.6843,2.5784,77.1404,2.5346,4.0359,49.2828,2.1432,2.7613,72.0321,1.9993,2.9644,67.0953,2.0451,3.4226,58.1143,2.0265,5.2292,38.0361,1.6533,1.743,114.1143,3.1668,1.9882,100.0401,3.0502,2.4045,82.7182,2.8917,3.0569,65.0652,2.8311,2.2286,89.2477,2.4774,2.3988,82.9168,2.5308,2.8451,69.9087,2.45,4.0374,49.2638,2.1415
tuni1259,aeb,aeb_Arab,997,,,,Tunisian Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > North African Arabic > Western Middle Arabic > Maghrebi > Malta-Tunisian Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > North African Arabic > Malta-Tunisian Arabic,1.9822,98.0522,2.7386,2.2514,86.33,2.6304,2.5739,75.5135,2.4811,4.0433,48.0702,2.0905,2.7532,70.5958,1.9594,2.9499,65.8887,2.0083,3.4019,57.1344,1.9923,5.2259,37.1926,1.6166,1.7459,111.328,3.0894,1.9895,97.6921,2.9786,2.3935,81.2036,2.8387,3.0235,64.2839,2.7972,2.2216,87.4885,2.4286,2.393,81.2207,2.479,2.8366,68.5186,2.4013,4.0449,48.0512,2.0888
afri1274,afr,afr_Latn,997,,20215994.0,20131887.0,Afrikaans,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > Macro-Dutch > Middle-Modern Dutch > Modern Dutch > Global Dutch > Afrikaansic,Indo-European > Germanic > West Germanic > Macro-Dutch > Afrikaansic,2.1992,61.3089,1.7124,2.5779,52.3009,1.5936,2.9717,45.3711,1.4907,4.2148,31.989,1.3911,2.9683,45.4223,1.2607,3.3851,39.8295,1.214,4.1328,32.6239,1.1376,5.4304,24.8285,1.0792,1.3887,97.0863,2.6942,1.4754,91.3852,2.7863,1.6432,82.0522,2.8684,2.1028,64.1194,2.79,2.5125,53.663,1.4896,2.7517,48.998,1.4955,3.2197,41.8766,1.4676,4.2082,32.0391,1.3928
tosk1239,als,als_Latn,997,,84761612.0,84375408.0,Albanian (Tosk),Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Albanian > Albanian-Tosk,Indo-European > Albanian,2.0388,74.7332,2.0873,2.5192,60.4835,1.8429,3.0545,49.8837,1.639,5.3751,28.347,1.2327,2.6378,57.7623,1.6032,3.2368,47.0732,1.4348,4.5714,33.331,1.1623,7.3876,20.6249,0.8965,1.1527,132.1795,3.6681,1.1705,130.1685,3.9687,1.2005,126.9178,4.4368,1.2849,118.5797,5.1597,2.4459,62.2949,1.7293,2.7535,55.336,1.689,3.4424,44.2628,1.5513,5.3683,28.3831,1.2338
amha1245,amh,amh_Ethi,997,,5733709.0,5702512.0,Amharic,Ethi,Abugida,3 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Ethiosemitic > South Ethiopic > Amharic-Argobba,Afro-Asiatic > Semitic > Ethiosemitic > South Ethiopic,1.6253,134.7763,3.7643,1.6565,132.2387,4.0293,1.6927,129.4092,4.2519,1.9546,112.0682,4.8736,3.1628,69.2588,1.9223,3.2858,66.667,2.0321,3.474,63.0542,2.1988,4.0359,54.2768,2.3592,1.5734,139.2187,3.8634,1.6098,136.0712,4.1487,1.6591,132.0301,4.6155,2.0863,104.995,4.5686,1.6462,133.0622,3.6937,1.6666,131.4393,4.0118,1.7179,127.5155,4.469,1.9548,112.0592,4.8713
nort3139,apc,apc_Arab_nort3139,997,,,,Levantine Arabic (North),Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Levantine-Cypriot Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Levantine-Cypriot Arabic,1.9814,94.6219,2.6428,2.2504,83.3119,2.5385,2.5671,73.0351,2.3997,4.0708,46.0562,2.0029,2.7343,68.5687,1.9031,2.9443,63.677,1.9409,3.4184,54.8465,1.9126,5.2625,35.6269,1.5486,1.7062,109.8816,3.0493,1.9443,96.4263,2.94,2.3502,79.7733,2.7887,3.0073,62.343,2.7127,2.2225,84.3571,2.3417,2.3928,78.3531,2.3915,2.8343,66.1494,2.3183,4.0725,46.0371,2.0013
sout3123,apc,apc_Arab_sout3123,997,,,,Levantine Arabic (South),Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Levantine-Cypriot Arabic > Levantine Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Levantine-Cypriot Arabic > Levantine Arabic,1.9831,94.4694,2.6386,2.2506,83.2397,2.5363,2.5784,72.659,2.3873,4.1013,45.679,1.9865,2.7452,68.2437,1.8941,2.9495,63.5176,1.9361,3.4087,54.9609,1.9165,5.2306,35.8164,1.5568,1.7273,108.4604,3.0099,1.9741,94.9027,2.8935,2.3814,78.668,2.7501,3.0205,62.0241,2.6988,2.2192,84.4183,2.3434,2.3967,78.1685,2.3859,2.8441,65.8696,2.3085,4.1022,45.669,1.9853
stan1318,arb,arb_Arab,997,,1258479625.0,1251265891.0,Modern Standard Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,1.987,101.2467,2.8279,2.2527,89.3079,2.7212,2.573,78.1876,2.569,4.0094,50.1765,2.1821,2.7708,72.6058,2.0152,2.9687,67.7673,2.0656,3.4174,58.8686,2.0528,5.1869,38.7864,1.6859,1.7616,114.1996,3.1691,2.0082,100.1775,3.0543,2.4211,83.0953,2.9048,3.0557,65.8385,2.8648,2.2246,90.4343,2.5104,2.3906,84.1535,2.5685,2.8368,70.9178,2.4854,4.0107,50.1605,2.1805
