Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,char_raw_entropy_t_1.8320_bpp,char_raw_entropy_t_1.8320_pps,char_raw_entropy_t_1.8320_pps_premium,char_raw_entropy_t_1.9448_bpp,char_raw_entropy_t_1.9448_pps,char_raw_entropy_t_1.9448_pps_premium,char_raw_entropy_t_2.1167_bpp,char_raw_entropy_t_2.1167_pps,char_raw_entropy_t_2.1167_pps_premium,char_raw_entropy_t_2.4014_bpp,char_raw_entropy_t_2.4014_pps,char_raw_entropy_t_2.4014_pps_premium,char_raw_monotonicity_t_0.5206_bpp,char_raw_monotonicity_t_0.5206_pps,char_raw_monotonicity_t_0.5206_pps_premium,char_raw_monotonicity_t_0.6646_bpp,char_raw_monotonicity_t_0.6646_pps,char_raw_monotonicity_t_0.6646_pps_premium,char_raw_monotonicity_t_0.8922_bpp,char_raw_monotonicity_t_0.8922_pps,char_raw_monotonicity_t_0.8922_pps_premium,char_raw_monotonicity_t_1.2639_bpp,char_raw_monotonicity_t_1.2639_pps,char_raw_monotonicity_t_1.2639_pps_premium
achi1257,ace,ace_Arab,997,,,,Acehnese (Jawi script),Arab,Abjad,2 bytes,Austronesian,Austronesian > Malayo-Polynesian > Malayo-Chamic > Aceh-Chamic,Austronesian > Malayo-Chamic > Aceh-Chamic,,,,,,,,,,,,,,,,,,,,,,,,
achi1257,ace,ace_Latn,997,,,,Acehnese (Latin script),Latn,Alphabet,1 byte,Austronesian,Austronesian > Malayo-Polynesian > Malayo-Chamic > Aceh-Chamic,Austronesian > Malayo-Chamic > Aceh-Chamic,,,,,,,,,,,,,,,,,,,,,,,,
meso1252,acm,acm_Arab,997,,,,Mesopotamian Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Eastern Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Eastern Arabic,,,,,,,,,,,,,,,,,,,,,,,,
taiz1242,acq,acq_Arab,997,,,,Taʽizzi-Adeni Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Arabian Peninsula Arabic,,,,,,,,,,,,,,,,,,,,,,,,
tuni1259,aeb,aeb_Arab,997,,,,Tunisian Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > North African Arabic > Western Middle Arabic > Maghrebi > Malta-Tunisian Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > North African Arabic > Malta-Tunisian Arabic,,,,,,,,,,,,,,,,,,,,,,,,
afri1274,afr,afr_Latn,997,,20215994.0,20131887.0,Afrikaans,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > Macro-Dutch > Middle-Modern Dutch > Modern Dutch > Global Dutch > Afrikaansic,Indo-European > Germanic > West Germanic > Macro-Dutch > Afrikaansic,,,,,,,,,,,,,,,,,,,,,,,,
tosk1239,als,als_Latn,997,,84761612.0,84375408.0,Albanian (Tosk),Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Albanian > Albanian-Tosk,Indo-European > Albanian,,,,,,,,,,,,,,,,,,,,,,,,
amha1245,amh,amh_Ethi,997,,5733709.0,5702512.0,Amharic,Ethi,Abugida,3 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Ethiosemitic > South Ethiopic > Amharic-Argobba,Afro-Asiatic > Semitic > Ethiosemitic > South Ethiopic,4.9123,44.5928,1.2397,5.1099,42.8686,1.3084,5.4345,40.3079,1.3991,6.0972,35.9268,1.5622,8.1059,27.0241,0.7513,8.6552,25.3089,0.773,9.4992,23.0602,0.8122,10.7204,20.4333,0.8888
nort3139,apc,apc_Arab_nort3139,997,,,,Levantine Arabic (North),Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Levantine-Cypriot Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Levantine-Cypriot Arabic,,,,,,,,,,,,,,,,,,,,,,,,
sout3123,apc,apc_Arab_sout3123,997,,,,Levantine Arabic (South),Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Levantine-Cypriot Arabic > Levantine Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Levantine-Cypriot Arabic > Levantine Arabic,,,,,,,,,,,,,,,,,,,,,,,,
stan1318,arb,arb_Arab,997,,1258479625.0,1251265891.0,Modern Standard Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,4.2145,47.7352,1.327,4.5297,44.4132,1.3555,5.1666,38.9388,1.3516,7.2163,27.8786,1.2123,5.8655,34.2989,0.9535,6.5027,30.9378,0.9449,7.5439,26.668,0.9393,9.7188,20.7001,0.9004
stan1318,arb,arb_Latn,997,,1258479625.0,1251265891.0,Modern Standard Arabic (Romanized),Latn,Alphabet,1 byte,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,,,,,,,,,,,,,,,,,,,,,,,,
arag1245,arg,arg_Latn,997,,,,Aragonese,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Unshifted Western Romance,Indo-European > Italic > Italo-Western Romance > Western Romance > Unshifted Western Romance,,,,,,,,,,,,,,,,,,,,,,,,
najd1235,ars,ars_Arab,997,,,,Najdi Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic > North Arabian Beduin Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Arabian Peninsula Arabic > North Arabian Beduin Arabic,,,,,,,,,,,,,,,,,,,,,,,,
moro1292,ary,ary_Arab,997,,,,Moroccan Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > North African Arabic > Western Middle Arabic > Maghrebi,Afro-Asiatic > Semitic > Central Semitic > Arabian > North African Arabic,,,,,,,,,,,,,,,,,,,,,,,,
egyp1253,arz,arz_Arab,997,,,,Egyptian Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Egyptic Arabic > Egypto-Sudanic Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Egyptic Arabic,,,,,,,,,,,,,,,,,,,,,,,,
assa1263,asm,asm_Beng,997,,3459776.0,3447449.0,Assamese,Beng,Abugida,3 bytes,Indo-European,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Oriya-Gauda-Kamrupa > Gauda-Kamrupa > Kamrupa > Eastern Kamrupa,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Gauda-Kamrupa > Kamrupa,,,,,,,,,,,,,,,,,,,,,,,,
astu1245,ast,ast_Latn,997,,,,Asturian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Asturo-Leonese,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Asturo-Leonese,,,,,,,,,,,,,,,,,,,,,,,,
awad1243,awa,awa_Deva,997,,,,Awadhi,Deva,Abugida,3 bytes,Indo-European,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi > Awadhic,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi > Awadhic,,,,,,,,,,,,,,,,,,,,,,,,
cent2142,ayr,ayr_Latn,997,,,,Central Aymara,Latn,Alphabet,1 byte,Aymaran,Aymaran > Central-Southern Aymara,Aymaran,,,,,,,,,,,,,,,,,,,,,,,,
