Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,char_raw_entropy_t_1.6279_bpp,char_raw_entropy_t_1.6279_pps,char_raw_entropy_t_1.6279_pps_premium,char_raw_entropy_t_1.7488_bpp,char_raw_entropy_t_1.7488_pps,char_raw_entropy_t_1.7488_pps_premium,char_raw_entropy_t_1.9207_bpp,char_raw_entropy_t_1.9207_pps,char_raw_entropy_t_1.9207_pps_premium,char_raw_entropy_t_2.2134_bpp,char_raw_entropy_t_2.2134_pps,char_raw_entropy_t_2.2134_pps_premium,char_raw_monotonicity_t_0.4227_bpp,char_raw_monotonicity_t_0.4227_pps,char_raw_monotonicity_t_0.4227_pps_premium,char_raw_monotonicity_t_0.5552_bpp,char_raw_monotonicity_t_0.5552_pps,char_raw_monotonicity_t_0.5552_pps_premium,char_raw_monotonicity_t_0.7856_bpp,char_raw_monotonicity_t_0.7856_pps,char_raw_monotonicity_t_0.7856_pps_premium,char_raw_monotonicity_t_1.1486_bpp,char_raw_monotonicity_t_1.1486_pps,char_raw_monotonicity_t_1.1486_pps_premium
amha1245,amh,amh_Ethi,997,,5733709.0,5702512.0,Amharic,Ethi,Abugida,3 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Ethiosemitic > South Ethiopic > Amharic-Argobba,Afro-Asiatic > Semitic > Ethiosemitic > South Ethiopic,2.6509,82.6329,2.2963,2.676,81.8576,2.4972,2.7154,80.671,2.8134,2.795,78.3741,3.4143,5.6872,38.5165,1.0709,6.0211,36.3811,1.1106,6.6635,32.8736,1.1683,7.7732,28.1805,1.2266
stan1318,arb,arb_Arab,997,,1258479625.0,1251265891.0,Modern Standard Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,2.4122,83.4012,2.3177,2.4555,81.9298,2.4994,2.5431,79.1083,2.7589,2.7882,72.1545,3.1433,4.9554,40.5978,1.1288,5.4623,36.8305,1.1243,6.3888,31.4895,1.1191,8.0799,24.8987,1.0837
beij1234,cmn,cmn_Hans,997,,10899511187.0,10856245131.0,Mandarin Chinese (Standard Beijing),Hans,Logographic,3 bytes,Sino-Tibetan,Sino-Tibetan > Sinitic > Classical-Middle-Modern Sinitic > Middle-Modern Sinitic > Northern Chinese > Mandarinic > Mandarin Chinese > Beijingic,Sino-Tibetan > Sinitic > Northern Chinese,2.8601,41.1204,1.1427,2.8708,40.9659,1.2497,2.8922,40.664,1.4181,2.9485,39.8867,1.7376,6.4471,18.2417,0.5072,6.8398,17.1946,0.5249,7.5804,15.5145,0.5514,8.9657,13.1174,0.5709
stan1295,deu,deu_Latn,997,,11072171606.0,10978241043.0,German,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Upper German > Middle-Modern High German > Modern High German > Upper Franconian > Global German,Indo-European > Germanic > West Germanic > High German > Upper German,2.654,56.2859,1.5641,2.9766,50.1866,1.531,3.4825,42.8957,1.496,4.5209,33.0431,1.4395,3.048,49.01,1.3626,3.3482,44.6158,1.362,3.923,38.0792,1.3533,5.0528,29.5647,1.2868
stan1293,eng,eng_Latn,997,,88502069080.0,87766779120.0,English,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglic > Later Anglic > Middle-Modern English > Macro-English,Indo-European > Germanic > West Germanic > North Sea Germanic,3.4922,35.985,1.0,3.8337,32.7793,1.0,4.3826,28.674,1.0,5.4745,22.9549,1.0,3.494,35.9669,1.0,3.8363,32.7573,1.0,4.4662,28.1374,1.0,5.4697,22.9749,1.0
finn1318,fin,fin_Latn,997,,754585351.0,748584150.0,Finnish,Latn,Alphabet,1 byte,Uralic,Uralic > Finnic > Coastal Finnic > Neva > North Finnic > Nuclear Finnish,Uralic > Finnic > North Finnic,1.5821,88.2247,2.4517,1.7403,80.2046,2.4468,2.1186,65.8857,2.2978,3.1207,44.7282,1.9485,3.1472,44.3521,1.2331,3.6213,38.5456,1.1767,4.6578,29.9679,1.0651,6.9395,20.1143,0.8755
stan1290,fra,fra_Latn,997,,8938152817.0,8869369439.0,French,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Oil > Central Oil > Macro-French > Global French,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Global French,2.6458,58.5978,1.6284,2.9934,51.7934,1.5801,3.6032,43.0281,1.5006,4.6459,33.3711,1.4538,3.2477,47.7382,1.3273,3.5982,43.0873,1.3153,4.4107,35.1505,1.2492,5.7556,26.9368,1.1724
hebr1245,heb,heb_Hebr,997,,461968429.0,458572341.0,Hebrew,Hebr,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Northwest Semitic > Canaanite > Hebrewic,Afro-Asiatic > Semitic > Central Semitic > Northwest Semitic,2.1919,79.8355,2.2186,2.1946,79.7352,2.4325,2.1989,79.5787,2.7753,2.2082,79.2447,3.4522,5.3258,32.8566,0.9135,6.4907,26.9599,0.823,8.0487,21.7412,0.7727,9.6346,18.1625,0.7905
croa1245,hrv,hrv_Latn,997,,398007249.0,395925092.0,Croatian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian,Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian,1.2321,103.4925,2.876,1.3026,97.8877,2.9863,1.4498,87.9539,3.0674,1.9101,66.7583,2.9082,2.8897,44.1264,1.2269,3.2978,38.666,1.1804,4.4107,28.9097,1.0274,7.5149,16.9679,0.7385
ital1282,ita,ita_Latn,997,,4769480161.0,4737665600.0,Italian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance,Indo-European > Italic > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance,2.2912,64.8726,1.8028,2.5976,57.2187,1.7456,3.1482,47.2126,1.6465,4.2983,34.5797,1.5064,3.1098,47.7954,1.3289,3.5254,42.1605,1.2871,4.3862,33.8867,1.2043,6.0955,24.3842,1.0613
