Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,raw_entropy_t_1.9082_bpp,raw_entropy_t_1.9082_pps,raw_entropy_t_1.9082_pps_premium,raw_entropy_t_2.0176_bpp,raw_entropy_t_2.0176_pps,raw_entropy_t_2.0176_pps_premium,raw_entropy_t_2.1782_bpp,raw_entropy_t_2.1782_pps,raw_entropy_t_2.1782_pps_premium,raw_entropy_t_2.4482_bpp,raw_entropy_t_2.4482_pps,raw_entropy_t_2.4482_pps_premium,raw_monotonicity_t_1.9182_bpp,raw_monotonicity_t_1.9182_pps,raw_monotonicity_t_1.9182_pps_premium,raw_monotonicity_t_2.0371_bpp,raw_monotonicity_t_2.0371_pps,raw_monotonicity_t_2.0371_pps_premium,raw_monotonicity_t_2.1985_bpp,raw_monotonicity_t_2.1985_pps,raw_monotonicity_t_2.1985_pps_premium,raw_monotonicity_t_2.4789_bpp,raw_monotonicity_t_2.4789_pps,raw_monotonicity_t_2.4789_pps_premium
amha1245,amh,amh_Ethi,997,,5733709.0,5702512.0,Amharic,Ethi,Abugida,3 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Ethiosemitic > South Ethiopic > Amharic-Argobba,Afro-Asiatic > Semitic > Ethiosemitic > South Ethiopic,4.213,40.5326,1.1237,4.397,38.8365,1.1839,4.6825,36.4684,1.2586,5.2496,32.5286,1.4121,4.4586,38.2999,1.0645,4.6755,36.5226,1.1157,4.9937,34.1956,1.1924,5.6283,30.34,1.3207
stan1318,arb,arb_Arab,997,,1258479625.0,1251265891.0,Modern Standard Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,4.7443,46.7533,1.2961,5.137,43.1795,1.3163,5.9337,37.3821,1.2901,8.7159,25.4493,1.1048,5.093,43.5527,1.2105,5.5757,39.7823,1.2153,6.4986,34.1324,1.1902,9.8092,22.6128,0.9844
beij1234,cmn,cmn_Hans,997,,10899511187.0,10856245131.0,Mandarin Chinese (Standard Beijing),Hans,Logographic,3 bytes,Sino-Tibetan,Sino-Tibetan > Sinitic > Classical-Middle-Modern Sinitic > Middle-Modern Sinitic > Northern Chinese > Mandarinic > Mandarin Chinese > Beijingic,Sino-Tibetan > Sinitic > Northern Chinese,1.8348,46.1153,1.2785,1.8943,44.667,1.3617,1.9787,42.7613,1.4758,2.1276,39.7683,1.7263,2.6336,32.1284,0.893,2.7281,31.015,0.9475,2.8666,29.5165,1.0292,3.1616,26.7623,1.165
stan1295,deu,deu_Latn,997,,11072171606.0,10978241043.0,German,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Upper German > Middle-Modern High German > Modern High German > Upper Franconian > Global German,Indo-European > Germanic > West Germanic > High German > Upper German,7.5041,39.1785,1.0861,8.3045,35.4022,1.0792,9.5335,30.8385,1.0643,11.7566,25.007,1.0856,7.636,38.5015,1.0701,8.4779,34.678,1.0594,9.5997,30.6259,1.0679,11.8244,24.8636,1.0823
stan1293,eng,eng_Latn,997,,88502069080.0,87766779120.0,English,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglic > Later Anglic > Middle-Modern English > Macro-English,Indo-European > Germanic > West Germanic > North Sea Germanic,6.9624,36.0712,1.0,7.656,32.8034,1.0,8.6672,28.9759,1.0,10.9021,23.0361,1.0,6.98,35.9799,1.0,7.6721,32.7342,1.0,8.757,28.679,1.0,10.9325,22.9719,1.0
finn1318,fin,fin_Latn,997,,754585351.0,748584150.0,Finnish,Latn,Alphabet,1 byte,Uralic,Uralic > Finnic > Coastal Finnic > Neva > North Finnic > Nuclear Finnish,Uralic > Finnic > North Finnic,7.1634,37.5065,1.0398,8.4281,31.8786,0.9718,10.429,25.7623,0.8891,14.2038,18.9157,0.8211,7.2767,36.9228,1.0262,8.6485,31.0662,0.949,10.6492,25.2297,0.8797,14.4693,18.5687,0.8083
stan1290,fra,fra_Latn,997,,8938152817.0,8869369439.0,French,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Oil > Central Oil > Macro-French > Global French,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Global French,7.8948,37.8064,1.0481,8.7277,34.1986,1.0425,10.0164,29.7984,1.0284,12.5677,23.7492,1.031,8.0822,36.9298,1.0264,8.9933,33.1886,1.0139,10.1479,29.4122,1.0256,12.8599,23.2096,1.0103
hebr1245,heb,heb_Hebr,997,,461968429.0,458572341.0,Hebrew,Hebr,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Northwest Semitic > Canaanite > Hebrewic,Afro-Asiatic > Semitic > Central Semitic > Northwest Semitic,4.2282,46.2578,1.2824,4.5304,43.1725,1.3161,5.1131,38.2528,1.3202,7.0607,27.7011,1.2025,4.3414,45.0522,1.2521,4.6814,41.7803,1.2764,5.3326,36.678,1.2789,7.6471,25.5767,1.1134
croa1245,hrv,hrv_Latn,997,,398007249.0,395925092.0,Croatian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian,Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian,6.4236,38.683,1.0724,7.093,35.0321,1.0679,8.1188,30.6058,1.0563,10.2984,24.1284,1.0474,6.5466,37.9559,1.0549,7.2978,34.0491,1.0402,8.3475,29.7673,1.0379,10.5322,23.5928,1.027
ital1282,ita,ita_Latn,997,,4769480161.0,4737665600.0,Italian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance,Indo-European > Italic > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance,7.5259,39.2066,1.0869,8.2565,35.7372,1.0894,9.5343,30.9478,1.0681,11.9922,24.6048,1.0681,7.5543,39.0592,1.0856,8.3569,35.3079,1.0786,9.6396,30.6098,1.0673,12.1713,24.2427,1.0553
