Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,raw_entropy_t_1.8330_bpp,raw_entropy_t_1.8330_pps,raw_entropy_t_1.8330_pps_premium,raw_entropy_t_1.9458_bpp,raw_entropy_t_1.9458_pps,raw_entropy_t_1.9458_pps_premium,raw_entropy_t_2.1167_bpp,raw_entropy_t_2.1167_pps,raw_entropy_t_2.1167_pps_premium,raw_entropy_t_2.4004_bpp,raw_entropy_t_2.4004_pps,raw_entropy_t_2.4004_pps_premium,raw_monotonicity_t_0.5191_bpp,raw_monotonicity_t_0.5191_pps,raw_monotonicity_t_0.5191_pps_premium,raw_monotonicity_t_0.6664_bpp,raw_monotonicity_t_0.6664_pps,raw_monotonicity_t_0.6664_pps_premium,raw_monotonicity_t_0.8930_bpp,raw_monotonicity_t_0.8930_pps,raw_monotonicity_t_0.8930_pps_premium,raw_monotonicity_t_1.2668_bpp,raw_monotonicity_t_1.2668_pps,raw_monotonicity_t_1.2668_pps_premium
amha1245,amh,amh_Ethi,997,,5733709.0,5702512.0,Amharic,Ethi,Abugida,3 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Ethiosemitic > South Ethiopic > Amharic-Argobba,Afro-Asiatic > Semitic > Ethiosemitic > South Ethiopic,10.7781,20.324,0.5653,12.6365,17.335,0.5296,16.0432,13.654,0.474,25.251,8.675,0.3773,3.0763,71.2056,1.9752,3.5045,62.5065,1.9091,4.3964,49.8255,1.754,7.0752,30.9609,1.3481
stan1318,arb,arb_Arab,997,,1258479625.0,1251265891.0,Modern Standard Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,7.0905,28.3731,0.7892,8.7313,23.0411,0.7039,12.222,16.4604,0.5714,20.7078,9.7151,0.4226,3.0964,64.9729,1.8023,3.7757,53.2828,1.6273,4.8766,41.2538,1.4523,8.5955,23.4052,1.0191
beij1234,cmn,cmn_Hans,997,,10899511187.0,10856245131.0,Mandarin Chinese (Standard Beijing),Hans,Logographic,3 bytes,Sino-Tibetan,Sino-Tibetan > Sinitic > Classical-Middle-Modern Sinitic > Middle-Modern Sinitic > Northern Chinese > Mandarinic > Mandarin Chinese > Beijingic,Sino-Tibetan > Sinitic > Northern Chinese,2.1471,54.7743,1.5236,2.5023,47.0,1.4359,3.278,35.8776,1.2455,4.6393,25.3501,1.1026,2.5322,46.4453,1.2884,2.7813,42.2849,1.2914,3.2811,35.8435,1.2618,4.8358,24.32,1.0589
stan1295,deu,deu_Latn,997,,11072171606.0,10978241043.0,German,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Upper German > Middle-Modern High German > Modern High German > Upper Franconian > Global German,Indo-European > Germanic > West Germanic > High German > Upper German,3.775,39.5717,1.1007,4.1555,35.9488,1.0983,4.7765,31.2748,1.0857,5.9639,25.0481,1.0895,3.4452,43.3601,1.2028,3.809,39.2187,1.1978,4.4443,33.6128,1.1833,5.6349,26.5105,1.1543
stan1293,eng,eng_Latn,997,,88502069080.0,87766779120.0,English,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglic > Later Anglic > Middle-Modern English > Macro-English,Indo-European > Germanic > West Germanic > North Sea Germanic,3.4955,35.9509,1.0,3.8392,32.7322,1.0,4.3625,28.8064,1.0,5.4659,22.991,1.0,3.486,36.0491,1.0,3.8381,32.7422,1.0,4.4239,28.4062,1.0,5.4717,22.9669,1.0
finn1318,fin,fin_Latn,997,,754585351.0,748584150.0,Finnish,Latn,Alphabet,1 byte,Uralic,Uralic > Finnic > Coastal Finnic > Neva > North Finnic > Nuclear Finnish,Uralic > Finnic > North Finnic,3.5682,39.1184,1.0881,4.2015,33.2227,1.015,5.2071,26.8064,0.9306,7.1275,19.5838,0.8518,3.5352,39.4835,1.0953,4.0194,34.7272,1.0606,4.8685,28.671,1.0093,6.6061,21.1294,0.92
stan1290,fra,fra_Latn,997,,8938152817.0,8869369439.0,French,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Oil > Central Oil > Macro-French > Global French,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Global French,4.1456,37.3982,1.0403,4.6202,33.5567,1.0252,5.346,29.001,1.0068,6.6996,23.1414,1.0065,3.7188,41.6901,1.1565,4.1496,37.3621,1.1411,4.8998,31.6419,1.1139,6.1348,25.2718,1.1004
hebr1245,heb,heb_Hebr,997,,461968429.0,458572341.0,Hebrew,Hebr,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Northwest Semitic > Canaanite > Hebrewic,Afro-Asiatic > Semitic > Central Semitic > Northwest Semitic,3.7118,47.1434,1.3113,3.9318,44.5065,1.3597,4.3654,40.0853,1.3915,5.9354,29.4824,1.2823,2.534,69.0572,1.9156,2.6679,65.5898,2.0032,2.8874,60.6038,2.1335,3.253,53.7924,2.3422
croa1245,hrv,hrv_Latn,997,,398007249.0,395925092.0,Croatian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian,Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian,3.2279,39.5035,1.0988,3.5695,35.7232,1.0914,4.1197,30.9519,1.0745,5.2278,24.3912,1.0609,3.3175,38.4363,1.0662,3.707,34.3982,1.0506,4.4148,28.8826,1.0168,5.84,21.8345,0.9507
ital1282,ita,ita_Latn,997,,4769480161.0,4737665600.0,Italian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance,Indo-European > Italic > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance,3.9452,37.675,1.048,4.3316,34.3139,1.0483,4.9913,29.7783,1.0337,6.2914,23.6249,1.0276,3.6667,40.5366,1.1245,4.1696,35.6469,1.0887,5.0214,29.5998,1.042,6.4376,23.0883,1.0053
nucl1643,jpn,jpn_Jpan,997,,9870174960.0,9822995554.0,Japanese,Jpan,Logosyllabary,3 bytes,Japonic,Japonic > Japanesic > Japan-Taiwan Japanese,Japonic,4.5629,35.1815,0.9786,5.3614,29.9418,0.9148,7.0934,22.6309,0.7856,10.0193,16.0221,0.6969,3.0572,52.5095,1.4566,3.5905,44.7091,1.3655,4.4998,35.675,1.2559,6.7596,23.7482,1.034
nucl1302,kat,kat_Geor,997,,79782785.0,79423527.0,Georgian,Geor,Alphabet,2 bytes,Kartvelian,Kartvelian > Georgian-Zan > Georgic,Kartvelian,10.7848,34.658,0.964,11.6949,31.9609,0.9764,13.0982,28.5366,0.9906,16.1296,23.1735,1.0079,4.3851,85.2387,2.3645,4.809,77.7242,2.3738,5.6386,66.2889,2.3336,7.2636,51.4594,2.2406
kore1280,kor,kor_Hang,997,,1405630472.0,1399528315.0,Korean,Hang,Syllabary,3 bytes,Koreanic,Koreanic,Koreanic,5.3189,28.4594,0.7916,6.0622,24.9699,0.7629,7.3762,20.5216,0.7124,9.5827,15.7964,0.6871,2.969,50.984,1.4143,3.4021,44.4935,1.3589,4.3568,34.7442,1.2231,7.5957,19.9288,0.8677
nyan1308,nya,nya_Latn,997,,928706.0,925245.0,Nyanja,Latn,Alphabet,1 byte,Atlantic-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Tumbuka-Sena-Nyanja > Sena-Nyanja > Nyanjaic,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > East Bantu > Tumbuka-Sena-Nyanja > Sena-Nyanja,3.8937,36.5216,1.0159,4.3233,32.8927,1.0049,5.2563,27.0542,0.9392,8.0881,17.5817,0.7647,3.2977,43.1224,1.1962,3.7814,37.6058,1.1485,4.7535,29.9157,1.0531,7.2785,19.5376,0.8507
roma1327,ron,ron_Latn,997,,1125558850.0,1119333515.0,Romanian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Eastern Romance > Northern Romanian > Eastern Romanian,Indo-European > Italic > Eastern Romance,3.8146,39.1505,1.089,4.2531,35.1143,1.0728,4.9271,30.3109,1.0522,6.1731,24.1926,1.0523,3.562,41.9268,1.163,3.9975,37.3591,1.141,4.7548,31.4092,1.1057,6.1978,24.0963,1.0492
amer1254,spa,spa_Latn,997,,8721329091.0,8661896197.0,Spanish (Latin American),Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Castilic > Spanish,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Castilic,4.0254,37.8937,1.054,4.3952,34.7051,1.0603,4.9717,30.681,1.0651,6.0627,25.1595,1.0943,3.6206,42.1294,1.1687,4.0643,37.5306,1.1462,4.8289,31.5878,1.112,6.0368,25.2678,1.1002
