Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,raw_entropy_t_1.6279_bpp,raw_entropy_t_1.6279_pps,raw_entropy_t_1.6279_pps_premium,raw_entropy_t_1.7510_bpp,raw_entropy_t_1.7510_pps,raw_entropy_t_1.7510_pps_premium,raw_entropy_t_1.9185_bpp,raw_entropy_t_1.9185_pps,raw_entropy_t_1.9185_pps_premium,raw_entropy_t_2.2090_bpp,raw_entropy_t_2.2090_pps,raw_entropy_t_2.2090_pps_premium,raw_monotonicity_t_0.4229_bpp,raw_monotonicity_t_0.4229_pps,raw_monotonicity_t_0.4229_pps_premium,raw_monotonicity_t_0.5531_bpp,raw_monotonicity_t_0.5531_pps,raw_monotonicity_t_0.5531_pps_premium,raw_monotonicity_t_0.7825_bpp,raw_monotonicity_t_0.7825_pps,raw_monotonicity_t_0.7825_pps_premium,raw_monotonicity_t_1.1422_bpp,raw_monotonicity_t_1.1422_pps,raw_monotonicity_t_1.1422_pps_premium
amha1245,amh,amh_Ethi,997,,5733709.0,5702512.0,Amharic,Ethi,Abugida,3 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Ethiosemitic > South Ethiopic > Amharic-Argobba,Afro-Asiatic > Semitic > Ethiosemitic > South Ethiopic,1.1301,193.8425,5.3857,1.1733,186.6921,5.7097,1.2466,175.7272,6.1184,1.4134,154.9819,6.7304,2.7005,81.1143,2.2549,2.8912,75.7653,2.3086,3.2247,67.9308,2.4099,3.9413,55.5787,2.4115
stan1318,arb,arb_Arab,997,,1258479625.0,1251265891.0,Modern Standard Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,2.9752,67.6179,1.8787,3.2852,61.2377,1.8729,4.1521,48.4524,1.687,8.4947,23.683,1.0285,2.4478,82.1886,2.2847,2.696,74.6219,2.2738,3.1777,63.3099,2.2459,4.9065,41.003,1.7791
beij1234,cmn,cmn_Hans,997,,10899511187.0,10856245131.0,Mandarin Chinese (Standard Beijing),Hans,Logographic,3 bytes,Sino-Tibetan,Sino-Tibetan > Sinitic > Classical-Middle-Modern Sinitic > Middle-Modern Sinitic > Northern Chinese > Mandarinic > Mandarin Chinese > Beijingic,Sino-Tibetan > Sinitic > Northern Chinese,1.4801,79.4574,2.2076,1.6195,72.6199,2.221,1.9064,61.6911,2.1479,2.9236,40.2267,1.7469,2.3805,49.4052,1.3734,2.562,45.9037,1.3987,2.9896,39.338,1.3955,4.1605,28.2678,1.2265
stan1295,deu,deu_Latn,997,,11072171606.0,10978241043.0,German,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Upper German > Middle-Modern High German > Modern High German > Upper Franconian > Global German,Indo-European > Germanic > West Germanic > High German > Upper German,2.6751,55.8425,1.5515,3.0125,49.5888,1.5166,3.5147,42.5025,1.4798,4.5701,32.6871,1.4195,3.0227,49.4203,1.3738,3.3191,45.007,1.3714,3.8945,38.3581,1.3608,5.0169,29.7763,1.292
stan1293,eng,eng_Latn,997,,88502069080.0,87766779120.0,English,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglic > Later Anglic > Middle-Modern English > Macro-English,Indo-European > Germanic > West Germanic > North Sea Germanic,3.4915,35.992,1.0,3.8434,32.6971,1.0,4.3754,28.7212,1.0,5.4574,23.0271,1.0,3.4934,35.9729,1.0,3.8292,32.8185,1.0,4.4581,28.1886,1.0,5.4526,23.0471,1.0
finn1318,fin,fin_Latn,997,,754585351.0,748584150.0,Finnish,Latn,Alphabet,1 byte,Uralic,Uralic > Finnic > Coastal Finnic > Neva > North Finnic > Nuclear Finnish,Uralic > Finnic > North Finnic,1.5855,88.0361,2.446,1.7528,79.6369,2.4356,2.1348,65.3862,2.2766,3.1754,43.9579,1.909,3.0292,46.0792,1.2809,3.4533,40.4203,1.2316,4.3926,31.7773,1.1273,6.4232,21.7312,0.9429
stan1290,fra,fra_Latn,997,,8938152817.0,8869369439.0,French,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Oil > Central Oil > Macro-French > Global French,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Global French,2.6596,58.2939,1.6196,3.0307,51.1565,1.5646,3.6533,42.4373,1.4776,4.7719,32.4895,1.4109,3.1625,49.0241,1.3628,3.4933,44.3811,1.3523,4.2635,36.3641,1.29,5.5624,27.8726,1.2094
hebr1245,heb,heb_Hebr,997,,461968429.0,458572341.0,Hebrew,Hebr,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Northwest Semitic > Canaanite > Hebrewic,Afro-Asiatic > Semitic > Central Semitic > Northwest Semitic,2.1904,79.8887,2.2196,2.1944,79.7422,2.4388,2.1987,79.5878,2.771,2.2079,79.2558,3.4418,2.2092,79.2086,2.2019,2.2126,79.0873,2.4098,2.2171,78.9268,2.8,2.2229,78.7202,3.4156
croa1245,hrv,hrv_Latn,997,,398007249.0,395925092.0,Croatian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian,Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian,1.2162,104.8465,2.9131,1.2923,98.669,3.0177,1.4423,88.4092,3.0782,1.9272,66.1635,2.8733,2.8784,44.2999,1.2315,3.3068,38.5607,1.175,4.4781,28.4744,1.0101,7.8316,16.2818,0.7065
ital1282,ita,ita_Latn,997,,4769480161.0,4737665600.0,Italian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance,Indo-European > Italic > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance,2.2936,64.8044,1.8005,2.6088,56.9739,1.7425,3.1503,47.1815,1.6427,4.2936,34.6179,1.5034,3.101,47.9308,1.3324,3.5046,42.4112,1.2923,4.3484,34.1815,1.2126,5.9981,24.7803,1.0752
nucl1643,jpn,jpn_Jpan,997,,9870174960.0,9822995554.0,Japanese,Jpan,Logosyllabary,3 bytes,Japonic,Japonic > Japanesic > Japan-Taiwan Japanese,Japonic,2.8503,56.32,1.5648,3.2043,50.0983,1.5322,3.831,41.9027,1.4589,5.4794,29.2969,1.2723,2.6565,60.4283,1.6798,2.9712,54.0291,1.6463,3.6829,43.5878,1.5463,4.9067,32.7161,1.4195
nucl1302,kat,kat_Geor,997,,79782785.0,79423527.0,Georgian,Geor,Alphabet,2 bytes,Kartvelian,Kartvelian > Georgian-Zan > Georgic,Kartvelian,2.7844,134.2387,3.7297,2.8277,132.1846,4.0427,2.8772,129.9087,4.5231,2.9539,126.5366,5.4951,2.8456,131.3531,3.6514,2.8882,129.4183,3.9435,2.9564,126.4293,4.4851,3.0367,123.0883,5.3407
kore1280,kor,kor_Hang,997,,1405630472.0,1399528315.0,Korean,Hang,Syllabary,3 bytes,Koreanic,Koreanic,Koreanic,2.0313,74.5206,2.0705,2.3777,63.662,1.947,2.8127,53.8175,1.8738,3.5523,42.6118,1.8505,2.5795,58.683,1.6313,2.8179,53.7182,1.6368,3.3762,44.8355,1.5906,4.7557,31.8295,1.3811
nyan1308,nya,nya_Latn,997,,928706.0,925245.0,Nyanja,Latn,Alphabet,1 byte,Atlantic-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Tumbuka-Sena-Nyanja > Sena-Nyanja > Nyanjaic,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > East Bantu > Tumbuka-Sena-Nyanja > Sena-Nyanja,1.1801,120.5005,3.348,1.2301,115.5998,3.5355,1.3249,107.33,3.737,1.6235,87.5888,3.8037,2.9892,47.5727,1.3225,3.5564,39.985,1.2184,5.064,28.0812,0.9962,9.1819,15.4875,0.672
roma1327,ron,ron_Latn,997,,1125558850.0,1119333515.0,Romanian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Eastern Romance > Northern Romanian > Eastern Romanian,Indo-European > Italic > Eastern Romance,1.6528,90.3591,2.5105,1.8271,81.7372,2.4998,2.1787,68.5476,2.3867,3.0999,48.1775,2.0922,2.9238,51.0792,1.4199,3.2555,45.8746,1.3978,4.003,37.3079,1.3235,5.6257,26.5466,1.1518
amer1254,spa,spa_Latn,997,,8721329091.0,8661896197.0,Spanish (Latin American),Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Castilic > Spanish,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Castilic,2.7266,55.9438,1.5543,3.1065,49.1013,1.5017,3.66,41.676,1.4511,4.5867,33.2558,1.4442,3.1039,49.1434,1.3661,3.4867,43.7472,1.333,4.2729,35.6981,1.2664,5.5253,27.6068,1.1978
serb1264,srp,srp_Cyrl,997,,428606923.0,426190099.0,Serbian,Cyrl,Alphabet,2 bytes,Indo-European,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian,Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian,1.7629,128.8275,3.5793,1.8103,125.4554,3.8369,1.8612,122.0251,4.2486,1.9234,118.0782,5.1278,2.2335,101.6841,2.8267,2.2675,100.1605,3.052,2.31,98.319,3.4879,2.3759,95.5928,4.1477
tami1289,tam,tam_Taml,997,,85165919.0,84823478.0,Tamil,Taml,Abugida,3 bytes,Dravidian,Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Tamil-Kota > Tamil-Toda > Tamil-Irula > Tamil-Kodagu > Tamil-Malayalam > Tamiloid > Tamil-Paliyan,Dravidian > South Dravidian I > Tamil-Kota > Tamiloid,3.5619,112.2999,3.1201,3.8154,104.8385,3.2064,4.1926,95.4072,3.3218,4.968,80.5155,3.4966,2.2725,176.0211,4.8932,2.8188,141.9037,4.3239,3.3735,118.5727,4.2064,4.0917,97.7583,4.2417
thai1261,tha,tha_Thai,997,,745804664.0,741927782.0,Thai,Thai,Abugida,3 bytes,Tai-Kadai,Tai-Kadai > Kam-Tai > Daic-Beic > Daic > Central-Southwestern Tai > Wenma-Southwestern Tai > Sapa-Southwestern Tai > Southwestern Tai > Southwestern Thai PH > Lao-Thai,Tai-Kadai > Southwestern Thai PH,3.7938,91.6078,2.5452,4.0165,86.5286,2.6464,4.3796,79.3551,2.7629,5.1101,68.011,2.9535,2.9556,117.5898,3.2688,3.2327,107.5105,3.2759,3.5209,98.7091,3.5017,3.8676,89.8596,3.899
viet1252,vie,vie_Latn,997,,1815676717.0,1803286122.0,Vietnamese,Latn,Alphabet,1 byte,Austroasiatic,Austroasiatic > Vietic > Viet-Muong,Austroasiatic > Vietic,2.7229,64.3972,1.7892,3.0807,56.9168,1.7407,3.6908,47.5085,1.6541,4.5734,38.34,1.665,3.0535,57.4243,1.5963,3.286,53.3611,1.6259,3.6907,47.5095,1.6854,4.3612,40.2056,1.7445
