Language                       Code               Sentences  Total patches  Total bytes  Avg b/patch  Avg patches/sent  Premium vs EN
-------------------------------------------------------------------------------------------------------------------------------------
English                        eng_Latn                 997          24165       125290       5.1848           24.2377         1.0000
Russian                        rus_Cyrl                 997          28513       252298       8.8485           28.5988         1.1799
Ukrainian                      ukr_Cyrl                 997          29733       235478       7.9198           29.8225         1.2304
Bulgarian                      bul_Cyrl                 997          31035       237296       7.6461           31.1284         1.2843
Serbian                        srp_Cyrl                 997          31960       226435       7.0849           32.0562         1.3226
French                         fra_Latn                 997          36819       154573       4.1982           36.9298         1.5237
Macedonian                     mkd_Cyrl                 997          36866       237676       6.4470           36.9769         1.5256
Spanish                        spa_Latn                 997          39210       152078       3.8786           39.3280         1.6226
German                         deu_Latn                 997          40170       148936       3.7076           40.2909         1.6623
Italian                        ita_Latn                 997          40961       148188       3.6178           41.0843         1.6951
Portuguese                     por_Latn                 997          41055       139900       3.4076           41.1785         1.6989
Vietnamese                     vie_Latn                 997          42341       174819       4.1288           42.4684         1.7522
Korean                         kor_Hang                 997          42916       150918       3.5166           43.0451         1.7760
Japanese                       jpn_Jpan                 997          45093       160048       3.5493           45.2287         1.8660
Catalan                        cat_Latn                 997          46611       140954       3.0241           46.7513         1.9289
Dutch                          nld_Latn                 997          47162       139278       2.9532           47.3039         1.9517
Indonesian                     ind_Latn                 997          47653       136386       2.8621           47.7964         1.9720
Asturian                       ast_Latn                 997          48091       132761       2.7606           48.2357         1.9901
Galician                       glg_Latn                 997          48246       142116       2.9457           48.3912         1.9965
Polish                         pol_Latn                 997          49922       141830       2.8410           50.0722         2.0659
Standard Malay                 zsm_Latn                 997          50139       141021       2.8126           50.2899         2.0749
Swedish                        swe_Latn                 997          50677       131624       2.5973           50.8295         2.0971
Aragonese                      arg_Latn                 997          53854       148208       2.7520           54.0160         2.2286
Czech                          ces_Latn                 997          54486       135980       2.4957           54.6499         2.2547
Norwegian Bokmål               nob_Latn                 997          54701       127253       2.3263           54.8656         2.2636
Danish                         dan_Latn                 997          55561       131700       2.3704           55.7282         2.2992
Norwegian Bokmål (Radical)     nob_Latn_radical         997          55773       127125       2.2793           55.9408         2.3080
Occitan                        oci_Latn                 997          56444       146870       2.6020           56.6138         2.3358
Hungarian                      hun_Latn                 997          56566       144968       2.5628           56.7362         2.3408
Belarusian                     bel_Cyrl                 997          57047       262573       4.6027           57.2187         2.3607
Romanian                       ron_Latn                 997          57531       148896       2.5881           57.7041         2.3808
Croatian                       hrv_Latn                 997          62050       127130       2.0488           62.2367         2.5678
Norwegian Nynorsk              nno_Latn                 997          62119       130560       2.1018           62.3059         2.5706
Chinese (Simplified)           cmn_Hans                 997          63249       117254       1.8538           63.4393         2.6174
Chinese (Traditional)          cmn_Hant                 997          63381       111458       1.7585           63.5717         2.6228
Bosnian                        bos_Latn                 997          63676       130083       2.0429           63.8676         2.6351
Erzya                          myv_Cyrl                 997          64028       248513       3.8813           64.2207         2.6496
Finnish                        fin_Latn                 997          64576       139165       2.1551           64.7703         2.6723
South Levantine Arabic         apc_Arab_sout3123        997          65734       186781       2.8415           65.9318         2.7202
North Levantine Arabic         apc_Arab_nort3139        997          66224       186923       2.8226           66.4233         2.7405
Slovenian                      slv_Latn                 997          67749       128278       1.8934           67.9529         2.8036
Central Kanuri (Arabic)        knc_Arab                 997          67867       201126       2.9635           68.0712         2.8085
Afrikaans                      afr_Latn                 997          67868       134424       1.9807           68.0722         2.8085
Tunisian Arabic                aeb_Arab                 997          67913       193780       2.8534           68.1174         2.8104
Egyptian Arabic                arz_Arab                 997          68389       196098       2.8674           68.5948         2.8301
Mesopotamian Arabic            acm_Arab                 997          68393       196519       2.8734           68.5988         2.8303
Taizzi-Adeni Arabic            acq_Arab                 997          68987       198303       2.8745           69.1946         2.8548
Moroccan Arabic                ary_Arab                 997          69264       195424       2.8214           69.4724         2.8663
Modern Standard Arabic         arb_Arab                 997          69626       200576       2.8808           69.8355         2.8813
Najdi Arabic                   ars_Arab                 997          69728       200865       2.8807           69.9378         2.8855
Cantonese                      yue_Hant                 997          69866       110765       1.5854           70.0762         2.8912
Dari                           prs_Arab                 997          70570       204963       2.9044           70.7823         2.9203
Wu Chinese                     wuu_Hans                 997          71216       117446       1.6492           71.4303         2.9471
Venetian                       vec_Latn                 997          71321       132160       1.8530           71.5356         2.9514
Banjar (Latin)                 bjn_Latn                 997          72003       132177       1.8357           72.2197         2.9796
Greek                          ell_Grek                 997          72029       273289       3.7942           72.2457         2.9807
Aranese Occitan                oci_Latn_aran1260        997          72404       147862       2.0422           72.6219         2.9962
Eastern Mari                   mhr_Cyrl                 997          73359       241034       3.2857           73.5797         3.0358
Slovak                         slk_Latn                 997          74809       137701       1.8407           75.0341         3.0958
Urdu                           urd_Arab                 997          75618       221970       2.9354           75.8455         3.1292
Hindi                          hin_Deva                 997          76179       322253       4.2302           76.4082         3.1525
Western Persian                pes_Arab                 997          76287       214646       2.8137           76.5165         3.1569
Magahi                         mag_Deva                 997          76718       310320       4.0449           76.9488         3.1748
Bhojpuri                       bho_Deva                 997          77132       310444       4.0248           77.3641         3.1919
Minangkabau (Latin)            min_Latn                 997          77407       133317       1.7223           77.6399         3.2033
Chhattisgarhi                  hne_Deva                 997          77748       310580       3.9947           77.9819         3.2174
South Azerbaijani              azb_Arab                 997          77935       204336       2.6219           78.1695         3.2251
Ligurian                       lij_Latn                 997          78124       146052       1.8695           78.3591         3.2329
Hebrew                         heb_Hebr                 997          78200       174464       2.2310           78.4353         3.2361
Southern Pashto                pbt_Arab                 997          78630       213300       2.7127           78.8666         3.2539
Limburgish                     lim_Latn                 997          79378       133846       1.6862           79.6169         3.2848
Awadhi                         awa_Deva                 997          79424       315956       3.9781           79.6630         3.2867
Sindhi (Arabic)                snd_Arab                 997          79841       200920       2.5165           80.0812         3.3040
Silesian                       szl_Latn                 997          79920       138312       1.7306           80.1605         3.3073
