Language  Premium  PPS      BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.3612   44.5938  5.9375  1.3561       1.2530      0.3560       -1.1393          0.1253            1.4805
arb_Arab  1.3428   43.9910  5.0422  1.6035       0.9853      0.1918       -0.4419          0.1995            1.2560
heb_Hebr  1.3087   42.8746  4.5619  1.6995       0.9406      -0.0094      -0.7682          0.3082            1.1408
tha_Thai  1.2855   42.1143  5.7287  1.3999       1.3010      0.2349       -1.3207          0.0865            1.5417
kor_Hang  1.2148   39.7974  3.1761  2.6704       2.8885      0.0154       -1.1754          0.1034            2.2758
cmn_Hans  1.2147   39.7964  2.1261  4.7586       2.2663      -0.4628      0.4013           0.4064            1.6404
amh_Ethi  1.2082   39.5838  4.3139  1.9497       1.7705      0.2553       -1.0727          0.2156            1.6665
jpn_Jpan  1.1697   38.3200  2.8613  3.0258       2.6521      -0.0462      -0.7719          0.3783            1.8159
spa_Latn  1.0941   35.8445  8.3492  1.2795       0.9851      0.5158       -0.8040          0.1536            1.2914
ron_Latn  1.0849   35.5416  7.9606  1.3607       1.0058      0.4972       -0.5121          0.1814            1.2832
deu_Latn  1.0802   35.3872  8.3080  1.3121       1.1212      0.6074       -0.5916          0.1582            1.3740
ita_Latn  1.0717   35.1103  8.4039  1.3242       0.9163      0.4687       -0.7202          0.1919            1.2170
hrv_Latn  1.0701   35.0592  7.0875  1.4989       0.9887      0.4446       -0.5203          0.1850            1.2694
fra_Latn  1.0272   33.6540  8.8689  1.2452       0.9978      0.6109       -0.2756          0.2139            1.2525
nya_Latn  1.0011   32.7974  8.6524  1.2172       0.8756      0.5256       -0.6504          0.3140            1.0961
eng_Latn  1.0000   32.7613  7.6658  1.3559       1.0888      0.4996       -0.7893          0.1647            1.3486
tam_Taml  0.9788   32.0652  9.1419  1.1709       0.8819      0.5432       -0.5969          0.3597            1.0627
kat_Geor  0.9541   31.2578  8.8527  1.2003       1.0143      0.6256       -0.5871          0.2625            1.2231
srp_Cyrl  0.9459   30.9880  8.0599  1.3580       1.0027      0.5898       -0.4499          0.1178            1.3301
fin_Latn  0.9317   30.5226  8.8025  1.3837       0.8536      0.4310       -0.5376          0.2280            1.1481

# eng_Latn reference (raw_entropy, t_2.0630, t_anchor): pps=32.7613	bpp=7.6658
