Language  Premium  PPS      BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
deu_Latn  1.1864   38.9338  7.5512  1.3121       1.1212      0.6074       -0.5916          0.1582            1.3740
nya_Latn  1.1628   38.1605  7.4364  1.2172       0.8756      0.5256       -0.6504          0.3140            1.0961
spa_Latn  1.1390   37.3781  8.0066  1.2795       0.9851      0.5158       -0.8040          0.1536            1.2914
kat_Geor  1.1132   36.5306  7.5749  1.2003       1.0143      0.6256       -0.5871          0.2625            1.2231
fra_Latn  1.1000   36.0993  8.2681  1.2452       0.9978      0.6109       -0.2756          0.2139            1.2525
ron_Latn  1.0998   36.0923  7.8392  1.3607       1.0058      0.4972       -0.5121          0.1814            1.2832
vie_Latn  1.0978   36.0271  7.3493  1.3561       1.2530      0.3560       -1.1393          0.1253            1.4805
ita_Latn  1.0906   35.7884  8.2447  1.3242       0.9163      0.4687       -0.7202          0.1919            1.2170
tam_Taml  1.0474   34.3711  8.5285  1.1709       0.8819      0.5432       -0.5969          0.3597            1.0627
tha_Thai  1.0429   34.2237  7.0495  1.3999       1.3010      0.2349       -1.3207          0.0865            1.5417
hrv_Latn  1.0157   33.3310  7.4550  1.4989       0.9887      0.4446       -0.5203          0.1850            1.2694
srp_Cyrl  1.0082   33.0843  7.5492  1.3580       1.0027      0.5898       -0.4499          0.1178            1.3301
fin_Latn  1.0011   32.8516  8.1785  1.3837       0.8536      0.4310       -0.5376          0.2280            1.1481
eng_Latn  1.0000   32.8164  7.6529  1.3559       1.0888      0.4996       -0.7893          0.1647            1.3486
arb_Arab  0.9105   29.8806  7.4233  1.6035       0.9853      0.1918       -0.4419          0.1995            1.2560
amh_Ethi  0.7402   24.2909  7.0299  1.9497       1.7705      0.2553       -1.0727          0.2156            1.6665
heb_Hebr  0.7138   23.4253  8.3495  1.6995       0.9406      -0.0094      -0.7682          0.3082            1.1408
jpn_Jpan  0.5889   19.3250  5.6737  3.0258       2.6521      -0.0462      -0.7719          0.3783            1.8159
kor_Hang  0.5880   19.2959  6.5507  2.6704       2.8885      0.0154       -1.1754          0.1034            2.2758
cmn_Hans  0.4623   15.1695  5.5778  4.7586       2.2663      -0.4628      0.4013           0.4064            1.6404

# eng_Latn reference (raw_monotonicity, t_0.6877, t_anchor): pps=32.8164	bpp=7.6529
