Language  Premium  PPS      BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
heb_Hebr  1.5223   49.8796  3.5082  1.6815       1.0682      -0.2952      -1.3247          0.1460            1.3507
arb_Arab  1.3555   44.4132  4.5297  1.5957       0.8682      0.2719       -1.1197          0.2019            1.1772
amh_Ethi  1.3084   42.8686  5.1099  1.9713       2.0300      0.1599       -1.2523          0.0674            1.9458
tha_Thai  1.2686   41.5657  8.3613  1.4961       1.2891      0.4896       -0.9251          0.0658            1.5520
tam_Taml  1.2399   40.6269  9.8457  1.2147       0.8987      0.4131       -0.9762          0.2034            1.1966
jpn_Jpan  1.2347   40.4564  3.9680  3.1553       2.8854      0.2954       -0.5112          0.2569            2.0708
cmn_Hans  1.2212   40.0140  2.9391  4.7195       3.3583      -0.1720      -0.9043          0.2466            2.2494
kat_Geor  1.1575   37.9248  9.8558  1.2394       1.0383      0.5206       -0.9135          0.1321            1.3424
vie_Latn  1.1560   37.8776  4.6293  1.3120       1.0512      0.4500       -0.9123          -0.0047           1.4533
kor_Hang  1.1105   36.3872  4.1600  2.6893       2.7105      0.5430       -0.7350          0.0822            2.2306
deu_Latn  1.1086   36.3220  4.1128  1.2395       1.1203      0.6985       -0.4832          0.1395            1.3885
hrv_Latn  1.1014   36.0893  3.5333  1.4079       0.9816      0.4421       -0.7346          0.1838            1.2658
ron_Latn  1.0791   35.3581  4.2238  1.2441       0.9821      0.5688       -0.6497          0.1904            1.2610
srp_Cyrl  1.0728   35.1515  6.4611  1.3636       0.8910      0.6457       -0.3982          0.0938            1.2708
spa_Latn  1.0695   35.0411  4.3530  1.1896       0.9786      0.6389       -0.6425          0.1483            1.2911
ita_Latn  1.0500   34.4032  4.3203  1.2123       0.9065      0.5647       -0.6625          0.2040            1.2013
fra_Latn  1.0425   34.1585  4.5388  1.1611       0.9535      0.6048       -0.6836          0.2079            1.2290
fin_Latn  1.0260   33.6158  4.1523  1.3269       0.8623      0.4695       -0.5380          0.2276            1.1541
nya_Latn  1.0051   32.9328  4.3180  1.1200       0.8640      0.6449       -0.4462          0.3106            1.0914
eng_Latn  1.0000   32.7653  3.8354  1.2734       1.0407      0.5764       -0.6906          0.1589            1.3231

# eng_Latn reference (raw_entropy, t_1.9448, t_anchor): pps=32.7653	bpp=3.8354
