Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.1941   39.0973  4.4848   1.3120       1.0512      0.4500       -0.9123          -0.0047           1.4533
deu_Latn  1.1920   39.0291  3.8275   1.2395       1.1203      0.6985       -0.4832          0.1395            1.3885
nya_Latn  1.1481   37.5938  3.7826   1.1200       0.8640      0.6449       -0.4462          0.3106            1.0914
spa_Latn  1.1427   37.4162  4.0767   1.1896       0.9786      0.6389       -0.6425          0.1483            1.2911
kat_Geor  1.1269   36.8987  10.1299  1.2394       1.0383      0.5206       -0.9135          0.1321            1.3424
tha_Thai  1.1097   36.3340  9.5653   1.4961       1.2891      0.4896       -0.9251          0.0658            1.5520
fra_Latn  1.1090   36.3119  4.2696   1.1611       0.9535      0.6048       -0.6836          0.2079            1.2290
ita_Latn  1.0869   35.5878  4.1765   1.2123       0.9065      0.5647       -0.6625          0.2040            1.2013
ron_Latn  1.0782   35.3029  4.2304   1.2441       0.9821      0.5688       -0.6497          0.1904            1.2610
tam_Taml  1.0586   34.6630  11.5397  1.2147       0.8987      0.4131       -0.9762          0.2034            1.1966
hrv_Latn  1.0219   33.4604  3.8109   1.4079       0.9816      0.4421       -0.7346          0.1838            1.2658
fin_Latn  1.0150   33.2347  4.1999   1.3269       0.8623      0.4695       -0.5380          0.2276            1.1541
srp_Cyrl  1.0104   33.0843  6.8648   1.3636       0.8910      0.6457       -0.3982          0.0938            1.2708
eng_Latn  1.0000   32.7432  3.8380   1.2734       1.0407      0.5764       -0.6906          0.1589            1.3231
arb_Arab  0.9449   30.9378  6.5027   1.5957       0.8682      0.2719       -1.1197          0.2019            1.1772
amh_Ethi  0.7730   25.3089  8.6552   1.9713       2.0300      0.1599       -1.2523          0.0674            1.9458
heb_Hebr  0.7648   25.0411  6.9881   1.6815       1.0682      -0.2952      -1.3247          0.1460            1.3507
jpn_Jpan  0.6509   21.3119  7.5324   3.1553       2.8854      0.2954       -0.5112          0.2569            2.0708
kor_Hang  0.6426   21.0401  7.1945   2.6893       2.7105      0.5430       -0.7350          0.0822            2.2306
cmn_Hans  0.5047   16.5256  7.1167   4.7195       3.3583      -0.1720      -0.9043          0.2466            2.2494

# eng_Latn reference (raw_monotonicity, t_0.6646, t_anchor): pps=32.7432	bpp=3.8380
