Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
tam_Taml  3.9422   129.2227  3.0954  2.8098       1.1149      -1.0690      3.7021           0.0176            1.4800
kat_Geor  3.7679   123.5075  3.0264  3.6995       1.9793      0.3800       2.9016           0.3058            1.6577
nya_Latn  3.5308   115.7362  1.2287  2.3174       0.5496      -0.5392      0.6631           0.1585            0.9617
srp_Cyrl  3.2780   107.4504  2.1137  4.3005       2.3751      -0.5760      0.4776           -0.1178           2.3042
tha_Thai  3.0737   100.7553  3.4494  2.8547       1.1075      -0.2620      -0.0889          0.1211            1.3953
hrv_Latn  2.9863   97.8877   1.3026  2.2713       0.5986      0.0785       1.5840           0.0936            1.0417
ron_Latn  2.5256   82.7884   1.8039  1.9007       0.8156      0.1440       0.1563           0.1327            1.1894
arb_Arab  2.4994   81.9298   2.4555  2.3450       0.8987      -0.4468      -1.0070          0.0449            1.3102
amh_Ethi  2.4972   81.8576   2.6760  7.1762       7.1415      -1.0460      -0.3010          -0.0166           3.8106
fin_Latn  2.4468   80.2046   1.7403  1.8977       0.6659      0.1343       0.1196           0.1010            1.0942
heb_Hebr  2.4325   79.7352   2.1946  2.9307       1.7704      -1.3236      0.1508           -0.0548           1.9325
vie_Latn  1.9154   62.7844   2.7928  1.8225       1.1964      0.3854       -0.3149          -0.1548           1.6623
ita_Latn  1.7456   57.2187   2.5976  1.5252       0.7951      0.2551       -0.6370          0.1684            1.1499
fra_Latn  1.5801   51.7934   2.9934  1.4002       0.9134      0.3938       -0.5893          0.1926            1.2145
deu_Latn  1.5310   50.1866   2.9766  1.4223       1.0455      0.5215       -0.5327          0.1258            1.3520
spa_Latn  1.5185   49.7763   3.0644  1.3747       0.9248      0.4444       -0.6982          0.1250            1.2722
jpn_Jpan  1.4857   48.6991   3.2964  3.8035       2.8772      0.2481       -0.3577          0.3345            1.9569
kor_Hang  1.4774   48.4273   3.1258  4.1733       4.4065      -0.1776      -1.3353          -0.0029           2.9730
cmn_Hans  1.2497   40.9659   2.8708  5.3624       3.7674      -0.4540      -0.7181          0.3560            2.2027
eng_Latn  1.0000   32.7793   3.8337  1.0883       1.0239      0.7498       -0.5409          0.1821            1.2942

# eng_Latn reference (raw_entropy, t_1.7488, t_anchor): pps=32.7793	bpp=3.8337
