Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.4382   47.1123  3.7218   1.8225       1.1964      0.3854       -0.3149          -0.1548           1.6623
srp_Cyrl  1.3870   45.4343  4.9988   4.3005       2.3751      -0.5760      0.4776           -0.1178           2.3042
deu_Latn  1.3620   44.6158  3.3482   1.4223       1.0455      0.5215       -0.5327          0.1258            1.3520
spa_Latn  1.3256   43.4243  3.5127   1.3747       0.9248      0.4444       -0.6982          0.1250            1.2722
fra_Latn  1.3153   43.0873  3.5982   1.4002       0.9134      0.3938       -0.5893          0.1926            1.2145
ron_Latn  1.2950   42.4223  3.5204   1.9007       0.8156      0.1440       0.1563           0.1327            1.1894
ita_Latn  1.2871   42.1605  3.5254   1.5252       0.7951      0.2551       -0.6370          0.1684            1.1499
tha_Thai  1.2815   41.9789  8.2790   2.8547       1.1075      -0.2620      -0.0889          0.1211            1.3953
nya_Latn  1.2133   39.7442  3.5780   2.3174       0.5496      -0.5392      0.6631           0.1585            0.9617
hrv_Latn  1.1804   38.6660  3.2978   2.2713       0.5986      0.0785       1.5840           0.0936            1.0417
fin_Latn  1.1767   38.5456  3.6213   1.8977       0.6659      0.1343       0.1196           0.1010            1.0942
arb_Arab  1.1243   36.8305  5.4623   2.3450       0.8987      -0.4468      -1.0070          0.0449            1.3102
amh_Ethi  1.1106   36.3811  6.0211   7.1762       7.1415      -1.0460      -0.3010          -0.0166           3.8106
kat_Geor  1.0235   33.5276  11.1484  3.6995       1.9793      0.3800       2.9016           0.3058            1.6577
eng_Latn  1.0000   32.7573  3.8363   1.0883       1.0239      0.7498       -0.5409          0.1821            1.2942
tam_Taml  0.9570   31.3490  12.7596  2.8098       1.1149      -1.0690      3.7021           0.0176            1.4800
heb_Hebr  0.8230   26.9599  6.4907   2.9307       1.7704      -1.3236      0.1508           -0.0548           1.9325
kor_Hang  0.7052   23.0993  6.5531   4.1733       4.4065      -0.1776      -1.3353          -0.0029           2.9730
jpn_Jpan  0.6557   21.4774  7.4743   3.8035       2.8772      0.2481       -0.3577          0.3345            1.9569
cmn_Hans  0.5249   17.1946  6.8398   5.3624       3.7674      -0.4540      -0.7181          0.3560            2.2027

# eng_Latn reference (raw_monotonicity, t_0.5552, t_anchor): pps=32.7573	bpp=3.8363
