Language  Premium  PPS      BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
arb_Arab  1.3278   47.8185  4.6387  1.6035       0.9853      0.1918       -0.4419          0.1995            1.2560
vie_Latn  1.3271   47.7934  5.5400  1.3561       1.2530      0.3560       -1.1393          0.1253            1.4805
heb_Hebr  1.2847   46.2668  4.2274  1.6995       0.9406      -0.0094      -0.7682          0.3082            1.1408
tha_Thai  1.2530   45.1254  5.3464  1.3999       1.3010      0.2349       -1.3207          0.0865            1.5417
amh_Ethi  1.1496   41.4022  4.1245  1.9497       1.7705      0.2553       -1.0727          0.2156            1.6665
kor_Hang  1.1394   41.0331  3.0805  2.6704       2.8885      0.0154       -1.1754          0.1034            2.2758
cmn_Hans  1.1143   40.1294  2.1085  4.7586       2.2663      -0.4628      0.4013           0.4064            1.6404
ron_Latn  1.1020   39.6881  7.1289  1.3607       1.0058      0.4972       -0.5121          0.1814            1.2832
jpn_Jpan  1.0919   39.3250  2.7882  3.0258       2.6521      -0.0462      -0.7719          0.3783            1.8159
deu_Latn  1.0877   39.1715  7.5054  1.3121       1.1212      0.6074       -0.5916          0.1582            1.3740
spa_Latn  1.0801   38.8997  7.6934  1.2795       0.9851      0.5158       -0.8040          0.1536            1.2914
ita_Latn  1.0765   38.7693  7.6108  1.3242       0.9163      0.4687       -0.7202          0.1919            1.2170
hrv_Latn  1.0760   38.7523  6.4121  1.4989       0.9887      0.4446       -0.5203          0.1850            1.2694
fra_Latn  1.0301   37.0983  8.0455  1.2452       0.9978      0.6109       -0.2756          0.2139            1.2525
nya_Latn  1.0261   36.9529  7.6794  1.2172       0.8756      0.5256       -0.6504          0.3140            1.0961
fin_Latn  1.0030   36.1234  7.4377  1.3837       0.8536      0.4310       -0.5376          0.2280            1.1481
eng_Latn  1.0000   36.0140  6.9734  1.3559       1.0888      0.4996       -0.7893          0.1647            1.3486
tam_Taml  0.9813   35.3420  8.2942  1.1709       0.8819      0.5432       -0.5969          0.3597            1.0627
kat_Geor  0.9520   34.2859  8.0709  1.2003       1.0143      0.6256       -0.5871          0.2625            1.2231
srp_Cyrl  0.9373   33.7563  7.3989  1.3580       1.0027      0.5898       -0.4499          0.1178            1.3301

# eng_Latn reference (raw_entropy, t_1.9421, t_lower_bound): pps=36.0140	bpp=6.9734
