Language  Premium  PPS      BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
nya_Latn  1.2125   43.6810  6.4965  1.2172       0.8756      0.5256       -0.6504          0.3140            1.0961
deu_Latn  1.1879   42.7934  6.8702  1.3121       1.1212      0.6074       -0.5916          0.1582            1.3740
spa_Latn  1.1699   42.1464  7.1008  1.2795       0.9851      0.5158       -0.8040          0.1536            1.2914
ita_Latn  1.1307   40.7342  7.2437  1.3242       0.9163      0.4687       -0.7202          0.1919            1.2170
kat_Geor  1.1306   40.7292  6.7941  1.2003       1.0143      0.6256       -0.5871          0.2625            1.2231
fra_Latn  1.1210   40.3852  7.3907  1.2452       0.9978      0.6109       -0.2756          0.2139            1.2525
ron_Latn  1.1104   40.0030  7.0728  1.3607       1.0058      0.4972       -0.5121          0.1814            1.2832
tam_Taml  1.0795   38.8877  7.5380  1.1709       0.8819      0.5432       -0.5969          0.3597            1.0627
vie_Latn  1.0776   38.8205  6.8205  1.3561       1.2530      0.3560       -1.1393          0.1253            1.4805
fin_Latn  1.0396   37.4524  7.1738  1.3837       0.8536      0.4310       -0.5376          0.2280            1.1481
hrv_Latn  1.0290   37.0702  6.7030  1.4989       0.9887      0.4446       -0.5203          0.1850            1.2694
srp_Cyrl  1.0166   36.6219  6.8199  1.3580       1.0027      0.5898       -0.4499          0.1178            1.3301
eng_Latn  1.0000   36.0251  6.9713  1.3559       1.0888      0.4996       -0.7893          0.1647            1.3486
tha_Thai  0.9982   35.9609  6.7090  1.3999       1.3010      0.2349       -1.3207          0.0865            1.5417
arb_Arab  0.9213   33.1916  6.6828  1.6035       0.9853      0.1918       -0.4419          0.1995            1.2560
amh_Ethi  0.7343   26.4534  6.4552  1.9497       1.7705      0.2553       -1.0727          0.2156            1.6665
heb_Hebr  0.7323   26.3811  7.4140  1.6995       0.9406      -0.0094      -0.7682          0.3082            1.1408
jpn_Jpan  0.5780   20.8215  5.2660  3.0258       2.6521      -0.0462      -0.7719          0.3783            1.8159
kor_Hang  0.5641   20.3210  6.2202  2.6704       2.8885      0.0154       -1.1754          0.1034            2.2758
cmn_Hans  0.4610   16.6068  5.0950  4.7586       2.2663      -0.4628      0.4013           0.4064            1.6404

# eng_Latn reference (raw_monotonicity, t_0.5437, t_lower_bound): pps=36.0251	bpp=6.9713
