Language  Premium  PPS      BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
heb_Hebr  1.4613   52.5647  3.3290  1.6815       1.0682      -0.2952      -1.3247          0.1460            1.3507
arb_Arab  1.3270   47.7352  4.2145  1.5957       0.8682      0.2719       -1.1197          0.2019            1.1772
tha_Thai  1.2555   45.1625  7.6954  1.4961       1.2891      0.4896       -0.9251          0.0658            1.5520
amh_Ethi  1.2397   44.5928  4.9123  1.9713       2.0300      0.1599       -1.2523          0.0674            1.9458
tam_Taml  1.2355   44.4433  9.0002  1.2147       0.8987      0.4131       -0.9762          0.2034            1.1966
jpn_Jpan  1.1565   41.5998  3.8589  3.1553       2.8854      0.2954       -0.5112          0.2569            2.0708
kat_Geor  1.1510   41.4022  9.0280  1.2394       1.0383      0.5206       -0.9135          0.1321            1.3424
cmn_Hans  1.1230   40.3982  2.9112  4.7195       3.3583      -0.1720      -0.9043          0.2466            2.2494
vie_Latn  1.1182   40.2247  4.3591  1.3120       1.0512      0.4500       -0.9123          -0.0047           1.4533
deu_Latn  1.1106   39.9509  3.7392  1.2395       1.1203      0.6985       -0.4832          0.1395            1.3885
hrv_Latn  1.1088   39.8847  3.1970  1.4079       0.9816      0.4421       -0.7346          0.1838            1.2658
fin_Latn  1.0975   39.4804  3.5355  1.3269       0.8623      0.4695       -0.5380          0.2276            1.1541
ron_Latn  1.0940   39.3541  3.7949  1.2441       0.9821      0.5688       -0.6497          0.1904            1.2610
srp_Cyrl  1.0848   39.0221  5.8202  1.3636       0.8910      0.6457       -0.3982          0.0938            1.2708
spa_Latn  1.0631   38.2427  3.9886  1.1896       0.9786      0.6389       -0.6425          0.1483            1.2911
kor_Hang  1.0612   38.1735  3.9654  2.6893       2.7105      0.5430       -0.7350          0.0822            2.2306
fra_Latn  1.0553   37.9629  4.0839  1.1611       0.9535      0.6048       -0.6836          0.2079            1.2290
ita_Latn  1.0497   37.7583  3.9365  1.2123       0.9065      0.5647       -0.6625          0.2040            1.2013
nya_Latn  1.0160   36.5466  3.8910  1.1200       0.8640      0.6449       -0.4462          0.3106            1.0914
eng_Latn  1.0000   35.9719  3.4935  1.2734       1.0407      0.5764       -0.6906          0.1589            1.3231

# eng_Latn reference (raw_entropy, t_1.8320, t_lower_bound): pps=35.9719	bpp=3.4935
