Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
deu_Latn  1.1963   43.0311  3.4715   1.2395       1.1203      0.6985       -0.4832          0.1395            1.3885
nya_Latn  1.1946   42.9709  3.3093   1.1200       0.8640      0.6449       -0.4462          0.3106            1.0914
vie_Latn  1.1771   42.3430  4.1411   1.3120       1.0512      0.4500       -0.9123          -0.0047           1.4533
spa_Latn  1.1640   41.8716  3.6429   1.1896       0.9786      0.6389       -0.6425          0.1483            1.2911
fra_Latn  1.1260   40.5025  3.8279   1.1611       0.9535      0.6048       -0.6836          0.2079            1.2290
kat_Geor  1.1248   40.4594  9.2384   1.2394       1.0383      0.5206       -0.9135          0.1321            1.3424
ita_Latn  1.1229   40.3922  3.6798   1.2123       0.9065      0.5647       -0.6625          0.2040            1.2013
tha_Thai  1.1073   39.8305  8.7256   1.4961       1.2891      0.4896       -0.9251          0.0658            1.5520
ron_Latn  1.0970   39.4594  3.7848   1.2441       0.9821      0.5688       -0.6497          0.1904            1.2610
tam_Taml  1.0844   39.0070  10.2546  1.2147       0.8987      0.4131       -0.9762          0.2034            1.1966
srp_Cyrl  1.0570   38.0201  5.9736   1.3636       0.8910      0.6457       -0.3982          0.0938            1.2708
fin_Latn  1.0500   37.7693  3.6957   1.3269       0.8623      0.4695       -0.5380          0.2276            1.1541
hrv_Latn  1.0333   37.1685  3.4307   1.4079       0.9816      0.4421       -0.7346          0.1838            1.2658
eng_Latn  1.0000   35.9709  3.4936   1.2734       1.0407      0.5764       -0.6906          0.1589            1.3231
arb_Arab  0.9535   34.2989  5.8655   1.5957       0.8682      0.2719       -1.1197          0.2019            1.1772
heb_Hebr  0.7684   27.6409  6.3308   1.6815       1.0682      -0.2952      -1.3247          0.1460            1.3507
amh_Ethi  0.7513   27.0241  8.1059   1.9713       2.0300      0.1599       -1.2523          0.0674            1.9458
jpn_Jpan  0.6322   22.7422  7.0587   3.1553       2.8854      0.2954       -0.5112          0.2569            2.0708
kor_Hang  0.6194   22.2798  6.7941   2.6893       2.7105      0.5430       -0.7350          0.0822            2.2306
cmn_Hans  0.4846   17.4323  6.7465   4.7195       3.3583      -0.1720      -0.9043          0.2466            2.2494

# eng_Latn reference (raw_monotonicity, t_0.5206, t_lower_bound): pps=35.9709	bpp=3.4936
