Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
tam_Taml  3.5948   129.3571  3.0922  2.8098       1.1149      -1.0690      3.7021           0.0176            1.4800
kat_Geor  3.4501   124.1525  3.0106  3.6995       1.9793      0.3800       2.9016           0.3058            1.6577
nya_Latn  3.3481   120.4824  1.1803  2.3174       0.5496      -0.5392      0.6631           0.1585            0.9617
srp_Cyrl  3.0013   108.0010  2.1029  4.3005       2.3751      -0.5760      0.4776           -0.1178           2.3042
hrv_Latn  2.8760   103.4925  1.2321  2.2713       0.5986      0.0785       1.5840           0.0936            1.0417
tha_Thai  2.8643   103.0722  3.3719  2.8547       1.1075      -0.2620      -0.0889          0.1211            1.3953
ron_Latn  2.5260   90.8967   1.6430  1.9007       0.8156      0.1440       0.1563           0.1327            1.1894
fin_Latn  2.4517   88.2247   1.5821  1.8977       0.6659      0.1343       0.1196           0.1010            1.0942
arb_Arab  2.3177   83.4012   2.4122  2.3450       0.8987      -0.4468      -1.0070          0.0449            1.3102
amh_Ethi  2.2963   82.6329   2.6509  7.1762       7.1415      -1.0460      -0.3010          -0.0166           3.8106
heb_Hebr  2.2186   79.8355   2.1919  2.9307       1.7704      -1.3236      0.1508           -0.0548           1.9325
vie_Latn  1.9203   69.1013   2.5375  1.8225       1.1964      0.3854       -0.3149          -0.1548           1.6623
ita_Latn  1.8028   64.8726   2.2912  1.5252       0.7951      0.2551       -0.6370          0.1684            1.1499
fra_Latn  1.6284   58.5978   2.6458  1.4002       0.9134      0.3938       -0.5893          0.1926            1.2145
spa_Latn  1.5667   56.3791   2.7055  1.3747       0.9248      0.4444       -0.6982          0.1250            1.2722
deu_Latn  1.5641   56.2859   2.6540  1.4223       1.0455      0.5215       -0.5327          0.1258            1.3520
kor_Hang  1.3936   50.1474   3.0185  4.1733       4.4065      -0.1776      -1.3353          -0.0029           2.9730
jpn_Jpan  1.3732   49.4132   3.2487  3.8035       2.8772      0.2481       -0.3577          0.3345            1.9569
cmn_Hans  1.1427   41.1204   2.8601  5.3624       3.7674      -0.4540      -0.7181          0.3560            2.2027
eng_Latn  1.0000   35.9850   3.4922  1.0883       1.0239      0.7498       -0.5409          0.1821            1.2942

# eng_Latn reference (raw_entropy, t_1.6279, t_lower_bound): pps=35.9850	bpp=3.4922
