Language  Premium  PPS      BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.3913   50.0401  3.5041  1.8225       1.1964      0.3854       -0.3149          -0.1548           1.6623
srp_Cyrl  1.3856   49.8365  4.5572  4.3005       2.3751      -0.5760      0.4776           -0.1178           2.3042
deu_Latn  1.3626   49.0100  3.0480  1.4223       1.0455      0.5215       -0.5327          0.1258            1.3520
spa_Latn  1.3576   48.8275  3.1240  1.3747       0.9248      0.4444       -0.6982          0.1250            1.2722
ita_Latn  1.3289   47.7954  3.1098  1.5252       0.7951      0.2551       -0.6370          0.1684            1.1499
fra_Latn  1.3273   47.7382  3.2477  1.4002       0.9134      0.3938       -0.5893          0.1926            1.2145
ron_Latn  1.3195   47.4594  3.1468  1.9007       0.8156      0.1440       0.1563           0.1327            1.1894
nya_Latn  1.3191   47.4433  2.9973  2.3174       0.5496      -0.5392      0.6631           0.1585            0.9617
tha_Thai  1.2878   46.3190  7.5033  2.8547       1.1075      -0.2620      -0.0889          0.1211            1.3953
fin_Latn  1.2331   44.3521  3.1472  1.8977       0.6659      0.1343       0.1196           0.1010            1.0942
hrv_Latn  1.2269   44.1264  2.8897  2.2713       0.5986      0.0785       1.5840           0.0936            1.0417
tam_Taml  1.1375   40.9117  9.7772  2.8098       1.1149      -1.0690      3.7021           0.0176            1.4800
arb_Arab  1.1288   40.5978  4.9554  2.3450       0.8987      -0.4468      -1.0070          0.0449            1.3102
kat_Geor  1.0895   39.1846  9.5389  3.6995       1.9793      0.3800       2.9016           0.3058            1.6577
amh_Ethi  1.0709   38.5165  5.6872  7.1762       7.1415      -1.0460      -0.3010          -0.0166           3.8106
eng_Latn  1.0000   35.9669  3.4940  1.0883       1.0239      0.7498       -0.5409          0.1821            1.2942
heb_Hebr  0.9135   32.8566  5.3258  2.9307       1.7704      -1.3236      0.1508           -0.0548           1.9325
kor_Hang  0.6688   24.0552  6.2927  4.1733       4.4065      -0.1776      -1.3353          -0.0029           2.9730
jpn_Jpan  0.6339   22.7984  7.0413  3.8035       2.8772      0.2481       -0.3577          0.3345            1.9569
cmn_Hans  0.5072   18.2417  6.4471  5.3624       3.7674      -0.4540      -0.7181          0.3560            2.2027

# eng_Latn reference (raw_monotonicity, t_0.4227, t_lower_bound): pps=35.9669	bpp=3.4940
