Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.3790   39.8786  6.6395   1.3561       1.2530      0.3560       -1.1393          0.1253            1.4805
cmn_Hans  1.3615   39.3741  2.1489   4.7586       2.2663      -0.4628      0.4013           0.4064            1.6404
arb_Arab  1.3209   38.1986  5.8068   1.6035       0.9853      0.1918       -0.4419          0.1995            1.2560
kor_Hang  1.3143   38.0080  3.3256   2.6704       2.8885      0.0154       -1.1754          0.1034            2.2758
tha_Thai  1.3138   37.9930  6.3501   1.3999       1.3010      0.2349       -1.3207          0.0865            1.5417
heb_Hebr  1.3086   37.8425  5.1685   1.6995       0.9406      -0.0094      -0.7682          0.3082            1.1408
amh_Ethi  1.2947   37.4423  4.5607   1.9497       1.7705      0.2553       -1.0727          0.2156            1.6665
jpn_Jpan  1.2810   37.0441  2.9598   3.0258       2.6521      -0.0462      -0.7719          0.3783            1.8159
spa_Latn  1.1108   32.1244  9.3160   1.2795       0.9851      0.5158       -0.8040          0.1536            1.2914
deu_Latn  1.0808   31.2568  9.4059   1.3121       1.1212      0.6074       -0.5916          0.1582            1.3740
ron_Latn  1.0761   31.1204  9.0916   1.3607       1.0058      0.4972       -0.5121          0.1814            1.2832
hrv_Latn  1.0666   30.8455  8.0557   1.4989       0.9887      0.4446       -0.5203          0.1850            1.2694
ita_Latn  1.0592   30.6309  9.6329   1.3242       0.9163      0.4687       -0.7202          0.1919            1.2170
fra_Latn  1.0335   29.8867  9.9868   1.2452       0.9978      0.6109       -0.2756          0.2139            1.2525
eng_Latn  1.0000   28.9188  8.6844   1.3559       1.0888      0.4996       -0.7893          0.1647            1.3486
tam_Taml  0.9687   28.0150  10.4635  1.1709       0.8819      0.5432       -0.5969          0.3597            1.0627
kat_Geor  0.9538   27.5827  10.0322  1.2003       1.0143      0.6256       -0.5871          0.2625            1.2231
srp_Cyrl  0.9492   27.4504  9.0986   1.3580       1.0027      0.5898       -0.4499          0.1178            1.3301
nya_Latn  0.9362   27.0752  10.4810  1.2172       0.8756      0.5256       -0.6504          0.3140            1.0961
fin_Latn  0.8700   25.1585  10.6793  1.3837       0.8536      0.4310       -0.5376          0.2280            1.1481

# eng_Latn reference (raw_entropy, t_2.2228, t_midpoint): pps=28.9188	bpp=8.6844
