Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
deu_Latn  1.1693   33.3350  8.8195   1.3121       1.1212      0.6074       -0.5916          0.1582            1.3740
vie_Latn  1.1387   32.4634  8.1561   1.3561       1.2530      0.3560       -1.1393          0.1253            1.4805
spa_Latn  1.1090   31.6169  9.4656   1.2795       0.9851      0.5158       -0.8040          0.1536            1.2914
tha_Thai  1.1057   31.5216  7.6538   1.3999       1.3010      0.2349       -1.3207          0.0865            1.5417
ron_Latn  1.0677   30.4393  9.2950   1.3607       1.0058      0.4972       -0.5121          0.1814            1.2832
fra_Latn  1.0640   30.3340  9.8396   1.2452       0.9978      0.6109       -0.2756          0.2139            1.2525
nya_Latn  1.0505   29.9488  9.4753   1.2172       0.8756      0.5256       -0.6504          0.3140            1.0961
kat_Geor  1.0499   29.9318  9.2449   1.2003       1.0143      0.6256       -0.5871          0.2625            1.2231
ita_Latn  1.0330   29.4504  10.0191  1.3242       0.9163      0.4687       -0.7202          0.1919            1.2170
eng_Latn  1.0000   28.5095  8.8090   1.3559       1.0888      0.4996       -0.7893          0.1647            1.3486
srp_Cyrl  0.9846   28.0712  8.8973   1.3580       1.0027      0.5898       -0.4499          0.1178            1.3301
hrv_Latn  0.9790   27.9117  8.9025   1.4989       0.9887      0.4446       -0.5203          0.1850            1.2694
tam_Taml  0.9789   27.9077  10.5037  1.1709       0.8819      0.5432       -0.5969          0.3597            1.0627
fin_Latn  0.9372   26.7202  10.0552  1.3837       0.8536      0.4310       -0.5376          0.2280            1.1481
arb_Arab  0.8903   25.3821  8.7390   1.6035       0.9853      0.1918       -0.4419          0.1995            1.2560
amh_Ethi  0.7532   21.4744  7.9519   1.9497       1.7705      0.2553       -1.0727          0.2156            1.6665
heb_Hebr  0.6835   19.4855  10.0377  1.6995       0.9406      -0.0094      -0.7682          0.3082            1.1408
kor_Hang  0.6291   17.9358  7.0474   2.6704       2.8885      0.0154       -1.1754          0.1034            2.2758
jpn_Jpan  0.5984   17.0592  6.4273   3.0258       2.6521      -0.0462      -0.7719          0.3783            1.8159
cmn_Hans  0.4540   12.9428  6.5374   4.7586       2.2663      -0.4628      0.4013           0.4064            1.6404

# eng_Latn reference (raw_monotonicity, t_0.9297, t_midpoint): pps=28.5095	bpp=8.8090
