Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
heb_Hebr  1.5743   45.3551  3.8582   1.6815       1.0682      -0.2952      -1.3247          0.1460            1.3507
amh_Ethi  1.3991   40.3079  5.4345   1.9713       2.0300      0.1599       -1.2523          0.0674            1.9458
cmn_Hans  1.3595   39.1665  3.0027   4.7195       3.3583      -0.1720      -0.9043          0.2466            2.2494
arb_Arab  1.3516   38.9388  5.1666   1.5957       0.8682      0.2719       -1.1197          0.2019            1.1772
jpn_Jpan  1.3451   38.7533  4.1424   3.1553       2.8854      0.2954       -0.5112          0.2569            2.0708
tha_Thai  1.2518   36.0662  9.6363   1.4961       1.2891      0.4896       -0.9251          0.0658            1.5520
tam_Taml  1.2139   34.9719  11.4378  1.2147       0.8987      0.4131       -0.9762          0.2034            1.1966
vie_Latn  1.2067   34.7653  5.0437   1.3120       1.0512      0.4500       -0.9123          -0.0047           1.4533
kor_Hang  1.1836   34.0993  4.4392   2.6893       2.7105      0.5430       -0.7350          0.0822            2.2306
kat_Geor  1.1597   33.4122  11.1869  1.2394       1.0383      0.5206       -0.9135          0.1321            1.3424
deu_Latn  1.0963   31.5838  4.7298   1.2395       1.1203      0.6985       -0.4832          0.1395            1.3885
hrv_Latn  1.0849   31.2558  4.0796   1.4079       0.9816      0.4421       -0.7346          0.1838            1.2658
spa_Latn  1.0749   30.9689  4.9254   1.1896       0.9786      0.6389       -0.6425          0.1483            1.2911
ron_Latn  1.0588   30.5045  4.8958   1.2441       0.9821      0.5688       -0.6497          0.1904            1.2610
ita_Latn  1.0352   29.8235  4.9838   1.2123       0.9065      0.5647       -0.6625          0.2040            1.2013
fra_Latn  1.0305   29.6881  5.2222   1.1611       0.9535      0.6048       -0.6836          0.2079            1.2290
srp_Cyrl  1.0128   29.1795  7.7834   1.3636       0.8910      0.6457       -0.3982          0.0938            1.2708
eng_Latn  1.0000   28.8104  4.3619   1.2734       1.0407      0.5764       -0.6906          0.1589            1.3231
fin_Latn  0.9452   27.2317  5.1258   1.3269       0.8623      0.4695       -0.5380          0.2276            1.1541
nya_Latn  0.9394   27.0632  5.2545   1.1200       0.8640      0.6449       -0.4462          0.3106            1.0914

# eng_Latn reference (raw_entropy, t_2.1167, t_midpoint): pps=28.8104	bpp=4.3619
