Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.2231   34.7272  5.0492   1.3120       1.0512      0.4500       -0.9123          -0.0047           1.4533
deu_Latn  1.1797   33.4945  4.4600   1.2395       1.1203      0.6985       -0.4832          0.1395            1.3885
kat_Geor  1.1215   31.8415  11.7387  1.2394       1.0383      0.5206       -0.9135          0.1321            1.3424
tha_Thai  1.1146   31.6469  10.9819  1.4961       1.2891      0.4896       -0.9251          0.0658            1.5520
spa_Latn  1.1089   31.4855  4.8446   1.1896       0.9786      0.6389       -0.6425          0.1483            1.2911
fra_Latn  1.0798   30.6570  5.0572   1.1611       0.9535      0.6048       -0.6836          0.2079            1.2290
ron_Latn  1.0530   29.8957  4.9955   1.2441       0.9821      0.5688       -0.6497          0.1904            1.2610
nya_Latn  1.0524   29.8796  4.7592   1.1200       0.8640      0.6449       -0.4462          0.3106            1.0914
ita_Latn  1.0390   29.4995  5.0385   1.2123       0.9065      0.5647       -0.6625          0.2040            1.2013
tam_Taml  1.0364   29.4253  13.5938  1.2147       0.8987      0.4131       -0.9762          0.2034            1.1966
eng_Latn  1.0000   28.3922  4.4261   1.2734       1.0407      0.5764       -0.6906          0.1589            1.3231
hrv_Latn  0.9929   28.1896  4.5234   1.4079       0.9816      0.4421       -0.7346          0.1838            1.2658
srp_Cyrl  0.9866   28.0110  8.1081   1.3636       0.8910      0.6457       -0.3982          0.0938            1.2708
fin_Latn  0.9626   27.3310  5.1072   1.3269       0.8623      0.4695       -0.5380          0.2276            1.1541
arb_Arab  0.9393   26.6680  7.5439   1.5957       0.8682      0.2719       -1.1197          0.2019            1.1772
amh_Ethi  0.8122   23.0602  9.4992   1.9713       2.0300      0.1599       -1.2523          0.0674            1.9458
heb_Hebr  0.7748   21.9990  7.9544   1.6815       1.0682      -0.2952      -1.3247          0.1460            1.3507
kor_Hang  0.6770   19.2227  7.8747   2.6893       2.7105      0.5430       -0.7350          0.0822            2.2306
jpn_Jpan  0.6731   19.1113  8.3997   3.1553       2.8854      0.2954       -0.5112          0.2569            2.0708
cmn_Hans  0.5331   15.1364  7.7698   4.7195       3.3583      -0.1720      -0.9043          0.2466            2.2494

# eng_Latn reference (raw_monotonicity, t_0.8922, t_midpoint): pps=28.3922	bpp=4.4261
