Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
tam_Taml  4.4957   128.9107  3.1029  2.8098       1.1149      -1.0690      3.7021           0.0176            1.4800
kat_Geor  4.2776   122.6560  3.0474  3.6995       1.9793      0.3800       2.9016           0.3058            1.6577
nya_Latn  3.7395   107.2277  1.3262  2.3174       0.5496      -0.5392      0.6631           0.1585            0.9617
srp_Cyrl  3.7258   106.8335  2.1259  4.3005       2.3751      -0.5760      0.4776           -0.1178           2.3042
tha_Thai  3.4056   97.6520   3.5590  2.8547       1.1075      -0.2620      -0.0889          0.1211            1.3953
hrv_Latn  3.0674   87.9539   1.4498  2.2713       0.5986      0.0785       1.5840           0.0936            1.0417
amh_Ethi  2.8134   80.6710   2.7154  7.1762       7.1415      -1.0460      -0.3010          -0.0166           3.8106
heb_Hebr  2.7753   79.5787   2.1989  2.9307       1.7704      -1.3236      0.1508           -0.0548           1.9325
arb_Arab  2.7589   79.1083   2.5431  2.3450       0.8987      -0.4468      -1.0070          0.0449            1.3102
ron_Latn  2.4280   69.6219   2.1451  1.9007       0.8156      0.1440       0.1563           0.1327            1.1894
fin_Latn  2.2978   65.8857   2.1186  1.8977       0.6659      0.1343       0.1196           0.1010            1.0942
vie_Latn  1.9132   54.8586   3.1963  1.8225       1.1964      0.3854       -0.3149          -0.1548           1.6623
jpn_Jpan  1.6596   47.5878   3.3733  3.8035       2.8772      0.2481       -0.3577          0.3345            1.9569
ita_Latn  1.6465   47.2126   3.1482  1.5252       0.7951      0.2551       -0.6370          0.1684            1.1499
kor_Hang  1.6409   47.0502   3.2173  4.1733       4.4065      -0.1776      -1.3353          -0.0029           2.9730
fra_Latn  1.5006   43.0281   3.6032  1.4002       0.9134      0.3938       -0.5893          0.1926            1.2145
deu_Latn  1.4960   42.8957   3.4825  1.4223       1.0455      0.5215       -0.5327          0.1258            1.3520
spa_Latn  1.4706   42.1675   3.6174  1.3747       0.9248      0.4444       -0.6982          0.1250            1.2722
cmn_Hans  1.4181   40.6640   2.8922  5.3624       3.7674      -0.4540      -0.7181          0.3560            2.2027
eng_Latn  1.0000   28.6740   4.3826  1.0883       1.0239      0.7498       -0.5409          0.1821            1.2942

# eng_Latn reference (raw_entropy, t_1.9207, t_midpoint): pps=28.6740	bpp=4.3826
