Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.5321   43.1083  4.0675   1.8225       1.1964      0.3854       -0.3149          -0.1548           1.6623
srp_Cyrl  1.4162   39.8495  5.6993   4.3005       2.3751      -0.5760      0.4776           -0.1178           2.3042
deu_Latn  1.3533   38.0792  3.9230   1.4223       1.0455      0.5215       -0.5327          0.1258            1.3520
spa_Latn  1.2635   35.5507  4.2907   1.3747       0.9248      0.4444       -0.6982          0.1250            1.2722
fra_Latn  1.2492   35.1505  4.4107   1.4002       0.9134      0.3938       -0.5893          0.1926            1.2145
ron_Latn  1.2244   34.4504  4.3351   1.9007       0.8156      0.1440       0.1563           0.1327            1.1894
ita_Latn  1.2043   33.8867  4.3862   1.5252       0.7951      0.2551       -0.6370          0.1684            1.1499
tha_Thai  1.2023   33.8295  10.2734  2.8547       1.1075      -0.2620      -0.0889          0.1211            1.3953
amh_Ethi  1.1683   32.8736  6.6635   7.1762       7.1415      -1.0460      -0.3010          -0.0166           3.8106
arb_Arab  1.1191   31.4895  6.3888   2.3450       0.8987      -0.4468      -1.0070          0.0449            1.3102
fin_Latn  1.0651   29.9679  4.6578   1.8977       0.6659      0.1343       0.1196           0.1010            1.0942
hrv_Latn  1.0274   28.9097  4.4107   2.2713       0.5986      0.0785       1.5840           0.0936            1.0417
eng_Latn  1.0000   28.1374  4.4662   1.0883       1.0239      0.7498       -0.5409          0.1821            1.2942
nya_Latn  0.9885   27.8134  5.1128   2.3174       0.5496      -0.5392      0.6631           0.1585            0.9617
kat_Geor  0.9728   27.3721  13.6555  3.6995       1.9793      0.3800       2.9016           0.3058            1.6577
heb_Hebr  0.7727   21.7412  8.0487   2.9307       1.7704      -1.3236      0.1508           -0.0548           1.9325
kor_Hang  0.7649   21.5236  7.0329   4.1733       4.4065      -0.1776      -1.3353          -0.0029           2.9730
tam_Taml  0.7622   21.4473  18.6504  2.8098       1.1149      -1.0690      3.7021           0.0176            1.4800
jpn_Jpan  0.6812   19.1685  8.3747   3.8035       2.8772      0.2481       -0.3577          0.3345            1.9569
cmn_Hans  0.5514   15.5145  7.5804   5.3624       3.7674      -0.4540      -0.7181          0.3560            2.2027

# eng_Latn reference (raw_monotonicity, t_0.7856, t_midpoint): pps=28.1374	bpp=4.4662
