Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
cmn_Hans  1.6776   38.5286  2.1961   4.7586       2.2663      -0.4628      0.4013           0.4064            1.6404
kor_Hang  1.5110   34.7011  3.6426   2.6704       2.8885      0.0154       -1.1754          0.1034            2.2758
jpn_Jpan  1.5073   34.6169  3.1674   3.0258       2.6521      -0.0462      -0.7719          0.3783            1.8159
amh_Ethi  1.4690   33.7372  5.0615   1.9497       1.7705      0.2553       -1.0727          0.2156            1.6665
vie_Latn  1.3581   31.1906  8.4889   1.3561       1.2530      0.3560       -1.1393          0.1253            1.4805
tha_Thai  1.3012   29.8826  8.0736   1.3999       1.3010      0.2349       -1.3207          0.0865            1.5417
heb_Hebr  1.1695   26.8586  7.2822   1.6995       0.9406      -0.0094      -0.7682          0.3082            1.1408
arb_Arab  1.1370   26.1133  8.4943   1.6035       0.9853      0.1918       -0.4419          0.1995            1.2560
spa_Latn  1.1347   26.0602  11.4839  1.2795       0.9851      0.5158       -0.8040          0.1536            1.2914
deu_Latn  1.0963   25.1775  11.6770  1.3121       1.1212      0.6074       -0.5916          0.1582            1.3740
ron_Latn  1.0771   24.7372  11.4375  1.3607       1.0058      0.4972       -0.5121          0.1814            1.2832
ita_Latn  1.0571   24.2778  12.1537  1.3242       0.9163      0.4687       -0.7202          0.1919            1.2170
hrv_Latn  1.0569   24.2738  10.2367  1.4989       0.9887      0.4446       -0.5203          0.1850            1.2694
fra_Latn  1.0236   23.5075  12.6969  1.2452       0.9978      0.6109       -0.2756          0.2139            1.2525
eng_Latn  1.0000   22.9659  10.9354  1.3559       1.0888      0.4996       -0.7893          0.1647            1.3486
srp_Cyrl  0.9570   21.9779  11.3641  1.3580       1.0027      0.5898       -0.4499          0.1178            1.3301
kat_Geor  0.9441   21.6810  12.7630  1.2003       1.0143      0.6256       -0.5871          0.2625            1.2231
tam_Taml  0.8740   20.0732  14.6033  1.1709       0.8819      0.5432       -0.5969          0.3597            1.0627
fin_Latn  0.8191   18.8114  14.2826  1.3837       0.8536      0.4310       -0.5376          0.2280            1.1481
nya_Latn  0.7423   17.0481  16.6455  1.2172       0.8756      0.5256       -0.6504          0.3140            1.0961

# eng_Latn reference (raw_entropy, t_2.5034, t_upper_bound): pps=22.9659	bpp=10.9354
