Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.2481   28.7111  9.2220   1.3561       1.2530      0.3560       -1.1393          0.1253            1.4805
tha_Thai  1.2153   27.9559  8.6300   1.3999       1.3010      0.2349       -1.3207          0.0865            1.5417
deu_Latn  1.1342   26.0903  11.2685  1.3121       1.1212      0.6074       -0.5916          0.1582            1.3740
spa_Latn  1.0956   25.2016  11.8751  1.2795       0.9851      0.5158       -0.8040          0.1536            1.2914
fra_Latn  1.0535   24.2337  12.3165  1.2452       0.9978      0.6109       -0.2756          0.2139            1.2525
ron_Latn  1.0317   23.7322  11.9219  1.3607       1.0058      0.4972       -0.5121          0.1814            1.2832
eng_Latn  1.0000   23.0030  10.9178  1.3559       1.0888      0.4996       -0.7893          0.1647            1.3486
ita_Latn  0.9956   22.9017  12.8840  1.3242       0.9163      0.4687       -0.7202          0.1919            1.2170
srp_Cyrl  0.9550   21.9679  11.3693  1.3580       1.0027      0.5898       -0.4499          0.1178            1.3301
kat_Geor  0.9330   21.4614  12.8937  1.2003       1.0143      0.6256       -0.5871          0.2625            1.2231
hrv_Latn  0.9166   21.0853  11.7847  1.4989       0.9887      0.4446       -0.5203          0.1850            1.2694
arb_Arab  0.8694   19.9990  11.0912  1.6035       0.9853      0.1918       -0.4419          0.1995            1.2560
nya_Latn  0.8397   19.3159  14.6912  1.2172       0.8756      0.5256       -0.6504          0.3140            1.0961
fin_Latn  0.8384   19.2849  13.9320  1.3837       0.8536      0.4310       -0.5376          0.2280            1.1481
tam_Taml  0.8302   19.0963  15.3504  1.1709       0.8819      0.5432       -0.5969          0.3597            1.0627
amh_Ethi  0.8133   18.7081  9.1277   1.9497       1.7705      0.2553       -1.0727          0.2156            1.6665
kor_Hang  0.7021   16.1515  7.8260   2.6704       2.8885      0.0154       -1.1754          0.1034            2.2758
heb_Hebr  0.6557   15.0822  12.9681  1.6995       0.9406      -0.0094      -0.7682          0.3082            1.1408
jpn_Jpan  0.5980   13.7553  7.9711   3.0258       2.6521      -0.0462      -0.7719          0.3783            1.8159
cmn_Hans  0.4260   9.7994   8.6344   4.7586       2.2663      -0.4628      0.4013           0.4064            1.6404

# eng_Latn reference (raw_monotonicity, t_1.3157, t_upper_bound): pps=23.0030	bpp=10.9178
