Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
cmn_Hans  1.6178   37.2056  3.1610   4.7195       3.3583      -0.1720      -0.9043          0.2466            2.2494
amh_Ethi  1.5622   35.9268  6.0972   1.9713       2.0300      0.1599       -1.2523          0.0674            1.9458
jpn_Jpan  1.5557   35.7753  4.4872   3.1553       2.8854      0.2954       -0.5112          0.2569            2.0708
heb_Hebr  1.5333   35.2618  4.9626   1.6815       1.0682      -0.2952      -1.3247          0.1460            1.3507
kor_Hang  1.3354   30.7101  4.9291   2.6893       2.7105      0.5430       -0.7350          0.0822            2.2306
vie_Latn  1.2728   29.2698  5.9906   1.3120       1.0512      0.4500       -0.9123          -0.0047           1.4533
tha_Thai  1.2640   29.0682  11.9562  1.4961       1.2891      0.4896       -0.9251          0.0658            1.5520
arb_Arab  1.2123   27.8786  7.2163   1.5957       0.8682      0.2719       -1.1197          0.2019            1.1772
kat_Geor  1.1544   26.5466  14.0801  1.2394       1.0383      0.5206       -0.9135          0.1321            1.3424
spa_Latn  1.1045   25.3992  6.0055   1.1896       0.9786      0.6389       -0.6425          0.1483            1.2911
deu_Latn  1.0994   25.2818  5.9088   1.2395       1.1203      0.6985       -0.4832          0.1395            1.3885
tam_Taml  1.0946   25.1715  15.8910  1.2147       0.8987      0.4131       -0.9762          0.2034            1.1966
hrv_Latn  1.0710   24.6299  5.1771   1.4079       0.9816      0.4421       -0.7346          0.1838            1.2658
ron_Latn  1.0623   24.4303  6.1131   1.2441       0.9821      0.5688       -0.6497          0.1904            1.2610
fra_Latn  1.0354   23.8104  6.5114   1.1611       0.9535      0.6048       -0.6836          0.2079            1.2290
ita_Latn  1.0289   23.6610  6.2818   1.2123       0.9065      0.5647       -0.6625          0.2040            1.2013
eng_Latn  1.0000   22.9970  5.4645   1.2734       1.0407      0.5764       -0.6906          0.1589            1.3231
srp_Cyrl  0.9026   20.7573  10.9415  1.3636       0.8910      0.6457       -0.3982          0.0938            1.2708
fin_Latn  0.8644   19.8776  7.0222   1.3269       0.8623      0.4695       -0.5380          0.2276            1.1541
nya_Latn  0.7649   17.5898  8.0845   1.1200       0.8640      0.6449       -0.4462          0.3106            1.0914

# eng_Latn reference (raw_entropy, t_2.4014, t_upper_bound): pps=22.9970	bpp=5.4645
