Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.2723   29.2487  5.9950   1.3120       1.0512      0.4500       -0.9123          -0.0047           1.4533
deu_Latn  1.1529   26.5045  5.6362   1.2395       1.1203      0.6985       -0.4832          0.1395            1.3885
tha_Thai  1.1241   25.8415  13.4491  1.4961       1.2891      0.4896       -0.9251          0.0658            1.5520
kat_Geor  1.1108   25.5356  14.6376  1.2394       1.0383      0.5206       -0.9135          0.1321            1.3424
spa_Latn  1.0967   25.2126  6.0500   1.1896       0.9786      0.6389       -0.6425          0.1483            1.2911
fra_Latn  1.0647   24.4754  6.3344   1.1611       0.9535      0.6048       -0.6836          0.2079            1.2290
tam_Taml  1.0275   23.6219  16.9335  1.2147       0.8987      0.4131       -0.9762          0.2034            1.1966
ron_Latn  1.0192   23.4293  6.3742   1.2441       0.9821      0.5688       -0.6497          0.1904            1.2610
eng_Latn  1.0000   22.9890  5.4664   1.2734       1.0407      0.5764       -0.6906          0.1589            1.3231
ita_Latn  0.9984   22.9529  6.4756   1.2123       0.9065      0.5647       -0.6625          0.2040            1.2013
srp_Cyrl  0.9575   22.0130  10.3174  1.3636       0.8910      0.6457       -0.3982          0.0938            1.2708
hrv_Latn  0.9383   21.5697  5.9116   1.4079       0.9816      0.4421       -0.7346          0.1838            1.2658
arb_Arab  0.9004   20.7001  9.7188   1.5957       0.8682      0.2719       -1.1197          0.2019            1.1772
amh_Ethi  0.8888   20.4333  10.7204  1.9713       2.0300      0.1599       -1.2523          0.0674            1.9458
fin_Latn  0.8792   20.2116  6.9061   1.3269       0.8623      0.4695       -0.5380          0.2276            1.1541
nya_Latn  0.8509   19.5617  7.2695   1.1200       0.8640      0.6449       -0.4462          0.3106            1.0914
heb_Hebr  0.8306   19.0943  9.1645   1.6815       1.0682      -0.2952      -1.3247          0.1460            1.3507
kor_Hang  0.7202   16.5577  9.1421   2.6893       2.7105      0.5430       -0.7350          0.0822            2.2306
jpn_Jpan  0.6849   15.7442  10.1961  3.1553       2.8854      0.2954       -0.5112          0.2569            2.0708
cmn_Hans  0.5661   13.0140  9.0369   4.7195       3.3583      -0.1720      -0.9043          0.2466            2.2494

# eng_Latn reference (raw_monotonicity, t_1.2639, t_upper_bound): pps=22.9890	bpp=5.4664
