Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
tam_Taml  5.5820   128.1334  3.1218  2.8098       1.1149      -1.0690      3.7021           0.0176            1.4800
kat_Geor  5.2875   121.3741  3.0796  3.6995       1.9793      0.3800       2.9016           0.3058            1.6577
srp_Cyrl  4.6203   106.0582  2.1414  4.3005       2.3751      -0.5760      0.4776           -0.1178           2.3042
tha_Thai  3.9130   89.8215   3.8693  2.8547       1.1075      -0.2620      -0.0889          0.1211            1.3953
nya_Latn  3.8038   87.3159   1.6286  2.3174       0.5496      -0.5392      0.6631           0.1585            0.9617
heb_Hebr  3.4522   79.2447   2.2082  2.9307       1.7704      -1.3236      0.1508           -0.0548           1.9325
amh_Ethi  3.4143   78.3741   2.7950  7.1762       7.1415      -1.0460      -0.3010          -0.0166           3.8106
arb_Arab  3.1433   72.1545   2.7882  2.3450       0.8987      -0.4468      -1.0070          0.0449            1.3102
hrv_Latn  2.9082   66.7583   1.9101  2.2713       0.5986      0.0785       1.5840           0.0936            1.0417
ron_Latn  2.1660   49.7202   3.0037  1.9007       0.8156      0.1440       0.1563           0.1327            1.1894
vie_Latn  2.0881   47.9318   3.6582  1.8225       1.1964      0.3854       -0.3149          -0.1548           1.6623
kor_Hang  1.9821   45.4995   3.3269  4.1733       4.4065      -0.1776      -1.3353          -0.0029           2.9730
jpn_Jpan  1.9764   45.3691   3.5383  3.8035       2.8772      0.2481       -0.3577          0.3345            1.9569
fin_Latn  1.9485   44.7282   3.1207  1.8977       0.6659      0.1343       0.1196           0.1010            1.0942
cmn_Hans  1.7376   39.8867   2.9485  5.3624       3.7674      -0.4540      -0.7181          0.3560            2.2027
ita_Latn  1.5064   34.5797   4.2983  1.5252       0.7951      0.2551       -0.6370          0.1684            1.1499
spa_Latn  1.4716   33.7803   4.5155  1.3747       0.9248      0.4444       -0.6982          0.1250            1.2722
fra_Latn  1.4538   33.3711   4.6459  1.4002       0.9134      0.3938       -0.5893          0.1926            1.2145
deu_Latn  1.4395   33.0431   4.5209  1.4223       1.0455      0.5215       -0.5327          0.1258            1.3520
eng_Latn  1.0000   22.9549   5.4745  1.0883       1.0239      0.7498       -0.5409          0.1821            1.2942

# eng_Latn reference (raw_entropy, t_2.2134, t_upper_bound): pps=22.9549	bpp=5.4745
