Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.6597   38.1324  4.5983   1.8225       1.1964      0.3854       -0.3149          -0.1548           1.6623
srp_Cyrl  1.4375   33.0271  6.8767   4.3005       2.3751      -0.5760      0.4776           -0.1178           2.3042
deu_Latn  1.2868   29.5647  5.0528   1.4223       1.0455      0.5215       -0.5327          0.1258            1.3520
amh_Ethi  1.2266   28.1805  7.7732   7.1762       7.1415      -1.0460      -0.3010          -0.0166           3.8106
spa_Latn  1.1999   27.5677  5.5331   1.3747       0.9248      0.4444       -0.6982          0.1250            1.2722
fra_Latn  1.1724   26.9368  5.7556   1.4002       0.9134      0.3938       -0.5893          0.1926            1.2145
arb_Arab  1.0837   24.8987  8.0799   2.3450       0.8987      -0.4468      -1.0070          0.0449            1.3102
ron_Latn  1.0716   24.6199  6.0660   1.9007       0.8156      0.1440       0.1563           0.1327            1.1894
ita_Latn  1.0613   24.3842  6.0955   1.5252       0.7951      0.2551       -0.6370          0.1684            1.1499
tha_Thai  1.0035   23.0542  15.0751  2.8547       1.1075      -0.2620      -0.0889          0.1211            1.3953
eng_Latn  1.0000   22.9749  5.4697   1.0883       1.0239      0.7498       -0.5409          0.1821            1.2942
kat_Geor  0.9759   22.4213  16.6708  3.6995       1.9793      0.3800       2.9016           0.3058            1.6577
fin_Latn  0.8755   20.1143  6.9395   1.8977       0.6659      0.1343       0.1196           0.1010            1.0942
kor_Hang  0.8484   19.4915  7.7661   4.1733       4.4065      -0.1776      -1.3353          -0.0029           2.9730
heb_Hebr  0.7905   18.1625  9.6346   2.9307       1.7704      -1.3236      0.1508           -0.0548           1.9325
tam_Taml  0.7707   17.7061  22.5911  2.8098       1.1149      -1.0690      3.7021           0.0176            1.4800
hrv_Latn  0.7385   16.9679  7.5149   2.2713       0.5986      0.0785       1.5840           0.0936            1.0417
jpn_Jpan  0.6897   15.8455  10.1309  3.8035       2.8772      0.2481       -0.3577          0.3345            1.9569
nya_Latn  0.6628   15.2267  9.3391   2.3174       0.5496      -0.5392      0.6631           0.1585            0.9617
cmn_Hans  0.5709   13.1174  8.9657   5.3624       3.7674      -0.4540      -0.7181          0.3560            2.2027

# eng_Latn reference (raw_monotonicity, t_1.1486, t_upper_bound): pps=22.9749	bpp=5.4697
