Language  Premium  PPS      BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.3723   45.0171  5.8816  0.6781       1.0269      1.3161       0.2881           -0.3796           1.6833
cmn_Hans  1.3617   44.6670  1.8943  2.3793       3.0629      0.0901       -1.4547          -0.5768           3.1080
arb_Arab  1.3163   43.1795  5.1370  0.8017       0.9955      0.9394       -0.6065          -0.4942           1.7248
heb_Hebr  1.3161   43.1725  4.5304  0.8497       1.0971      0.8489       -0.7852          -0.5711           1.8567
tha_Thai  1.2706   41.6810  5.7882  0.6999       1.0716      1.2526       0.0887           -0.3795           1.7195
amh_Ethi  1.1839   38.8365  4.3970  0.9748       1.6055      1.1122       -0.1994          -0.4337           2.1456
kor_Hang  1.1780   38.6439  3.2709  1.3352       2.4514      1.0009       -0.3006          -0.3564           2.5788
jpn_Jpan  1.1270   36.9699  2.9658  1.5129       2.4909      0.7702       -0.6797          -0.3865           2.6282
spa_Latn  1.1036   36.2006  8.2670  0.6397       0.8771      1.3906       0.7740           -0.4361           1.5872
ron_Latn  1.0958   35.9458  7.8711  0.6803       0.9307      1.3145       0.5906           -0.4576           1.6472
ita_Latn  1.0894   35.7372  8.2565  0.6621       0.8731      1.3087       0.5992           -0.4730           1.6037
deu_Latn  1.0792   35.4022  8.3045  0.6561       0.9530      1.4971       1.2324           -0.4008           1.6340
hrv_Latn  1.0679   35.0321  7.0930  0.7494       1.0075      1.2103       0.3656           -0.5034           1.7405
fra_Latn  1.0425   34.1986  8.7277  0.6226       0.8492      1.4120       0.8781           -0.4117           1.5485
nya_Latn  1.0274   33.7031  8.4199  0.6086       0.7830      1.3858       0.8411           -0.4386           1.5010
tam_Taml  1.0009   32.8325  8.9282  0.5854       0.7546      1.3891       0.7653           -0.4168           1.4623
eng_Latn  1.0000   32.8034  7.6560  0.6780       0.9735      1.3851       0.7900           -0.4377           1.6731
fin_Latn  0.9718   31.8786  8.4281  0.6919       0.8801      1.2118       0.3999           -0.5156           1.6334
srp_Cyrl  0.9540   31.2949  7.9808  0.6790       0.9192      1.3521       0.7578           -0.4556           1.6358
kat_Geor  0.9329   30.6038  9.0419  0.6001       0.8257      1.5011       1.1545           -0.3815           1.5104

# eng_Latn reference (raw_entropy, t_2.0176, t_anchor): pps=32.8034	bpp=7.6560
