Language  Premium  PPS      BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.3420   43.9278  6.0275  0.6781       1.0269      1.3161       0.2881           -0.3796           1.6833
heb_Hebr  1.2764   41.7803  4.6814  0.8497       1.0971      0.8489       -0.7852          -0.5711           1.8567
tha_Thai  1.2335   40.3781  5.9750  0.6999       1.0716      1.2526       0.0887           -0.3795           1.7195
arb_Arab  1.2153   39.7823  5.5757  0.8017       0.9955      0.9394       -0.6065          -0.4942           1.7248
amh_Ethi  1.1157   36.5226  4.6755  0.9748       1.6055      1.1122       -0.1994          -0.4337           2.1456
spa_Latn  1.0901   35.6820  8.3872  0.6397       0.8771      1.3906       0.7740           -0.4361           1.5872
ron_Latn  1.0819   35.4142  7.9892  0.6803       0.9307      1.3145       0.5906           -0.4576           1.6472
ita_Latn  1.0786   35.3079  8.3569  0.6621       0.8731      1.3087       0.5992           -0.4730           1.6037
deu_Latn  1.0594   34.6780  8.4779  0.6561       0.9530      1.4971       1.2324           -0.4008           1.6340
hrv_Latn  1.0402   34.0491  7.2978  0.7494       1.0075      1.2103       0.3656           -0.5034           1.7405
nya_Latn  1.0158   33.2528  8.5339  0.6086       0.7830      1.3858       0.8411           -0.4386           1.5010
fra_Latn  1.0139   33.1886  8.9933  0.6226       0.8492      1.4120       0.8781           -0.4117           1.5485
eng_Latn  1.0000   32.7342  7.6721  0.6780       0.9735      1.3851       0.7900           -0.4377           1.6731
tam_Taml  0.9911   32.4413  9.0359  0.5854       0.7546      1.3891       0.7653           -0.4168           1.4623
kor_Hang  0.9740   31.8847  3.9643  1.3352       2.4514      1.0009       -0.3006          -0.3564           2.5788
fin_Latn  0.9490   31.0662  8.6485  0.6919       0.8801      1.2118       0.3999           -0.5156           1.6334
cmn_Hans  0.9475   31.0150  2.7281  2.3793       3.0629      0.0901       -1.4547          -0.5768           3.1080
srp_Cyrl  0.9407   30.7924  8.1111  0.6790       0.9192      1.3521       0.7578           -0.4556           1.6358
kat_Geor  0.9328   30.5336  9.0627  0.6001       0.8257      1.5011       1.1545           -0.3815           1.5104
jpn_Jpan  0.9095   29.7703  3.6830  1.5129       2.4909      0.7702       -0.6797          -0.3865           2.6282

# eng_Latn reference (raw_monotonicity, t_2.0371, t_anchor): pps=32.7342	bpp=7.6721
