Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
cmn_Hans  1.4359   47.0000  2.5023   1.6977       0.9376      0.0188       -0.6189          0.1144            1.2887
heb_Hebr  1.3597   44.5065  3.9318   0.9397       1.0499      0.7163       -1.0760          -0.5683           1.8146
deu_Latn  1.0983   35.9488  4.1555   1.2197       1.1094      0.7183       -0.4670          0.1435            1.3786
hrv_Latn  1.0914   35.7232  3.5695   1.3718       0.9873      0.4644       -0.7465          0.1913            1.2637
ron_Latn  1.0728   35.1143  4.2531   1.1785       0.9862      0.6011       -0.7024          0.2076            1.2502
spa_Latn  1.0603   34.7051  4.3952   1.1670       0.9697      0.6544       -0.6474          0.1558            1.2796
ita_Latn  1.0483   34.3139  4.3316   1.2034       0.9079      0.5715       -0.6592          0.2041            1.2021
fra_Latn  1.0252   33.5567  4.6202   1.1177       0.9373      0.6412       -0.6562          0.2015            1.2234
fin_Latn  1.0150   33.2227  4.2015   1.2771       0.8716      0.4791       -0.5946          0.2399            1.1511
nya_Latn  1.0049   32.8927  4.3233   1.1175       0.8585      0.6255       -0.5559          0.3075            1.0904
eng_Latn  1.0000   32.7322  3.8392   1.2724       1.0397      0.5747       -0.7007          0.1582            1.3231
vie_Latn  0.9812   32.1153  5.4599   0.9906       0.9049      0.8695       -0.3379          0.0820            1.2889
kat_Geor  0.9764   31.9609  11.6949  0.4588       0.6353      1.9131       2.6736           -0.1938           1.2316
tha_Thai  0.9661   31.6219  10.9906  0.5193       0.6116      1.8363       2.5044           -0.0630           1.1403
jpn_Jpan  0.9148   29.9418  5.3614   1.0776       0.8604      0.8040       -0.0783          0.2178            1.1601
tam_Taml  0.8149   26.6720  14.9970  0.4451       0.4601      1.9074       2.9577           -0.1638           1.0348
kor_Hang  0.7629   24.9699  6.0622   1.1228       0.7460      0.6376       -0.1882          0.2439            1.0621
arb_Arab  0.7039   23.0411  8.7313   0.8797       0.5008      0.9342       0.0407           -0.0613           1.0310
srp_Cyrl  0.5841   19.1204  11.8782  0.7498       0.4929      1.3491       1.5876           0.0180            0.9839
amh_Ethi  0.5296   17.3350  12.6365  0.7684       0.5794      0.8424       -0.1115          0.0404            1.0545

# eng_Latn reference (raw_entropy, t_1.9458, t_anchor): pps=32.7322	bpp=3.8392
