Language  Premium  PPS      BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
kat_Geor  2.3738   77.7242  4.8090  0.4588       0.6353      1.9131       2.6736           -0.1938           1.2316
tam_Taml  2.1702   71.0572  5.6293  0.4451       0.4601      1.9074       2.9577           -0.1638           1.0348
heb_Hebr  2.0032   65.5898  2.6679  0.9397       1.0499      0.7163       -1.0760          -0.5683           1.8146
tha_Thai  1.9960   65.3531  5.3180  0.5193       0.6116      1.8363       2.5044           -0.0630           1.1403
amh_Ethi  1.9091   62.5065  3.5045  0.7684       0.5794      0.8424       -0.1115          0.0404            1.0545
arb_Arab  1.6273   53.2828  3.7757  0.8797       0.5008      0.9342       0.0407           -0.0613           1.0310
srp_Cyrl  1.5954   52.2357  4.3479  0.7498       0.4929      1.3491       1.5876           0.0180            0.9839
jpn_Jpan  1.3655   44.7091  3.5905  1.0776       0.8604      0.8040       -0.0783          0.2178            1.1601
kor_Hang  1.3589   44.4935  3.4021  1.1228       0.7460      0.6376       -0.1882          0.2439            1.0621
vie_Latn  1.2965   42.4504  4.1306  0.9906       0.9049      0.8695       -0.3379          0.0820            1.2889
cmn_Hans  1.2914   42.2849  2.7813  1.6977       0.9376      0.0188       -0.6189          0.1144            1.2887
deu_Latn  1.1978   39.2187  3.8090  1.2197       1.1094      0.7183       -0.4670          0.1435            1.3786
nya_Latn  1.1485   37.6058  3.7814  1.1175       0.8585      0.6255       -0.5559          0.3075            1.0904
spa_Latn  1.1462   37.5306  4.0643  1.1670       0.9697      0.6544       -0.6474          0.1558            1.2796
fra_Latn  1.1411   37.3621  4.1496  1.1177       0.9373      0.6412       -0.6562          0.2015            1.2234
ron_Latn  1.1410   37.3591  3.9975  1.1785       0.9862      0.6011       -0.7024          0.2076            1.2502
ita_Latn  1.0887   35.6469  4.1696  1.2034       0.9079      0.5715       -0.6592          0.2041            1.2021
fin_Latn  1.0606   34.7272  4.0194  1.2771       0.8716      0.4791       -0.5946          0.2399            1.1511
hrv_Latn  1.0506   34.3982  3.7070  1.3718       0.9873      0.4644       -0.7465          0.1913            1.2637
eng_Latn  1.0000   32.7422  3.8381  1.2724       1.0397      0.5747       -0.7007          0.1582            1.3231

# eng_Latn reference (raw_monotonicity, t_0.6664, t_anchor): pps=32.7422	bpp=3.8381
