Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
amh_Ethi  5.7097   186.6921  1.1733  2.7971       0.7736      -0.4933      -0.8052          -0.1665           1.3434
kat_Geor  4.0427   132.1846  2.8277  1.3694       1.9535      0.5694       -1.4568          -0.4103           2.3474
srp_Cyrl  3.8369   125.4554  1.8103  2.3646       1.5654      -0.0448      -1.7470          -0.6842           2.2962
nya_Latn  3.5355   115.5998  1.2301  2.3123       0.5504      -0.6023      0.4802           0.1607            0.9612
tam_Taml  3.2064   104.8385  3.8154  1.0296       0.9266      0.7842       -0.8247          -0.4460           1.6370
hrv_Latn  3.0177   98.6690   1.2923  2.2131       0.5256      -0.3455      0.2096           0.0804            0.9832
tha_Thai  2.6464   86.5286   4.0165  0.9909       1.1738      1.1388       -0.2451          -0.3408           1.7742
ron_Latn  2.4998   81.7372   1.8271  1.8004       0.7836      -0.0710      -0.5917          0.1168            1.1765
heb_Hebr  2.4388   79.7422   2.1944  1.6378       1.5518      0.1202       -1.8717          -0.7842           2.3532
fin_Latn  2.4356   79.6369   1.7528  1.8263       0.6869      -0.0217      -0.2302          0.1402            1.0868
cmn_Hans  2.2210   72.6199   1.6195  1.9290       0.8844      -0.1378      -0.4529          0.0927            1.2668
kor_Hang  1.9470   63.6620   2.3777  1.7424       0.7243      0.1995       -0.5579          0.0416            1.1782
arb_Arab  1.8729   61.2377   3.2852  1.2928       0.4725      0.5239       -0.6872          -0.3667           1.1365
ita_Latn  1.7425   56.9739   2.6088  1.5139       0.7974      0.2478       -0.6839          0.1650            1.1540
vie_Latn  1.7407   56.9168   3.0807  1.3760       0.8855      0.4377       -0.8109          -0.0099           1.3374
fra_Latn  1.5646   51.1565   3.0307  1.3478       0.8843      0.3596       -0.8204          0.1848            1.2007
jpn_Jpan  1.5322   50.0983   3.2043  1.2989       0.8976      0.6057       -0.4848          0.1327            1.2478
deu_Latn  1.5166   49.5888   3.0125  1.3996       1.0343      0.5344       -0.5527          0.1303            1.3413
spa_Latn  1.5017   49.1013   3.1065  1.3485       0.9081      0.4388       -0.7899          0.1339            1.2542
eng_Latn  1.0000   32.6971   3.8434  1.0874       1.0221      0.7462       -0.5605          0.1813            1.2937

# eng_Latn reference (raw_entropy, t_1.7510, t_anchor): pps=32.6971	bpp=3.8434
