Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
tam_Taml  4.3239   141.9037  2.8188  1.0296       0.9266      0.7842       -0.8247          -0.4460           1.6370
kat_Geor  3.9435   129.4183  2.8882  1.3694       1.9535      0.5694       -1.4568          -0.4103           2.3474
tha_Thai  3.2759   107.5105  3.2327  0.9909       1.1738      1.1388       -0.2451          -0.3408           1.7742
srp_Cyrl  3.0520   100.1605  2.2675  2.3646       1.5654      -0.0448      -1.7470          -0.6842           2.2962
heb_Hebr  2.4098   79.0873   2.2126  1.6378       1.5518      0.1202       -1.8717          -0.7842           2.3532
amh_Ethi  2.3086   75.7653   2.8912  2.7971       0.7736      -0.4933      -0.8052          -0.1665           1.3434
arb_Arab  2.2738   74.6219   2.6960  1.2928       0.4725      0.5239       -0.6872          -0.3667           1.1365
jpn_Jpan  1.6463   54.0291   2.9712  1.2989       0.8976      0.6057       -0.4848          0.1327            1.2478
kor_Hang  1.6368   53.7182   2.8179  1.7424       0.7243      0.1995       -0.5579          0.0416            1.1782
vie_Latn  1.6259   53.3611   3.2860  1.3760       0.8855      0.4377       -0.8109          -0.0099           1.3374
cmn_Hans  1.3987   45.9037   2.5620  1.9290       0.8844      -0.1378      -0.4529          0.0927            1.2668
ron_Latn  1.3978   45.8746   3.2555  1.8004       0.7836      -0.0710      -0.5917          0.1168            1.1765
deu_Latn  1.3714   45.0070   3.3191  1.3996       1.0343      0.5344       -0.5527          0.1303            1.3413
fra_Latn  1.3523   44.3811   3.4933  1.3478       0.8843      0.3596       -0.8204          0.1848            1.2007
spa_Latn  1.3330   43.7472   3.4867  1.3485       0.9081      0.4388       -0.7899          0.1339            1.2542
ita_Latn  1.2923   42.4112   3.5046  1.5139       0.7974      0.2478       -0.6839          0.1650            1.1540
fin_Latn  1.2316   40.4203   3.4533  1.8263       0.6869      -0.0217      -0.2302          0.1402            1.0868
nya_Latn  1.2184   39.9850   3.5564  2.3123       0.5504      -0.6023      0.4802           0.1607            0.9612
hrv_Latn  1.1750   38.5607   3.3068  2.2131       0.5256      -0.3455      0.2096           0.0804            0.9832
eng_Latn  1.0000   32.8185   3.8292  1.0874       1.0221      0.7462       -0.5605          0.1813            1.2937

# eng_Latn reference (raw_monotonicity, t_0.5531, t_anchor): pps=32.8185	bpp=3.8292
