Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
tam_Taml  5.0040   163.9478  2.4398  0.9420       0.8825      0.9868       -0.3462          -0.4326           1.5901
amh_Ethi  4.0118   131.4393  1.6666  1.8403       1.4211      0.2600       -1.2062          -0.2698           1.8998
tha_Thai  3.8641   126.6008  2.7452  1.0855       1.2734      0.9295       -0.7394          -0.3830           1.8768
kat_Geor  3.7432   122.6399  3.0478  1.0252       1.4203      0.7729       -1.0954          -0.4191           2.0078
arb_Arab  2.5685   84.1535   2.3906  1.4220       0.4727      0.2610       -0.8248          -0.3061           1.1112
srp_Cyrl  2.5643   84.0150   2.7033  0.9227       0.5412      1.0944       0.8799           0.0327            1.0233
heb_Hebr  2.4651   80.7633   2.1667  1.5414       1.3086      0.0834       -1.6976          -0.7878           2.1631
jpn_Jpan  1.8668   61.1635   2.6246  1.1858       0.9391      0.7138       -0.2931          0.2205            1.2099
kor_Hang  1.8205   59.6469   2.5378  1.3217       0.8134      0.4488       -0.5038          0.2394            1.1123
nya_Latn  1.6368   53.6259   2.6518  2.1927       0.6108      -0.5292      0.4067           0.2042            0.9860
vie_Latn  1.6285   53.3561   3.2863  1.1031       0.9569      0.7796       -0.4069          0.0860            1.3225
cmn_Hans  1.5510   50.8154   2.3144  1.7606       1.0237      -0.0501      -0.7676          0.1488            1.3201
ron_Latn  1.5225   49.8837   2.9938  1.4375       1.0281      0.3213       -0.8621          0.2398            1.2503
fin_Latn  1.4705   48.1795   2.8972  1.6024       0.8576      0.1382       -0.6255          0.2446            1.1382
spa_Latn  1.4381   47.1174   3.2374  1.1121       0.9784      0.7064       -0.5953          0.1998            1.2513
ita_Latn  1.4119   46.2598   3.2130  1.1999       0.9214      0.5707       -0.6309          0.2375            1.1854
deu_Latn  1.4091   46.1665   3.2358  1.1592       1.1120      0.7765       -0.4131          0.1699            1.3587
hrv_Latn  1.3926   45.6249   2.7948  1.7297       0.8866      0.1448       -0.6617          0.1772            1.2079
fra_Latn  1.3833   45.3210   3.4209  1.0405       0.9343      0.7433       -0.4993          0.2463            1.1868
eng_Latn  1.0000   32.7633   3.8356  0.8154       0.9091      1.1148       0.1349           0.1933            1.2111

# eng_Latn reference (raw_monotonicity, t_0.3662, t_anchor): pps=32.7633	bpp=3.8356
