Language  Premium  PPS       BPP
tam_Taml  5.2695   172.9428  2.3129
amh_Ethi  4.0293   132.2387  1.6565
tha_Thai  3.9163   128.5296  2.7040
kat_Geor  3.7503   123.0832  3.0368
srp_Cyrl  2.7423   90.0020   2.5235
arb_Arab  2.7212   89.3079   2.2527
heb_Hebr  2.4823   81.4674   2.1480
kor_Hang  1.9296   63.3300   2.3902
jpn_Jpan  1.9253   63.1866   2.5406
nya_Latn  1.8016   59.1284   2.4050
vie_Latn  1.6719   54.8706   3.1956
cmn_Hans  1.6004   52.5236   2.2391
ron_Latn  1.5985   52.4604   2.8468
fin_Latn  1.5833   51.9629   2.6862
hrv_Latn  1.4982   49.1705   2.5933
ita_Latn  1.4828   48.6650   3.0542
spa_Latn  1.4817   48.6289   3.1367
deu_Latn  1.4485   47.5396   3.1423
fra_Latn  1.3970   45.8485   3.3815
eng_Latn  1.0000   32.8195   3.8290

# eng_Latn reference (combined, t_0.2578, t_anchor): pps=32.8195	bpp=3.8290
