Language  Premium  PPS       BPP
kat_Geor  3.5347   115.9639  3.2232
tha_Thai  3.0710   100.7503  3.4496
tam_Taml  3.0039   98.5486   4.0589
heb_Hebr  2.2925   75.2116   2.3266
arb_Arab  2.0656   67.7673   2.9687
amh_Ethi  2.0321   66.6670   3.2858
srp_Cyrl  1.6762   54.9920   4.1300
vie_Latn  1.4756   48.4092   3.6221
jpn_Jpan  1.4255   46.7683   3.4324
ron_Latn  1.3730   45.0461   3.3154
nya_Latn  1.3530   44.3872   3.2037
fra_Latn  1.3397   43.9519   3.5275
spa_Latn  1.3136   43.0963   3.5394
fin_Latn  1.2960   42.5196   3.2828
ita_Latn  1.2869   42.2197   3.5205
deu_Latn  1.2487   40.9659   3.6465
kor_Hang  1.2315   40.4032   3.7465
hrv_Latn  1.1515   37.7763   3.3755
cmn_Hans  1.0409   34.1484   3.4440
eng_Latn  1.0000   32.8074   3.8304

# eng_Latn reference (norm_entropy, t_0.5293, t_anchor): pps=32.8074	bpp=3.8304
