Language  Premium  PPS      BPP
heb_Hebr  1.6887   55.4072  3.1582
cmn_Hans  1.4917   48.9418  2.4030
tha_Thai  1.4580   47.8375  7.2651
amh_Ethi  1.4385   47.1966  4.6413
kat_Geor  1.4136   46.3801  8.0590
arb_Arab  1.4005   45.9519  4.3781
tam_Taml  1.3656   44.8064  8.9273
jpn_Jpan  1.2074   39.6158  4.0522
kor_Hang  1.1513   37.7733  4.0074
vie_Latn  1.1459   37.5988  4.6636
deu_Latn  1.1284   37.0231  4.0349
ita_Latn  1.1130   36.5165  4.0703
spa_Latn  1.1016   36.1424  4.2204
hrv_Latn  1.0802   35.4413  3.5978
nya_Latn  1.0683   35.0522  4.0569
fin_Latn  1.0632   34.8837  4.0014
ron_Latn  1.0590   34.7462  4.2981
fra_Latn  1.0531   34.5537  4.4869
srp_Cyrl  1.0086   33.0913  6.8633
eng_Latn  1.0000   32.8104  3.8301

# eng_Latn reference (combined, t_0.2812, t_anchor): pps=32.8104	bpp=3.8301
