Language  Premium  PPS      BPP
cmn_Hans  1.3990   45.8205  2.5667
heb_Hebr  1.3532   44.3200  3.9483
hrv_Latn  1.0760   35.2407  3.6183
ita_Latn  1.0625   34.7984  4.2713
deu_Latn  1.0586   34.6690  4.3089
ron_Latn  1.0569   34.6158  4.3143
spa_Latn  1.0497   34.3781  4.4370
fra_Latn  1.0183   33.3521  4.6485
eng_Latn  1.0000   32.7513  3.8370
nya_Latn  0.9814   32.1424  4.4242
fin_Latn  0.9677   31.6921  4.4044
tha_Thai  0.9647   31.5948  11.0001
kat_Geor  0.9624   31.5206  11.8583
vie_Latn  0.9562   31.3180  5.5989
jpn_Jpan  0.9033   29.5858  5.4259
tam_Taml  0.8178   26.7854  14.9336
kor_Hang  0.7474   24.4794  6.1836
arb_Arab  0.6952   22.7693  8.8356
srp_Cyrl  0.5661   18.5396  12.2503
amh_Ethi  0.5170   16.9338  12.9359

# eng_Latn reference (raw_entropy, t_1.9355, t_anchor): pps=32.7513	bpp=3.8370
