Language  Premium  PPS      BPP
kat_Geor  2.6495   86.5186  4.3202
tha_Thai  1.8279   59.6911  5.8224
srp_Cyrl  1.6693   54.5125  4.1663
amh_Ethi  1.6357   53.4152  4.1009
arb_Arab  1.5842   51.7332  3.8888
tam_Taml  1.4776   48.2497  8.2902
vie_Latn  1.4107   46.0672  3.8063
heb_Hebr  1.4028   45.8084  3.8200
kor_Hang  1.2956   42.3079  3.5779
jpn_Jpan  1.2519   40.8806  3.9268
ron_Latn  1.2403   40.5015  3.6874
deu_Latn  1.2296   40.1525  3.7204
spa_Latn  1.1560   37.7482  4.0409
ita_Latn  1.1501   37.5557  3.9577
fra_Latn  1.1475   37.4704  4.1376
fin_Latn  1.0556   34.4704  4.0494
nya_Latn  1.0544   34.4323  4.1299
eng_Latn  1.0000   32.6550  3.8483
hrv_Latn  0.9931   32.4293  3.9320
cmn_Hans  0.8646   28.2347  4.1653

# eng_Latn reference (combined, t_0.4629, t_anchor): pps=32.6550	bpp=3.8483
