Language  Premium  PPS       BPP
tha_Thai  5.0589   310.9870  1.1176
kat_Geor  4.1016   252.1384  1.4824
srp_Cyrl  2.3736   145.9137  1.5565
heb_Hebr  1.6404   100.8395  1.7353
vie_Latn  1.5415   94.7633   1.8503
kor_Hang  1.3977   85.9208   1.7618
amh_Ethi  1.3524   83.1374   2.6348
jpn_Jpan  1.3327   81.9248   1.9595
arb_Arab  1.3250   81.4504   2.4700
ron_Latn  1.2964   79.6961   1.8739
deu_Latn  1.2777   78.5476   1.9018
ita_Latn  1.1861   72.9147   2.0385
fra_Latn  1.1439   70.3170   2.2048
spa_Latn  1.1299   69.4564   2.1961
fin_Latn  1.0600   65.1615   2.1421
tam_Taml  1.0593   65.1194   6.1426
eng_Latn  1.0000   61.4734   2.0442
hrv_Latn  0.9871   60.6790   2.1014
nya_Latn  0.9230   56.7402   2.5062
cmn_Hans  0.7522   46.2377   2.5435

# eng_Latn reference (raw_entropy, t_4.0000, t_anchor): pps=61.4734	bpp=2.0442
