Language  Premium  PPS      BPP
tam_Taml  2.7632   90.4945  4.4202
kat_Geor  2.1361   69.9589  5.3428
amh_Ethi  1.8895   61.8816  3.5399
arb_Arab  1.7626   57.7242  3.4852
vie_Latn  1.3064   42.7854  4.0982
srp_Cyrl  1.2478   40.8646  5.5578
nya_Latn  1.2456   40.7954  3.4858
fra_Latn  1.2230   40.0522  3.8709
jpn_Jpan  1.1972   39.2086  4.0942
spa_Latn  1.1959   39.1655  3.8946
kor_Hang  1.1869   38.8706  3.8943
ron_Latn  1.1841   38.7783  3.8512
deu_Latn  1.1750   38.4824  3.8819
ita_Latn  1.1411   37.3721  3.9771
heb_Hebr  1.1145   36.4995  4.7943
fin_Latn  1.1017   36.0812  3.8686
hrv_Latn  1.0161   33.2788  3.8316
eng_Latn  1.0000   32.7503  3.8371
cmn_Hans  0.9866   32.3109  3.6398
tha_Thai  0.9176   30.0502  11.5655

# eng_Latn reference (raw_monotonicity, t_0.7967, t_anchor): pps=32.7503	bpp=3.8371
