Language  Premium  PPS      BPP
heb_Hebr  1.7177   56.2959  3.1084
amh_Ethi  1.6243   53.2337  4.1149
kat_Geor  1.5772   51.6891  7.2313
cmn_Hans  1.5102   49.4945  2.3762
arb_Arab  1.4991   49.1314  4.0947
tha_Thai  1.4866   48.7212  7.1333
tam_Taml  1.4073   46.1224  8.6726
kor_Hang  1.3467   44.1374  3.4296
jpn_Jpan  1.2693   41.5988  3.8590
vie_Latn  1.1979   39.2578  4.4665
srp_Cyrl  1.1899   38.9960  5.8241
deu_Latn  1.1602   38.0221  3.9289
spa_Latn  1.1064   36.2598  4.2067
fin_Latn  1.0979   35.9809  3.8794
ita_Latn  1.0970   35.9539  4.1340
nya_Latn  1.0885   35.6740  3.9862
ron_Latn  1.0768   35.2909  4.2318
hrv_Latn  1.0760   35.2648  3.6159
fra_Latn  1.0736   35.1846  4.4064
eng_Latn  1.0000   32.7733  3.8344

# eng_Latn reference (combined, t_0.2695, t_anchor): pps=32.7733	bpp=3.8344
