Language  Premium  PPS      BPP
kat_Geor  2.1020   68.8897  5.4258
tam_Taml  2.0527   67.2728  5.9460
amh_Ethi  1.9549   64.0692  3.4190
tha_Thai  1.8514   60.6780  5.7277
heb_Hebr  1.5727   51.5416  3.3951
arb_Arab  1.4834   48.6148  4.1382
srp_Cyrl  1.3671   44.8044  5.0691
vie_Latn  1.2971   42.5115  4.1246
jpn_Jpan  1.2620   41.3591  3.8814
fra_Latn  1.2351   40.4784  3.8301
nya_Latn  1.2027   39.4152  3.6078
ron_Latn  1.1999   39.3250  3.7977
spa_Latn  1.1820   38.7372  3.9377
ita_Latn  1.1542   37.8265  3.9294
deu_Latn  1.1216   36.7583  4.0640
fin_Latn  1.1171   36.6118  3.8125
kor_Hang  1.0527   34.5005  4.3875
hrv_Latn  1.0108   33.1264  3.8493
eng_Latn  1.0000   32.7733  3.8344
cmn_Hans  0.8409   27.5577  4.2677

# eng_Latn reference (norm_entropy, t_0.6465, t_anchor): pps=32.7733	bpp=3.8344
