Language  Premium  PPS      BPP
cmn_Hans  1.4359   47.0000  2.5023
heb_Hebr  1.3597   44.5065  3.9318
deu_Latn  1.0983   35.9488  4.1555
hrv_Latn  1.0914   35.7232  3.5695
ron_Latn  1.0728   35.1143  4.2531
spa_Latn  1.0603   34.7051  4.3952
ita_Latn  1.0483   34.3139  4.3316
fra_Latn  1.0252   33.5567  4.6202
fin_Latn  1.0150   33.2227  4.2015
nya_Latn  1.0049   32.8927  4.3233
eng_Latn  1.0000   32.7322  3.8392
vie_Latn  0.9812   32.1153  5.4599
kat_Geor  0.9764   31.9609  11.6949
tha_Thai  0.9661   31.6219  10.9906
jpn_Jpan  0.9148   29.9418  5.3614
tam_Taml  0.8149   26.6720  14.9970
kor_Hang  0.7629   24.9699  6.0622
arb_Arab  0.7039   23.0411  8.7313
srp_Cyrl  0.5841   19.1204  11.8782
amh_Ethi  0.5296   17.3350  12.6365

# eng_Latn reference (raw_entropy, t_1.9458, t_anchor): pps=32.7322	bpp=3.8392
