Language  Premium  PPS       BPP
kat_Geor  3.9632   130.0381  2.8744
tam_Taml  3.9097   128.2828  3.1181
srp_Cyrl  3.1693   103.9880  2.1841
tha_Thai  3.1068   101.9378  3.4094
amh_Ethi  2.6552   87.1194   2.5144
arb_Arab  2.4311   79.7683   2.5220
heb_Hebr  2.4150   79.2387   2.2084
kor_Hang  1.8767   61.5787   2.4582
vie_Latn  1.7050   55.9448   3.1342
nya_Latn  1.6836   55.2427   2.5742
ron_Latn  1.6731   54.8957   2.7205
jpn_Jpan  1.6423   53.8847   2.9791
cmn_Hans  1.5680   51.4473   2.2860
fin_Latn  1.5649   51.3460   2.7185
hrv_Latn  1.5270   50.1043   2.5449
ita_Latn  1.5096   49.5336   3.0007
deu_Latn  1.4985   49.1695   3.0381
fra_Latn  1.4302   46.9278   3.3038
spa_Latn  1.4196   46.5777   3.2749
eng_Latn  1.0000   32.8114   3.8300

# eng_Latn reference (combined, t_0.2812, t_anchor): pps=32.8114	bpp=3.8300
