Language  Premium  PPS       BPP
kat_Geor  3.8325   125.5908  2.9762
tam_Taml  3.3920   111.1565  3.5985
tha_Thai  2.7280   89.3962   3.8877
srp_Cyrl  2.6767   87.7151   2.5892
amh_Ethi  2.5421   83.3049   2.6295
heb_Hebr  2.4102   78.9840   2.2155
arb_Arab  1.8989   62.2267   3.2330
vie_Latn  1.3598   44.5597   3.9351
jpn_Jpan  1.2839   42.0742   3.8154
fra_Latn  1.2488   40.9228   3.7886
spa_Latn  1.2168   39.8736   3.8255
kor_Hang  1.2125   39.7332   3.8097
ron_Latn  1.1927   39.0853   3.8210
ita_Latn  1.1894   38.9769   3.8134
deu_Latn  1.1254   36.8786   4.0507
nya_Latn  1.1009   36.0782   3.9415
fin_Latn  1.0279   33.6851   4.1438
hrv_Latn  1.0200   33.4243   3.8150
eng_Latn  1.0000   32.7703   3.8348
cmn_Hans  0.8926   29.2518   4.0205

# eng_Latn reference (norm_entropy, t_0.6416, t_anchor): pps=32.7703	bpp=3.8348
