Language  Premium  PPS       BPP
amh_Ethi  5.7097   186.6921  1.1733
kat_Geor  4.0427   132.1846  2.8277
srp_Cyrl  3.8369   125.4554  1.8103
nya_Latn  3.5355   115.5998  1.2301
tam_Taml  3.2064   104.8385  3.8154
hrv_Latn  3.0177   98.6690   1.2923
tha_Thai  2.6464   86.5286   4.0165
ron_Latn  2.4998   81.7372   1.8271
heb_Hebr  2.4388   79.7422   2.1944
fin_Latn  2.4356   79.6369   1.7528
cmn_Hans  2.2210   72.6199   1.6195
kor_Hang  1.9470   63.6620   2.3777
arb_Arab  1.8729   61.2377   3.2852
ita_Latn  1.7425   56.9739   2.6088
vie_Latn  1.7407   56.9168   3.0807
fra_Latn  1.5646   51.1565   3.0307
jpn_Jpan  1.5322   50.0983   3.2043
deu_Latn  1.5166   49.5888   3.0125
spa_Latn  1.5017   49.1013   3.1065
eng_Latn  1.0000   32.6971   3.8434

# eng_Latn reference (raw_entropy, t_1.7510, t_anchor): pps=32.6971	bpp=3.8434
