Language  Premium  PPS      BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.3286   47.9248  5.5248  0.6781       1.0269      1.3161       0.2881           -0.3796           1.6833
arb_Arab  1.2961   46.7533  4.7443  0.8017       0.9955      0.9394       -0.6065          -0.4942           1.7248
heb_Hebr  1.2824   46.2578  4.2282  0.8497       1.0971      0.8489       -0.7852          -0.5711           1.8567
cmn_Hans  1.2785   46.1153  1.8348  2.3793       3.0629      0.0901       -1.4547          -0.5768           3.1080
tha_Thai  1.2329   44.4704  5.4252  0.6999       1.0716      1.2526       0.0887           -0.3795           1.7195
amh_Ethi  1.1237   40.5326  4.2130  0.9748       1.6055      1.1122       -0.1994          -0.4337           2.1456
kor_Hang  1.1138   40.1755  3.1462  1.3352       2.4514      1.0009       -0.3006          -0.3564           2.5788
ron_Latn  1.1125   40.1304  7.0503  0.6803       0.9307      1.3145       0.5906           -0.4576           1.6472
spa_Latn  1.0891   39.2849  7.6180  0.6397       0.8771      1.3906       0.7740           -0.4361           1.5872
ita_Latn  1.0869   39.2066  7.5259  0.6621       0.8731      1.3087       0.5992           -0.4730           1.6037
deu_Latn  1.0861   39.1785  7.5041  0.6561       0.9530      1.4971       1.2324           -0.4008           1.6340
hrv_Latn  1.0724   38.6830  6.4236  0.7494       1.0075      1.2103       0.3656           -0.5034           1.7405
jpn_Jpan  1.0684   38.5376  2.8451  1.5129       2.4909      0.7702       -0.6797          -0.3865           2.6282
fra_Latn  1.0481   37.8064  7.8948  0.6226       0.8492      1.4120       0.8781           -0.4117           1.5485
nya_Latn  1.0402   37.5216  7.5630  0.6086       0.7830      1.3858       0.8411           -0.4386           1.5010
fin_Latn  1.0398   37.5065  7.1634  0.6919       0.8801      1.2118       0.3999           -0.5156           1.6334
eng_Latn  1.0000   36.0712  6.9624  0.6780       0.9735      1.3851       0.7900           -0.4377           1.6731
tam_Taml  0.9966   35.9498  8.1540  0.5854       0.7546      1.3891       0.7653           -0.4168           1.4623
srp_Cyrl  0.9419   33.9739  7.3515  0.6790       0.9192      1.3521       0.7578           -0.4556           1.6358
kat_Geor  0.9333   33.6660  8.2195  0.6001       0.8257      1.5011       1.1545           -0.3815           1.5104

# eng_Latn reference (raw_entropy, t_1.9082, t_lower_bound): pps=36.0712	bpp=6.9624
