Language  Premium  PPS      BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.3113   47.1805  5.6119  0.6781       1.0269      1.3161       0.2881           -0.3796           1.6833
heb_Hebr  1.2521   45.0522  4.3414  0.8497       1.0971      0.8489       -0.7852          -0.5711           1.8567
arb_Arab  1.2105   43.5527  5.0930  0.8017       0.9955      0.9394       -0.6065          -0.4942           1.7248
tha_Thai  1.1999   43.1735  5.5881  0.6999       1.0716      1.2526       0.0887           -0.3795           1.7195
ron_Latn  1.1051   39.7613  7.1158  0.6803       0.9307      1.3145       0.5906           -0.4576           1.6472
spa_Latn  1.0892   39.1896  7.6365  0.6397       0.8771      1.3906       0.7740           -0.4361           1.5872
ita_Latn  1.0856   39.0592  7.5543  0.6621       0.8731      1.3087       0.5992           -0.4730           1.6037
deu_Latn  1.0701   38.5015  7.6360  0.6561       0.9530      1.4971       1.2324           -0.4008           1.6340
amh_Ethi  1.0645   38.2999  4.4586  0.9748       1.6055      1.1122       -0.1994          -0.4337           2.1456
hrv_Latn  1.0549   37.9559  6.5466  0.7494       1.0075      1.2103       0.3656           -0.5034           1.7405
nya_Latn  1.0390   37.3842  7.5908  0.6086       0.7830      1.3858       0.8411           -0.4386           1.5010
fra_Latn  1.0264   36.9298  8.0822  0.6226       0.8492      1.4120       0.8781           -0.4117           1.5485
fin_Latn  1.0262   36.9228  7.2767  0.6919       0.8801      1.2118       0.3999           -0.5156           1.6334
eng_Latn  1.0000   35.9799  6.9800  0.6780       0.9735      1.3851       0.7900           -0.4377           1.6731
tam_Taml  0.9918   35.6841  8.2147  0.5854       0.7546      1.3891       0.7653           -0.4168           1.4623
kor_Hang  0.9344   33.6209  3.7596  1.3352       2.4514      1.0009       -0.3006          -0.3564           2.5788
srp_Cyrl  0.9315   33.5135  7.4525  0.6790       0.9192      1.3521       0.7578           -0.4556           1.6358
kat_Geor  0.9248   33.2738  8.3163  0.6001       0.8257      1.5011       1.1545           -0.3815           1.5104
cmn_Hans  0.8930   32.1284  2.6336  2.3793       3.0629      0.0901       -1.4547          -0.5768           3.1080
jpn_Jpan  0.8629   31.0471  3.5316  1.5129       2.4909      0.7702       -0.6797          -0.3865           2.6282

# eng_Latn reference (raw_monotonicity, t_1.9182, t_lower_bound): pps=35.9799	bpp=6.9800
